models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9885,0.2355,0.013773158785658787,7001,76
"DecisionTreeClassifier(ccp_alpha=8.333333333333283e-06, random_state=0)",8.333333333333283e-06,0.9885,0.2355,0.013781492118992121,6999,76
"DecisionTreeClassifier(ccp_alpha=1.5338827838827594e-05, random_state=0)",1.5338827838827594e-05,0.9885,0.2355,0.013796830946830948,6997,76
"DecisionTreeClassifier(ccp_alpha=2.9201680672268733e-05, random_state=0)",2.9201680672268733e-05,0.988375,0.236,0.013826032627503216,6995,76
"DecisionTreeClassifier(ccp_alpha=3.988603988603961e-05, random_state=0)",3.988603988603961e-05,0.988375,0.236,0.013865918667389256,6993,76
"DecisionTreeClassifier(ccp_alpha=4.120879120879145e-05, random_state=0)",4.120879120879145e-05,0.988375,0.236,0.013907127458598048,6991,76
"DecisionTreeClassifier(ccp_alpha=5.2840909090909284e-05, random_state=0)",5.2840909090909284e-05,0.98825,0.236,0.013959968367688957,6989,76
"DecisionTreeClassifier(ccp_alpha=6.456043956043923e-05, random_state=0)",6.456043956043923e-05,0.98825,0.236,0.014024528807249397,6987,76
"DecisionTreeClassifier(ccp_alpha=6.750255335160986e-05, random_state=0)",6.750255335160986e-05,0.98825,0.236,0.014159533913952617,6983,76
"DecisionTreeClassifier(ccp_alpha=7.261904761904792e-05, random_state=0)",7.261904761904792e-05,0.988125,0.236,0.014232152961571664,6981,76
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.2365,0.014398819628238331,6947,76
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.2365,0.014565486294904999,6947,76
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.2365,0.014732152961571666,6947,76
