models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.990375,0.354,0.012233016983016985,6197,61
"DecisionTreeClassifier(ccp_alpha=1.369047619047617e-05, random_state=0)",1.369047619047617e-05,0.990375,0.354,0.012246707459207461,6195,61
"DecisionTreeClassifier(ccp_alpha=1.843711843711824e-05, random_state=0)",1.843711843711824e-05,0.990375,0.354,0.012283581696081698,6191,61
"DecisionTreeClassifier(ccp_alpha=2.991854636591484e-05, random_state=0)",2.991854636591484e-05,0.990375,0.354,0.012313500242447612,6189,61
"DecisionTreeClassifier(ccp_alpha=4.326923076923084e-05, random_state=0)",4.326923076923084e-05,0.990375,0.354,0.012356769473216843,6187,61
"DecisionTreeClassifier(ccp_alpha=4.545454545454536e-05, random_state=0)",4.545454545454536e-05,0.990375,0.354,0.012447678564125934,6183,61
"DecisionTreeClassifier(ccp_alpha=5.15804597701155e-05, random_state=0)",5.15804597701155e-05,0.990375,0.354,0.012499259023896049,6181,61
"DecisionTreeClassifier(ccp_alpha=5.706521739130431e-05, random_state=0)",5.706521739130431e-05,0.990375,0.354,0.012556324241287354,6179,61
"DecisionTreeClassifier(ccp_alpha=6.944444444444444e-05, random_state=0)",6.944444444444444e-05,0.99025,0.354,0.012764657574620687,6173,61
"DecisionTreeClassifier(ccp_alpha=7.500000000000002e-05, random_state=0)",7.500000000000002e-05,0.990125,0.354,0.012989657574620686,6167,61
"DecisionTreeClassifier(ccp_alpha=7.575757575757577e-05, random_state=0)",7.575757575757577e-05,0.99,0.3545,0.013216930301893413,6161,61
"DecisionTreeClassifier(ccp_alpha=7.765151515151517e-05, random_state=0)",7.765151515151517e-05,0.99,0.3545,0.013294581817044928,6159,61
"DecisionTreeClassifier(ccp_alpha=7.894736842105267e-05, random_state=0)",7.894736842105267e-05,0.989875,0.3545,0.013531423922308087,6153,61
"DecisionTreeClassifier(ccp_alpha=7.916666666666665e-05, random_state=0)",7.916666666666665e-05,0.98975,0.3545,0.013768923922308086,6147,61
"DecisionTreeClassifier(ccp_alpha=7.954545454545458e-05, random_state=0)",7.954545454545458e-05,0.989625,0.3545,0.014007560285944451,6141,61
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98925,0.3545,0.014174226952611118,6131,61
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98925,0.3545,0.014424226952611119,6131,61
"DecisionTreeClassifier(ccp_alpha=8.600386100386095e-05, random_state=0)",8.600386100386095e-05,0.989125,0.3545,0.01459623467461884,6127,61
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.988625,0.354,0.01478373467461884,6111,61
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.988625,0.354,0.01497123467461884,6111,61
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.988625,0.354,0.01515873467461884,6111,61
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.988625,0.354,0.01534623467461884,6111,61
"DecisionTreeClassifier(ccp_alpha=9.616402116402119e-05, random_state=0)",9.616402116402119e-05,0.98825,0.354,0.01601938282276699,6097,61
"DecisionTreeClassifier(ccp_alpha=9.659090909090913e-05, random_state=0)",9.659090909090913e-05,0.988125,0.354,0.0161159737318579,6095,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.016315973731857898,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.016515973731857897,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.016715973731857896,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.016915973731857895,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.017115973731857893,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.017315973731857892,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.01751597373185789,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.01771597373185789,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.01791597373185789,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.018115973731857887,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.018315973731857886,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.018515973731857885,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.018715973731857884,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.018915973731857882,6035,61
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.98625,0.3535,0.01911597373185788,6035,61
"DecisionTreeClassifier(ccp_alpha=0.00010265006385696033, random_state=0)",0.00010265006385696033,0.986125,0.3535,0.019321273859571803,6031,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666666, random_state=0)",0.00010416666666666666,0.985875,0.3535,0.01973794052623847,6023,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.02005044052623847,5949,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.020258773859571803,5949,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.020467107192905138,5949,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.020675440526238473,5949,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.020883773859571807,5949,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.021092107192905142,5949,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.021300440526238477,5949,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.02150877385957181,5949,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.021717107192905146,5949,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.02192544052623848,5949,61
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.9835,0.354,0.022133773859571815,5949,61
