models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.992125,0.4575,0.009662197524697526,4599,93
DecisionTreeClassifier(random_state=0),0.0,0.992125,0.4575,0.009662197524697526,4599,93
"DecisionTreeClassifier(ccp_alpha=9.615384615384824e-06, random_state=0)",9.615384615384824e-06,0.992125,0.4575,0.009671812909312912,4595,93
"DecisionTreeClassifier(ccp_alpha=1.0003885003884811e-05, random_state=0)",1.0003885003884811e-05,0.992125,0.4575,0.009681816794316796,4593,92
"DecisionTreeClassifier(ccp_alpha=1.704545454545459e-05, random_state=0)",1.704545454545459e-05,0.992125,0.4575,0.009698862248862251,4591,92
"DecisionTreeClassifier(ccp_alpha=3.1746031746031724e-05, random_state=0)",3.1746031746031724e-05,0.992125,0.4575,0.009762354312354315,4587,92
"DecisionTreeClassifier(ccp_alpha=3.952991452991464e-05, random_state=0)",3.952991452991464e-05,0.992125,0.4575,0.00980188422688423,4585,92
"DecisionTreeClassifier(ccp_alpha=5.48418972332015e-05, random_state=0)",5.48418972332015e-05,0.992125,0.4575,0.009856726124117431,4583,91
"DecisionTreeClassifier(ccp_alpha=5.5944055944056074e-05, random_state=0)",5.5944055944056074e-05,0.992,0.4565,0.009912670180061487,4581,91
"DecisionTreeClassifier(ccp_alpha=6.249999999999995e-05, random_state=0)",6.249999999999995e-05,0.992,0.4565,0.009975170180061487,4579,91
"DecisionTreeClassifier(ccp_alpha=6.297348484848484e-05, random_state=0)",6.297348484848484e-05,0.991875,0.456,0.010101117149758457,4575,91
"DecisionTreeClassifier(ccp_alpha=6.32281898266555e-05, random_state=0)",6.32281898266555e-05,0.991625,0.455,0.010227573529411768,4571,89
"DecisionTreeClassifier(ccp_alpha=7.031249999999995e-05, random_state=0)",7.031249999999995e-05,0.9915,0.455,0.010368198529411768,4567,89
"DecisionTreeClassifier(ccp_alpha=7.142857142857145e-05, random_state=0)",7.142857142857145e-05,0.991375,0.455,0.010582484243697482,4561,89
"DecisionTreeClassifier(ccp_alpha=7.21288515406161e-05, random_state=0)",7.21288515406161e-05,0.991125,0.4555,0.010654613095238099,4559,88
"DecisionTreeClassifier(ccp_alpha=7.407407407407407e-05, random_state=0)",7.407407407407407e-05,0.991,0.4555,0.010876835317460322,4553,88
"DecisionTreeClassifier(ccp_alpha=7.999999999999998e-05, random_state=0)",7.999999999999998e-05,0.990875,0.4555,0.011116835317460322,4547,88
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9905,0.4545,0.01128350198412699,4535,88
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9905,0.4545,0.011450168650793657,4535,88
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9905,0.4545,0.011616835317460324,4535,88
"DecisionTreeClassifier(ccp_alpha=9.030032467532458e-05, random_state=0)",9.030032467532458e-05,0.990375,0.4545,0.011797435966810974,4531,86
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98975,0.455,0.011984935966810974,4511,86
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98975,0.455,0.012172435966810974,4511,86
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98975,0.455,0.012359935966810974,4511,86
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98975,0.455,0.012547435966810974,4511,86
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.98975,0.455,0.012734935966810974,4511,86
"DecisionTreeClassifier(ccp_alpha=9.722222222222224e-05, random_state=0)",9.722222222222224e-05,0.9895,0.455,0.013026602633477642,4505,86
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.989125,0.455,0.013226602633477642,4493,86
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.989125,0.455,0.013426602633477643,4493,86
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.989125,0.455,0.013626602633477643,4493,86
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.988,0.455,0.013834935966810976,4457,86
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.988,0.455,0.01404326930014431,4457,86
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.988,0.455,0.014251602633477642,4457,86
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.988,0.455,0.014459935966810975,4457,86
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.988,0.455,0.014668269300144308,4457,86
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.988,0.455,0.014876602633477641,4457,86
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.988,0.455,0.015084935966810974,4457,86
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.988,0.455,0.015293269300144307,4457,86
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.988,0.455,0.01550160263347764,4457,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.015715888347763354,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.01593017406204907,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.016144459776334785,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.0163587454906205,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.016573031204906215,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.01678731691919193,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.017001602633477646,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.017215888347763362,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.017430174062049077,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.017644459776334793,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.01807303120490622,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.018287316919191936,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.01850160263347765,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.018715888347763367,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.018930174062049082,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.019144459776334798,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.019573031204906225,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9855,0.4565,0.01978731691919194,4377,86
"DecisionTreeClassifier(ccp_alpha=0.00010784313725490197, random_state=0)",0.00010784313725490197,0.985125,0.457,0.02043437574272135,4365,86
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.984,0.458,0.02065312574272135,4329,86
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.984,0.458,0.02087187574272135,4329,86
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.984,0.458,0.02109062574272135,4329,86
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.984,0.458,0.02130937574272135,4329,86
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.984,0.458,0.021528125742721352,4329,86
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.984,0.458,0.021746875742721352,4329,86
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.984,0.458,0.021965625742721352,4329,86
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.984,0.458,0.022184375742721352,4329,86
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.984,0.458,0.022403125742721353,4329,86
