models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99875,0.5125,0.0008333333333333333,807,40
"DecisionTreeClassifier(ccp_alpha=0.0001302083333333334, random_state=0)",0.0001302083333333334,0.99875,0.5125,0.00109375,803,40
"DecisionTreeClassifier(ccp_alpha=0.00026041666666666666, random_state=0)",0.00026041666666666666,0.998125,0.5125,0.0021354166666666665,795,40
"DecisionTreeClassifier(ccp_alpha=0.00034722222222222224, random_state=0)",0.00034722222222222224,0.9975,0.51,0.003177083333333333,789,40
"DecisionTreeClassifier(ccp_alpha=0.0003985507246376813, random_state=0)",0.0003985507246376813,0.996875,0.51,0.004372735507246377,783,40
"DecisionTreeClassifier(ccp_alpha=0.00046875, random_state=0)",0.00046875,0.99625,0.51,0.005310235507246377,779,40
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.995,0.505,0.006381664078674949,771,40
"DecisionTreeClassifier(ccp_alpha=0.0005357142857142858, random_state=0)",0.0005357142857142858,0.995,0.505,0.007453092650103521,771,40
"DecisionTreeClassifier(ccp_alpha=0.000546875, random_state=0)",0.000546875,0.994375,0.505,0.008546842650103522,767,40
"DecisionTreeClassifier(ccp_alpha=0.000552173913043478, random_state=0)",0.000552173913043478,0.99375,0.505,0.009651190476190478,763,40
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.99125,0.51,0.01076230158730159,747,40
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.99125,0.51,0.0118734126984127,747,40
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.99125,0.51,0.014095634920634923,747,40
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.990625,0.51,0.015220634920634924,739,40
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.990625,0.51,0.016345634920634924,739,40
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.99,0.5075,0.01748199855699856,735,40
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.98875,0.51,0.019803427128427132,727,40
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.9875,0.5125,0.0209700937950938,719,40
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.9875,0.5125,0.022136760461760465,719,40
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.986875,0.5125,0.023308635461760464,715,40
"DecisionTreeClassifier(ccp_alpha=0.0005882352941176472, random_state=0)",0.0005882352941176472,0.98625,0.515,0.024485106049995757,711,40
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.985625,0.515,0.025665661605551313,707,40
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.984375,0.515,0.028034082658182892,699,40
"DecisionTreeClassifier(ccp_alpha=0.0005937499999999999, random_state=0)",0.0005937499999999999,0.983125,0.5175,0.029221582658182893,691,40
"DecisionTreeClassifier(ccp_alpha=0.0005937499999999999, random_state=0)",0.0005937499999999999,0.983125,0.5175,0.030409082658182894,691,40
"DecisionTreeClassifier(ccp_alpha=0.0005952380952380954, random_state=0)",0.0005952380952380954,0.9825,0.5175,0.03159955884865909,687,40
"DecisionTreeClassifier(ccp_alpha=0.0005969551282051282, random_state=0)",0.0005969551282051282,0.98125,0.515,0.03339042423327447,681,40
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.980625,0.515,0.03458607640718751,677,40
"DecisionTreeClassifier(ccp_alpha=0.0006666666666666665, random_state=0)",0.0006666666666666665,0.979375,0.515,0.036586076407187515,671,40
"DecisionTreeClassifier(ccp_alpha=0.0007499999999999999, random_state=0)",0.0007499999999999999,0.975625,0.5125,0.04108607640718751,659,35
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.974375,0.5125,0.04258607640718751,655,35
"DecisionTreeClassifier(ccp_alpha=0.0007617753623188409, random_state=0)",0.0007617753623188409,0.9725,0.5175,0.044109627131825195,651,35
"DecisionTreeClassifier(ccp_alpha=0.0007716049382716049, random_state=0)",0.0007716049382716049,0.97125,0.5175,0.04642444194664001,645,35
"DecisionTreeClassifier(ccp_alpha=0.0007758620689655169, random_state=0)",0.0007758620689655169,0.97,0.515,0.04875202815353656,639,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.04958536148686989,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.050418694820203225,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.05125202815353656,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.05291869482020322,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.05375202815353655,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.054585361486869884,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.055418694820203215,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.05625202815353655,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.05708536148686988,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.05791869482020321,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.05875202815353654,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.059585361486869874,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.060418694820203206,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.06125202815353654,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.06208536148686987,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.06291869482020321,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.95875,0.5125,0.06375202815353655,603,35
"DecisionTreeClassifier(ccp_alpha=0.0008484848484848484, random_state=0)",0.0008484848484848484,0.9575,0.5125,0.06544899785050624,599,35
"DecisionTreeClassifier(ccp_alpha=0.0008506944444444441, random_state=0)",0.0008506944444444441,0.956875,0.5125,0.06629969229495068,597,35
"DecisionTreeClassifier(ccp_alpha=0.0008888888888888885, random_state=0)",0.0008888888888888885,0.95625,0.5125,0.06718858118383957,595,35
"DecisionTreeClassifier(ccp_alpha=0.0009204545454545453, random_state=0)",0.0009204545454545453,0.955,0.515,0.06810903572929411,591,35
"DecisionTreeClassifier(ccp_alpha=0.0009204545454545453, random_state=0)",0.0009204545454545453,0.955,0.515,0.06902949027474865,591,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.06996699027474865,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.07090449027474864,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.07184199027474863,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.07277949027474863,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.07371699027474862,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.07559199027474862,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.07652949027474862,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.07746699027474861,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.0784044902747486,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.0793419902747486,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.0812169902747486,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.0821544902747486,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009375, random_state=0)",0.0009375,0.94375,0.51,0.08309199027474859,561,35
"DecisionTreeClassifier(ccp_alpha=0.0009523809523809524, random_state=0)",0.0009523809523809524,0.9425,0.51,0.08404437122712954,557,35
"DecisionTreeClassifier(ccp_alpha=0.0009523809523809524, random_state=0)",0.0009523809523809524,0.9425,0.51,0.0849967521795105,557,35
"DecisionTreeClassifier(ccp_alpha=0.0009724134915950772, random_state=0)",0.0009724134915950772,0.93625,0.5,0.09083123312908097,545,30
"DecisionTreeClassifier(ccp_alpha=0.0009796296296296298, random_state=0)",0.0009796296296296298,0.935,0.5,0.09279049238834022,541,30
"DecisionTreeClassifier(ccp_alpha=0.0009895833333333332, random_state=0)",0.0009895833333333332,0.9325,0.495,0.0947696590550069,533,30
"DecisionTreeClassifier(ccp_alpha=0.0009895833333333332, random_state=0)",0.0009895833333333332,0.9325,0.495,0.09674882572167356,533,30
"DecisionTreeClassifier(ccp_alpha=0.000992763772175536, random_state=0)",0.000992763772175536,0.929375,0.51,0.09873435326602464,529,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9225,0.5075,0.09973435326602464,507,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9225,0.5075,0.10073435326602465,507,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9225,0.5075,0.10173435326602465,507,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9225,0.5075,0.10273435326602465,507,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9225,0.5075,0.10473435326602465,507,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9225,0.5075,0.10573435326602465,507,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9225,0.5075,0.10673435326602465,507,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9225,0.5075,0.10773435326602465,507,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9225,0.5075,0.10873435326602465,507,30
"DecisionTreeClassifier(ccp_alpha=0.0009999999999999998, random_state=0)",0.0009999999999999998,0.9225,0.5075,0.10973435326602465,507,30
"DecisionTreeClassifier(ccp_alpha=0.0010059523809523812, random_state=0)",0.0010059523809523812,0.9225,0.5075,0.11074030564697704,505,30
"DecisionTreeClassifier(ccp_alpha=0.0010303030303030305, random_state=0)",0.0010303030303030305,0.920625,0.505,0.11383121473788613,499,30
"DecisionTreeClassifier(ccp_alpha=0.001034007352941176, random_state=0)",0.001034007352941176,0.92,0.505,0.11486522209082731,497,30
"DecisionTreeClassifier(ccp_alpha=0.001039050039872408, random_state=0)",0.001039050039872408,0.9175,0.5075,0.11902142225031694,489,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.911875,0.5075,0.1200630889169836,471,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.911875,0.5075,0.12110475558365026,471,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.911875,0.5075,0.12214642225031692,471,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.911875,0.5075,0.12318808891698359,471,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.911875,0.5075,0.12422975558365025,471,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.911875,0.5075,0.12527142225031693,471,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.911875,0.5075,0.1263130889169836,471,30
"DecisionTreeClassifier(ccp_alpha=0.0010416666666666667, random_state=0)",0.0010416666666666667,0.911875,0.5075,0.12839642225031692,471,30
"DecisionTreeClassifier(ccp_alpha=0.0010457516339869278, random_state=0)",0.0010457516339869278,0.91125,0.5075,0.12944217388430385,469,30
"DecisionTreeClassifier(ccp_alpha=0.0010520833333333333, random_state=0)",0.0010520833333333333,0.908125,0.5125,0.1347025905509705,459,30
"DecisionTreeClassifier(ccp_alpha=0.0010526315789473686, random_state=0)",0.0010526315789473686,0.90625,0.515,0.1378604852878126,453,30
"DecisionTreeClassifier(ccp_alpha=0.0010553385416666667, random_state=0)",0.0010553385416666667,0.9,0.5175,0.14841387070447928,433,30
"DecisionTreeClassifier(ccp_alpha=0.001056286549707602, random_state=0)",0.001056286549707602,0.899375,0.5175,0.1494701572541869,431,30
"DecisionTreeClassifier(ccp_alpha=0.0010565476190476193, random_state=0)",0.0010565476190476193,0.898125,0.5175,0.15158325249228213,427,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.89625,0.52,0.15265468106371072,421,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.89625,0.52,0.1537261096351393,421,30
"DecisionTreeClassifier(ccp_alpha=0.0010714285714285717, random_state=0)",0.0010714285714285717,0.89625,0.52,0.1547975382065679,421,30
"DecisionTreeClassifier(ccp_alpha=0.0010753676470588237, random_state=0)",0.0010753676470588237,0.895,0.5225,0.15694827350068552,417,30
"DecisionTreeClassifier(ccp_alpha=0.0010937499999999997, random_state=0)",0.0010937499999999997,0.89375,0.5225,0.15913577350068553,413,30
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.8925,0.525,0.16022952350068553,409,30
"DecisionTreeClassifier(ccp_alpha=0.00109375, random_state=0)",0.00109375,0.8925,0.525,0.16132327350068554,409,30
"DecisionTreeClassifier(ccp_alpha=0.0010960144927536228, random_state=0)",0.0010960144927536228,0.891875,0.525,0.16241928799343916,407,30
"DecisionTreeClassifier(ccp_alpha=0.0011049107142857143, random_state=0)",0.0011049107142857143,0.888125,0.525,0.16683893085058202,399,30
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.884375,0.5225,0.16795004196169314,387,30
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.884375,0.5225,0.16906115307280425,387,30
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.884375,0.5225,0.17128337529502646,387,30
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.884375,0.5225,0.17239448640613758,387,30
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111111, random_state=0)",0.0011111111111111111,0.884375,0.5225,0.1735055975172487,387,30
"DecisionTreeClassifier(ccp_alpha=0.0011111111111111113, random_state=0)",0.0011111111111111113,0.883125,0.5225,0.17461670862835982,385,30
"DecisionTreeClassifier(ccp_alpha=0.0011257102272727274, random_state=0)",0.0011257102272727274,0.88125,0.5225,0.17686812908290528,381,28
"DecisionTreeClassifier(ccp_alpha=0.001130952380952381, random_state=0)",0.001130952380952381,0.88,0.5225,0.17913003384481005,377,28
"DecisionTreeClassifier(ccp_alpha=0.0011315724206349205, random_state=0)",0.0011315724206349205,0.871875,0.5175,0.1881826132098894,361,28
"DecisionTreeClassifier(ccp_alpha=0.0011344537815126034, random_state=0)",0.0011344537815126034,0.871875,0.5175,0.18931706699140202,359,28
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.87,0.5175,0.19045343062776565,353,28
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.87,0.5175,0.19158979426412928,353,28
"DecisionTreeClassifier(ccp_alpha=0.0011363636363636365, random_state=0)",0.0011363636363636365,0.87,0.5175,0.1927261579004929,353,28
"DecisionTreeClassifier(ccp_alpha=0.0011474867724867723, random_state=0)",0.0011474867724867723,0.866875,0.5175,0.19616861821795323,347,28
"DecisionTreeClassifier(ccp_alpha=0.0011538461538461533, random_state=0)",0.0011538461538461533,0.86625,0.52,0.19732246437179937,345,28
"DecisionTreeClassifier(ccp_alpha=0.001171875, random_state=0)",0.001171875,0.865625,0.5175,0.19849433937179936,343,28
"DecisionTreeClassifier(ccp_alpha=0.0011805555555555558, random_state=0)",0.0011805555555555558,0.865,0.5175,0.1996748949273549,341,28
"DecisionTreeClassifier(ccp_alpha=0.0011999999999999997, random_state=0)",0.0011999999999999997,0.864375,0.5175,0.2008748949273549,339,28
"DecisionTreeClassifier(ccp_alpha=0.0012047734052637443, random_state=0)",0.0012047734052637443,0.85875,0.5275,0.20930830876420112,325,27
"DecisionTreeClassifier(ccp_alpha=0.0012053571428571426, random_state=0)",0.0012053571428571426,0.8575,0.5325,0.21051366590705825,323,27
"DecisionTreeClassifier(ccp_alpha=0.0012159090909090913, random_state=0)",0.0012159090909090913,0.85375,0.5275,0.21416139317978553,317,27
"DecisionTreeClassifier(ccp_alpha=0.0012767969735182853, random_state=0)",0.0012767969735182853,0.85125,0.525,0.2167149871268221,313,27
"DecisionTreeClassifier(ccp_alpha=0.0012832462253193958, random_state=0)",0.0012832462253193958,0.846875,0.525,0.2205647258027803,307,24
