models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9885,0.238,0.013773158785658782,7079,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333283e-06, random_state=0)",8.333333333333283e-06,0.9885,0.238,0.013781492118992114,7077,53
"DecisionTreeClassifier(ccp_alpha=4.006410256410242e-05, random_state=0)",4.006410256410242e-05,0.9885,0.238,0.013821556221556217,7075,53
"DecisionTreeClassifier(ccp_alpha=4.166666666666663e-05, random_state=0)",4.166666666666663e-05,0.988375,0.2385,0.013863222888222884,7073,53
"DecisionTreeClassifier(ccp_alpha=5.451127819548871e-05, random_state=0)",5.451127819548871e-05,0.988375,0.239,0.013917734166418373,7071,53
"DecisionTreeClassifier(ccp_alpha=5.631868131868124e-05, random_state=0)",5.631868131868124e-05,0.988375,0.239,0.013974052847737055,7069,53
"DecisionTreeClassifier(ccp_alpha=6.242368742368724e-05, random_state=0)",6.242368742368724e-05,0.98825,0.238,0.01409890022258443,7065,53
"DecisionTreeClassifier(ccp_alpha=7.407407407407407e-05, random_state=0)",7.407407407407407e-05,0.988125,0.238,0.014321122444806652,7059,53
"DecisionTreeClassifier(ccp_alpha=7.870370370370373e-05, random_state=0)",7.870370370370373e-05,0.988,0.238,0.014557233555917762,7053,53
"DecisionTreeClassifier(ccp_alpha=8.020833333333339e-05, random_state=0)",8.020833333333339e-05,0.988,0.238,0.014637441889251096,7051,53
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.238,0.014804108555917763,7019,53
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.238,0.01497077522258443,7019,53
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.238,0.015137441889251098,7019,53
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.238,0.015304108555917765,7019,53
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.238,0.015470775222584433,7019,53
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.238,0.0156374418892511,7019,53
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.238,0.015804108555917764,7019,53
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.987,0.238,0.01597077522258443,7019,53
