models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9885,0.363,0.01455179612054612,6231,54
"DecisionTreeClassifier(ccp_alpha=1.0416666666666658e-05, random_state=0)",1.0416666666666658e-05,0.9885,0.363,0.014562212787212788,6229,54
"DecisionTreeClassifier(ccp_alpha=1.071428571428572e-05, random_state=0)",1.071428571428572e-05,0.9885,0.363,0.014572927072927074,6227,54
"DecisionTreeClassifier(ccp_alpha=1.5151515151515119e-05, random_state=0)",1.5151515151515119e-05,0.9885,0.363,0.014588078588078588,6225,54
"DecisionTreeClassifier(ccp_alpha=1.7284918146987047e-05, random_state=0)",1.7284918146987047e-05,0.9885,0.363,0.014605363506225575,6223,54
"DecisionTreeClassifier(ccp_alpha=1.7708333333333335e-05, random_state=0)",1.7708333333333335e-05,0.9885,0.363,0.014623071839558908,6221,54
"DecisionTreeClassifier(ccp_alpha=2.2619047619047467e-05, random_state=0)",2.2619047619047467e-05,0.9885,0.363,0.014645690887177956,6219,54
"DecisionTreeClassifier(ccp_alpha=2.499999999999985e-05, random_state=0)",2.499999999999985e-05,0.9885,0.363,0.014670690887177956,6217,54
"DecisionTreeClassifier(ccp_alpha=3.293650793650786e-05, random_state=0)",3.293650793650786e-05,0.9885,0.363,0.014703627395114464,6215,54
"DecisionTreeClassifier(ccp_alpha=3.928571428571436e-05, random_state=0)",3.928571428571436e-05,0.9885,0.363,0.014742913109400178,6213,54
"DecisionTreeClassifier(ccp_alpha=4.09090909090908e-05, random_state=0)",4.09090909090908e-05,0.9885,0.363,0.01478382220030927,6211,54
"DecisionTreeClassifier(ccp_alpha=4.503367003367035e-05, random_state=0)",4.503367003367035e-05,0.9885,0.363,0.01482885587034294,6209,54
"DecisionTreeClassifier(ccp_alpha=6.666666666666666e-05, random_state=0)",6.666666666666666e-05,0.988375,0.363,0.01502885587034294,6203,54
"DecisionTreeClassifier(ccp_alpha=6.993006993006998e-05, random_state=0)",6.993006993006998e-05,0.98825,0.363,0.01516871601020308,6199,54
"DecisionTreeClassifier(ccp_alpha=7.100694444444457e-05, random_state=0)",7.100694444444457e-05,0.988125,0.363,0.015381736843536414,6193,54
"DecisionTreeClassifier(ccp_alpha=7.104060374149655e-05, random_state=0)",7.104060374149655e-05,0.988125,0.363,0.015523818051019407,6189,54
"DecisionTreeClassifier(ccp_alpha=7.142857142857145e-05, random_state=0)",7.142857142857145e-05,0.988,0.363,0.01573810376530512,6183,54
"DecisionTreeClassifier(ccp_alpha=7.575757575757577e-05, random_state=0)",7.575757575757577e-05,0.987875,0.363,0.01596537649257785,6177,54
"DecisionTreeClassifier(ccp_alpha=7.833333333333332e-05, random_state=0)",7.833333333333332e-05,0.987625,0.363,0.016435376492577848,6165,54
"DecisionTreeClassifier(ccp_alpha=7.843137254901962e-05, random_state=0)",7.843137254901962e-05,0.9875,0.363,0.016670670610224907,6159,54
"DecisionTreeClassifier(ccp_alpha=7.936507936507939e-05, random_state=0)",7.936507936507939e-05,0.987375,0.3625,0.016908765848320146,6153,54
"DecisionTreeClassifier(ccp_alpha=7.986111111111116e-05, random_state=0)",7.986111111111116e-05,0.98725,0.3625,0.01714834918165348,6147,54
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.986,0.3625,0.01739834918165348,6109,53
