models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.991,0.459,0.011212305056055057,4749,62
"DecisionTreeClassifier(ccp_alpha=1.1494252873563149e-06, random_state=0)",1.1494252873563149e-06,0.991,0.459,0.011213454481342413,4747,62
"DecisionTreeClassifier(ccp_alpha=7.155797101449091e-06, random_state=0)",7.155797101449091e-06,0.991,0.459,0.011220610278443862,4745,62
"DecisionTreeClassifier(ccp_alpha=1.010101010101016e-05, random_state=0)",1.010101010101016e-05,0.991,0.459,0.011240812298645883,4741,62
"DecisionTreeClassifier(ccp_alpha=1.1565232153467296e-05, random_state=0)",1.1565232153467296e-05,0.990875,0.4585,0.011263942762952818,4737,60
"DecisionTreeClassifier(ccp_alpha=1.3986013986013964e-05, random_state=0)",1.3986013986013964e-05,0.990875,0.4585,0.011277928776938832,4735,60
"DecisionTreeClassifier(ccp_alpha=1.8099547511312103e-05, random_state=0)",1.8099547511312103e-05,0.990875,0.4585,0.011296028324450145,4733,60
"DecisionTreeClassifier(ccp_alpha=1.963926596279574e-05, random_state=0)",1.963926596279574e-05,0.990875,0.4585,0.01131566759041294,4731,59
"DecisionTreeClassifier(ccp_alpha=3.03442028985509e-05, random_state=0)",3.03442028985509e-05,0.990875,0.4585,0.01134601179331149,4729,59
"DecisionTreeClassifier(ccp_alpha=3.063537675606652e-05, random_state=0)",3.063537675606652e-05,0.990875,0.4585,0.01143791792357969,4723,59
"DecisionTreeClassifier(ccp_alpha=3.118640618640623e-05, random_state=0)",3.118640618640623e-05,0.990875,0.4585,0.011469104329766097,4721,59
"DecisionTreeClassifier(ccp_alpha=4.798621190130626e-05, random_state=0)",4.798621190130626e-05,0.990875,0.4585,0.011517090541667403,4719,58
"DecisionTreeClassifier(ccp_alpha=5.384615384615378e-05, random_state=0)",5.384615384615378e-05,0.990875,0.4585,0.01162478284935971,4715,58
"DecisionTreeClassifier(ccp_alpha=6.705495818399058e-05, random_state=0)",6.705495818399058e-05,0.990625,0.4585,0.011893002682095671,4707,58
"DecisionTreeClassifier(ccp_alpha=6.944444444444444e-05, random_state=0)",6.944444444444444e-05,0.9905,0.4595,0.012101336015429004,4701,58
"DecisionTreeClassifier(ccp_alpha=7.364766081871359e-05, random_state=0)",7.364766081871359e-05,0.990375,0.4595,0.012248631337066431,4697,58
"DecisionTreeClassifier(ccp_alpha=7.8125e-05, random_state=0)",7.8125e-05,0.99025,0.459,0.012483006337066432,4691,58
"DecisionTreeClassifier(ccp_alpha=7.861635220125741e-05, random_state=0)",7.861635220125741e-05,0.990125,0.459,0.01256162268926769,4689,58
"DecisionTreeClassifier(ccp_alpha=7.999999999999998e-05, random_state=0)",7.999999999999998e-05,0.989875,0.459,0.012961622689267689,4679,58
"DecisionTreeClassifier(ccp_alpha=8.276098901098907e-05, random_state=0)",8.276098901098907e-05,0.989625,0.459,0.013127144667289667,4675,58
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98925,0.459,0.013293811333956334,4663,58
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98925,0.459,0.013460478000623001,4663,58
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.98925,0.459,0.013627144667289669,4663,58
"DecisionTreeClassifier(ccp_alpha=8.482142857142857e-05, random_state=0)",8.482142857142857e-05,0.989125,0.459,0.013711966095861098,4661,58
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.988875,0.459,0.013899466095861098,4653,58
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.988875,0.459,0.014086966095861098,4653,58
"DecisionTreeClassifier(ccp_alpha=9.816176470588237e-05, random_state=0)",9.816176470588237e-05,0.98875,0.459,0.014283289625272862,4649,58
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.988375,0.459,0.014483289625272863,4637,58
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.988375,0.459,0.014683289625272863,4637,58
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.988375,0.459,0.014883289625272864,4637,58
"DecisionTreeClassifier(ccp_alpha=0.0001015625, random_state=0)",0.0001015625,0.988,0.46,0.015492664625272864,4625,58
"DecisionTreeClassifier(ccp_alpha=0.0001020833333333334, random_state=0)",0.0001020833333333334,0.987875,0.46,0.015696831291939533,4621,58
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.985625,0.4615,0.015905164625272868,4549,58
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.985625,0.4615,0.016113497958606202,4549,58
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.985625,0.4615,0.016321831291939537,4549,58
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.985625,0.4615,0.01653016462527287,4549,58
