models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99925,0.8685,0.0013095238095238097,1383,37
"DecisionTreeClassifier(ccp_alpha=1.0416666666666062e-06, random_state=0)",1.0416666666666062e-06,0.99925,0.8685,0.0013105654761904762,1381,37
"DecisionTreeClassifier(ccp_alpha=2.467105263158028e-06, random_state=0)",2.467105263158028e-06,0.99925,0.8685,0.0013130325814536344,1379,37
"DecisionTreeClassifier(ccp_alpha=3.703703703703663e-06, random_state=0)",3.703703703703663e-06,0.99925,0.8685,0.0013241436925647454,1373,37
"DecisionTreeClassifier(ccp_alpha=4.229323308270526e-06, random_state=0)",4.229323308270526e-06,0.99925,0.8685,0.0013283730158730159,1371,37
"DecisionTreeClassifier(ccp_alpha=4.464285714285676e-06, random_state=0)",4.464285714285676e-06,0.99925,0.8685,0.0013373015873015873,1367,35
"DecisionTreeClassifier(ccp_alpha=5.5555555555556846e-06, random_state=0)",5.5555555555556846e-06,0.99925,0.8685,0.001342857142857143,1365,35
"DecisionTreeClassifier(ccp_alpha=6.9444444444444024e-06, random_state=0)",6.9444444444444024e-06,0.99925,0.8685,0.0013498015873015874,1363,35
"DecisionTreeClassifier(ccp_alpha=1.488095238095236e-05, random_state=0)",1.488095238095236e-05,0.99925,0.8685,0.0013646825396825399,1361,35
"DecisionTreeClassifier(ccp_alpha=1.5571083505866532e-05, random_state=0)",1.5571083505866532e-05,0.99925,0.8685,0.0013802536231884064,1359,35
"DecisionTreeClassifier(ccp_alpha=1.969226425748143e-05, random_state=0)",1.969226425748143e-05,0.99925,0.8685,0.0013999458874458877,1357,35
"DecisionTreeClassifier(ccp_alpha=7.321428571428572e-05, random_state=0)",7.321428571428572e-05,0.999125,0.8685,0.0016195887445887448,1351,35
"DecisionTreeClassifier(ccp_alpha=8.045977011494246e-05, random_state=0)",8.045977011494246e-05,0.999,0.8685,0.0018609680549335722,1345,35
"DecisionTreeClassifier(ccp_alpha=8.095238095238095e-05, random_state=0)",8.095238095238095e-05,0.998875,0.8695,0.002103825197790715,1339,35
"DecisionTreeClassifier(ccp_alpha=8.167758167758174e-05, random_state=0)",8.167758167758174e-05,0.99875,0.8695,0.00234885794282346,1333,35
"DecisionTreeClassifier(ccp_alpha=8.240740740740729e-05, random_state=0)",8.240740740740729e-05,0.9985,0.8695,0.0028433023872679038,1321,35
"DecisionTreeClassifier(ccp_alpha=8.812767094017082e-05, random_state=0)",8.812767094017082e-05,0.998125,0.87,0.00354832375478927,1305,31
"DecisionTreeClassifier(ccp_alpha=9.87730061349693e-05, random_state=0)",9.87730061349693e-05,0.997875,0.8715,0.004042188785464117,1295,31
"DecisionTreeClassifier(ccp_alpha=9.914893617021301e-05, random_state=0)",9.914893617021301e-05,0.997375,0.872,0.005033678147166247,1275,31
"DecisionTreeClassifier(ccp_alpha=9.919678714859471e-05, random_state=0)",9.919678714859471e-05,0.997125,0.872,0.005529662082909221,1265,31
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997,0.872,0.00572966208290922,1261,31
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.872,0.005937995416242553,1257,31
"DecisionTreeClassifier(ccp_alpha=0.00010467894474863122, random_state=0)",0.00010467894474863122,0.9965,0.8725,0.006670748029482971,1243,31
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.996375,0.8725,0.006885033743768686,1239,31
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.996125,0.8725,0.007103783743768686,1231,31
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.996125,0.8725,0.007322533743768686,1231,31
"DecisionTreeClassifier(ccp_alpha=0.00011071855919257314, random_state=0)",0.00011071855919257314,0.995625,0.874,0.008319000776501845,1213,31
