models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.988,0.196,0.01169166666666667,3621,46
"DecisionTreeClassifier(ccp_alpha=2.7777777777777827e-05, random_state=0)",2.7777777777777827e-05,0.988,0.196,0.011719444444444447,3619,46
"DecisionTreeClassifier(ccp_alpha=3.750000000000021e-05, random_state=0)",3.750000000000021e-05,0.988,0.196,0.011756944444444448,3617,46
"DecisionTreeClassifier(ccp_alpha=7.499999999999995e-05, random_state=0)",7.499999999999995e-05,0.988,0.196,0.011906944444444447,3613,46
"DecisionTreeClassifier(ccp_alpha=8.333333333333326e-05, random_state=0)",8.333333333333326e-05,0.988,0.196,0.01199027777777778,3611,45
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.988,0.195,0.012073611111111113,3605,45
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.988,0.195,0.012156944444444446,3605,45
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.988,0.195,0.012240277777777779,3605,45
"DecisionTreeClassifier(ccp_alpha=0.000125, random_state=0)",0.000125,0.988,0.195,0.012365277777777779,3599,45
"DecisionTreeClassifier(ccp_alpha=0.000125, random_state=0)",0.000125,0.988,0.195,0.012490277777777779,3599,45
"DecisionTreeClassifier(ccp_alpha=0.000125, random_state=0)",0.000125,0.988,0.195,0.012615277777777779,3599,45
"DecisionTreeClassifier(ccp_alpha=0.0001309523809523809, random_state=0)",0.0001309523809523809,0.988,0.195,0.01274623015873016,3597,44
"DecisionTreeClassifier(ccp_alpha=0.00014814814814814815, random_state=0)",0.00014814814814814815,0.98775,0.195,0.013190674603174605,3591,44
"DecisionTreeClassifier(ccp_alpha=0.00014999999999999985, random_state=0)",0.00014999999999999985,0.98775,0.195,0.013340674603174604,3589,44
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9865,0.195,0.013674007936507937,3563,44
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9865,0.195,0.01400734126984127,3563,44
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9865,0.195,0.014340674603174603,3563,44
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9865,0.195,0.014840674603174604,3563,44
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9865,0.195,0.015174007936507937,3563,44
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9865,0.195,0.01550734126984127,3563,44
"DecisionTreeClassifier(ccp_alpha=0.0001666666666666667, random_state=0)",0.0001666666666666667,0.986,0.195,0.016174007936507938,3555,44
"DecisionTreeClassifier(ccp_alpha=0.00017500000000000003, random_state=0)",0.00017500000000000003,0.98525,0.195,0.01634900793650794,3549,44
"DecisionTreeClassifier(ccp_alpha=0.00017500000000000003, random_state=0)",0.00017500000000000003,0.98525,0.195,0.01652400793650794,3549,44
"DecisionTreeClassifier(ccp_alpha=0.00017500000000000003, random_state=0)",0.00017500000000000003,0.98525,0.195,0.016699007936507942,3549,44
"DecisionTreeClassifier(ccp_alpha=0.00017857142857142857, random_state=0)",0.00017857142857142857,0.98475,0.192,0.01741329365079366,3541,44
"DecisionTreeClassifier(ccp_alpha=0.0001833333333333334, random_state=0)",0.0001833333333333334,0.9845,0.192,0.017779960317460326,3537,44
"DecisionTreeClassifier(ccp_alpha=0.00018452380952380955, random_state=0)",0.00018452380952380955,0.98425,0.192,0.017964484126984134,3535,44
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98325,0.192,0.018339484126984135,3519,44
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98325,0.192,0.018714484126984135,3519,44
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98325,0.192,0.019089484126984135,3519,44
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98325,0.192,0.019464484126984136,3519,44
"DecisionTreeClassifier(ccp_alpha=0.00018809523809523807, random_state=0)",0.00018809523809523807,0.98275,0.194,0.01984067460317461,3515,43
"DecisionTreeClassifier(ccp_alpha=0.0001888888888888886, random_state=0)",0.0001888888888888886,0.9825,0.194,0.020029563492063498,3513,43
"DecisionTreeClassifier(ccp_alpha=0.00019444444444444435, random_state=0)",0.00019444444444444435,0.9825,0.194,0.020224007936507943,3511,43
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.98125,0.194,0.020624007936507944,3491,43
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.98125,0.194,0.021024007936507945,3491,43
