models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9991666666666666,0.3433333333333333,0.0,1617,25
"DecisionTreeClassifier(ccp_alpha=0.00026041666666666666, random_state=0)",0.00026041666666666666,0.9991666666666666,0.3433333333333333,0.00078125,1611,25
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9975,0.345,0.0014955357142857144,1595,25
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9975,0.345,0.002209821428571429,1595,25
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9975,0.345,0.0029241071428571432,1595,25
"DecisionTreeClassifier(ccp_alpha=0.0003571428571428572, random_state=0)",0.0003571428571428572,0.9975,0.345,0.0036383928571428574,1595,25
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.99625,0.345,0.004367559523809524,1583,25
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.99625,0.345,0.0050967261904761915,1583,25
"DecisionTreeClassifier(ccp_alpha=0.00036458333333333335, random_state=0)",0.00036458333333333335,0.99625,0.345,0.0058258928571428585,1583,25
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9941666666666666,0.3433333333333333,0.006566633597883599,1563,25
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9941666666666666,0.3433333333333333,0.00730737433862434,1563,25
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9941666666666666,0.3433333333333333,0.00804811507936508,1563,25
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9941666666666666,0.3433333333333333,0.008788855820105822,1563,25
"DecisionTreeClassifier(ccp_alpha=0.00037037037037037035, random_state=0)",0.00037037037037037035,0.9941666666666666,0.3433333333333333,0.009529596560846563,1563,25
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9929166666666667,0.3433333333333333,0.010279596560846564,1551,25
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9929166666666667,0.3433333333333333,0.011029596560846565,1551,25
"DecisionTreeClassifier(ccp_alpha=0.0003750000000000001, random_state=0)",0.0003750000000000001,0.9929166666666667,0.3433333333333333,0.011779596560846565,1551,25
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.99125,0.3433333333333333,0.012537172318422322,1535,25
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.99125,0.3433333333333333,0.01329474807599808,1535,25
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.99125,0.3433333333333333,0.014052323833573837,1535,25
"DecisionTreeClassifier(ccp_alpha=0.00037878787878787884, random_state=0)",0.00037878787878787884,0.99125,0.3433333333333333,0.014809899591149594,1535,25
"DecisionTreeClassifier(ccp_alpha=0.00038194444444444446, random_state=0)",0.00038194444444444446,0.9908333333333333,0.3433333333333333,0.015573788480038483,1531,25
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9895833333333334,0.3433333333333333,0.01634301924926925,1519,25
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9895833333333334,0.3433333333333333,0.01711225001850002,1519,25
"DecisionTreeClassifier(ccp_alpha=0.00038461538461538445, random_state=0)",0.00038461538461538445,0.9895833333333334,0.3433333333333333,0.01788148078773079,1519,25
"DecisionTreeClassifier(ccp_alpha=0.0003853046594982078, random_state=0)",0.0003853046594982078,0.9883333333333333,0.3433333333333333,0.020193308744720036,1507,25
"DecisionTreeClassifier(ccp_alpha=0.0003854166666666668, random_state=0)",0.0003854166666666668,0.9875,0.3416666666666667,0.021734975411386703,1499,25
"DecisionTreeClassifier(ccp_alpha=0.000388888888888889, random_state=0)",0.000388888888888889,0.9870833333333333,0.3416666666666667,0.02251275318916448,1495,25
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.98625,0.3433333333333333,0.02329400318916448,1487,25
"DecisionTreeClassifier(ccp_alpha=0.000390625, random_state=0)",0.000390625,0.98625,0.3433333333333333,0.02407525318916448,1487,25
"DecisionTreeClassifier(ccp_alpha=0.0003935185185185186, random_state=0)",0.0003935185185185186,0.9858333333333333,0.3433333333333333,0.024862290226201518,1483,25
"DecisionTreeClassifier(ccp_alpha=0.0003958333333333332, random_state=0)",0.0003958333333333332,0.9854166666666667,0.3433333333333333,0.025653956892868184,1479,25
"DecisionTreeClassifier(ccp_alpha=0.0003977272727272729, random_state=0)",0.0003977272727272729,0.985,0.3433333333333333,0.02644941143832273,1475,25
