models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.99875,0.5075,0.0,763,30
"DecisionTreeClassifier(ccp_alpha=0.0004999999999999999, random_state=0)",0.0004999999999999999,0.999375,0.5075,0.0009999999999999998,759,30
"DecisionTreeClassifier(ccp_alpha=0.0005208333333333333, random_state=0)",0.0005208333333333333,0.99875,0.5075,0.0020416666666666665,755,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.996875,0.505,0.003152777777777778,743,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.996875,0.505,0.004263888888888889,743,30
"DecisionTreeClassifier(ccp_alpha=0.0005555555555555556, random_state=0)",0.0005555555555555556,0.996875,0.505,0.0053750000000000004,743,30
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.995,0.5,0.006500000000000001,731,30
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.995,0.5,0.007625000000000001,731,30
"DecisionTreeClassifier(ccp_alpha=0.0005625000000000002, random_state=0)",0.0005625000000000002,0.995,0.5,0.00875,731,30
"DecisionTreeClassifier(ccp_alpha=0.0005681818181818183, random_state=0)",0.0005681818181818183,0.994375,0.5,0.009886363636363638,727,30
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.9925,0.5,0.011032196969696971,715,30
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.9925,0.5,0.012178030303030305,715,30
"DecisionTreeClassifier(ccp_alpha=0.0005729166666666667, random_state=0)",0.0005729166666666667,0.9925,0.5,0.013323863636363639,715,30
"DecisionTreeClassifier(ccp_alpha=0.0005769230769230767, random_state=0)",0.0005769230769230767,0.991875,0.5,0.014477709790209792,711,30
"DecisionTreeClassifier(ccp_alpha=0.000580357142857143, random_state=0)",0.000580357142857143,0.99125,0.5,0.015638424075924078,707,30
"DecisionTreeClassifier(ccp_alpha=0.0005833333333333335, random_state=0)",0.0005833333333333335,0.990625,0.5,0.016805090742590744,703,30
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.98875,0.5,0.017976965742590743,691,30
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.98875,0.5,0.019148840742590743,691,30
"DecisionTreeClassifier(ccp_alpha=0.0005859375, random_state=0)",0.0005859375,0.98875,0.5,0.020320715742590742,691,30
"DecisionTreeClassifier(ccp_alpha=0.0005902777777777779, random_state=0)",0.0005902777777777779,0.988125,0.5,0.021501271298146298,687,30
"DecisionTreeClassifier(ccp_alpha=0.0005921052631578951, random_state=0)",0.0005921052631578951,0.9875,0.5025,0.02268548182446209,683,30
"DecisionTreeClassifier(ccp_alpha=0.0005937499999999999, random_state=0)",0.0005937499999999999,0.986875,0.5,0.02387298182446209,679,30
"DecisionTreeClassifier(ccp_alpha=0.0005952380952380954, random_state=0)",0.0005952380952380954,0.98625,0.5,0.02506345801493828,675,30
"DecisionTreeClassifier(ccp_alpha=0.0005965909090909094, random_state=0)",0.0005965909090909094,0.985625,0.5,0.0262566398331201,671,30
"DecisionTreeClassifier(ccp_alpha=0.0005978260869565219, random_state=0)",0.0005978260869565219,0.985,0.5025,0.02745229200703314,667,30
"DecisionTreeClassifier(ccp_alpha=0.0005982905982905977, random_state=0)",0.0005982905982905977,0.984375,0.5025,0.028648873203614336,663,30
"DecisionTreeClassifier(ccp_alpha=0.00060546875, random_state=0)",0.00060546875,0.98375,0.5025,0.029859810703614334,659,30
"DecisionTreeClassifier(ccp_alpha=0.0007407407407407406, random_state=0)",0.0007407407407407406,0.981875,0.5025,0.03208203292583656,653,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.978125,0.4975,0.03358203292583656,641,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.978125,0.4975,0.03508203292583656,641,30
"DecisionTreeClassifier(ccp_alpha=0.00075, random_state=0)",0.00075,0.978125,0.4975,0.03658203292583656,641,30
"DecisionTreeClassifier(ccp_alpha=0.0007916666666666666, random_state=0)",0.0007916666666666666,0.978125,0.4975,0.03737369959250323,639,30
"DecisionTreeClassifier(ccp_alpha=0.000808080808080808, random_state=0)",0.000808080808080808,0.976875,0.495,0.03898986120866484,635,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96875,0.495,0.039823194541998175,609,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96875,0.495,0.040656527875331507,609,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96875,0.495,0.04148986120866484,609,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96875,0.495,0.04232319454199817,609,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96875,0.495,0.043989861208664834,609,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96875,0.495,0.044823194541998165,609,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96875,0.495,0.0456565278753315,609,30
"DecisionTreeClassifier(ccp_alpha=0.0008333333333333333, random_state=0)",0.0008333333333333333,0.96875,0.495,0.04648986120866483,609,30
