models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.3385,0.0,6187,45
"DecisionTreeClassifier(ccp_alpha=8.134920634920631e-05, random_state=0)",8.134920634920631e-05,0.999875,0.339,0.00024404761904761894,6181,45
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.999625,0.339,0.00041071428571428563,6173,45
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.999625,0.339,0.0005773809523809523,6173,45
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.339,0.0007648809523809522,6149,45
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.339,0.0009523809523809522,6149,45
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.339,0.0011398809523809521,6149,45
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.339,0.001327380952380952,6149,45
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.339,0.001514880952380952,6149,45
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.339,0.001702380952380952,6149,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998125,0.339,0.0019023809523809518,6125,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998125,0.339,0.002102380952380952,6125,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998125,0.339,0.002302380952380952,6125,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998125,0.339,0.002502380952380952,6125,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998125,0.339,0.002702380952380952,6125,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998125,0.339,0.0029023809523809523,6125,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.339,0.0031107142857142857,6085,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.339,0.003319047619047619,6085,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.339,0.0035273809523809524,6085,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.339,0.003735714285714286,6085,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.339,0.003944047619047619,6085,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.339,0.004152380952380952,6085,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.996875,0.339,0.004360714285714285,6085,45
