models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.458,0.0,4623,50
"DecisionTreeClassifier(ccp_alpha=8.055555555555552e-05, random_state=0)",8.055555555555552e-05,0.999875,0.458,0.00024166666666666656,4617,50
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.99975,0.4575,0.00042916666666666656,4613,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998875,0.4575,0.0006291666666666665,4585,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998875,0.4575,0.0008291666666666665,4585,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998875,0.4575,0.0010291666666666665,4585,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998875,0.4575,0.0012291666666666664,4585,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998875,0.4575,0.0014291666666666663,4585,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998875,0.4575,0.0016291666666666661,4585,50
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.998875,0.4575,0.001829166666666666,4585,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.457,0.0020374999999999994,4557,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.457,0.0022458333333333328,4557,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.457,0.002454166666666666,4557,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.457,0.0026624999999999995,4557,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.457,0.002870833333333333,4557,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.457,0.0030791666666666663,4557,50
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.998,0.457,0.0032874999999999996,4557,50
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.99675,0.4585,0.003501785714285714,4517,50
