models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.869,0.0,1397,38
"DecisionTreeClassifier(ccp_alpha=8.219178082191766e-05, random_state=0)",8.219178082191766e-05,0.999875,0.8695,0.000246575342465753,1391,38
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.99975,0.869,0.00044657534246575297,1387,38
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.999625,0.869,0.0006549086757990863,1383,38
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9995,0.869,0.0008691943900848006,1379,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99925,0.8695,0.0010879443900848006,1371,38
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99925,0.8695,0.0013066943900848006,1371,38
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.998875,0.8695,0.0015289166123070227,1359,38
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.998875,0.8695,0.001751138834529245,1359,38
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.998875,0.8695,0.001973361056751467,1359,38
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.99875,0.8695,0.0022006337840241945,1355,38
"DecisionTreeClassifier(ccp_alpha=0.00011513157894736847, random_state=0)",0.00011513157894736847,0.998375,0.87,0.0028914232577084056,1343,38
"DecisionTreeClassifier(ccp_alpha=0.00011538461538461534, random_state=0)",0.00011538461538461534,0.99825,0.8705,0.003122192488477636,1339,38
"DecisionTreeClassifier(ccp_alpha=0.00011574074074074075, random_state=0)",0.00011574074074074075,0.998,0.871,0.003585155451440599,1331,38
"DecisionTreeClassifier(ccp_alpha=0.0001160714285714286, random_state=0)",0.0001160714285714286,0.997,0.8715,0.003817298308583456,1299,38
"DecisionTreeClassifier(ccp_alpha=0.0001160714285714286, random_state=0)",0.0001160714285714286,0.997,0.8715,0.004049441165726313,1299,38
"DecisionTreeClassifier(ccp_alpha=0.0001160714285714286, random_state=0)",0.0001160714285714286,0.997,0.8715,0.004745869737154885,1299,38
"DecisionTreeClassifier(ccp_alpha=0.0001160714285714286, random_state=0)",0.0001160714285714286,0.997,0.8715,0.004978012594297742,1299,38
"DecisionTreeClassifier(ccp_alpha=0.0001160714285714286, random_state=0)",0.0001160714285714286,0.997,0.8715,0.005442298308583456,1299,38
"DecisionTreeClassifier(ccp_alpha=0.00011609686609686615, random_state=0)",0.00011609686609686615,0.996875,0.8715,0.005674492040777188,1295,38
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.996625,0.8715,0.006141158707443854,1287,38
"DecisionTreeClassifier(ccp_alpha=0.00011693548387096771, random_state=0)",0.00011693548387096771,0.996375,0.8715,0.006608900642927725,1279,38
"DecisionTreeClassifier(ccp_alpha=0.00011742424242424239, random_state=0)",0.00011742424242424239,0.996125,0.872,0.007078597612624695,1271,38
"DecisionTreeClassifier(ccp_alpha=0.00011764705882352944, random_state=0)",0.00011764705882352944,0.995875,0.8725,0.007313891730271754,1263,38
"DecisionTreeClassifier(ccp_alpha=0.00011764705882352944, random_state=0)",0.00011764705882352944,0.995875,0.8725,0.007549185847918813,1263,38
"DecisionTreeClassifier(ccp_alpha=0.0001177884615384615, random_state=0)",0.0001177884615384615,0.9955,0.8725,0.008255916617149582,1251,37
"DecisionTreeClassifier(ccp_alpha=0.00011785714285714282, random_state=0)",0.00011785714285714282,0.99525,0.873,0.008727345188578152,1243,37
"DecisionTreeClassifier(ccp_alpha=0.00011805555555555559, random_state=0)",0.00011805555555555559,0.994875,0.873,0.008963456299689263,1231,37
"DecisionTreeClassifier(ccp_alpha=0.00011805555555555559, random_state=0)",0.00011805555555555559,0.994875,0.873,0.009435678521911486,1231,37
"DecisionTreeClassifier(ccp_alpha=0.00011842105263157901, random_state=0)",0.00011842105263157901,0.99475,0.873,0.009672520627174644,1227,37
"DecisionTreeClassifier(ccp_alpha=0.00011874999999999997, random_state=0)",0.00011874999999999997,0.9945,0.873,0.009910020627174644,1219,37
"DecisionTreeClassifier(ccp_alpha=0.00011874999999999997, random_state=0)",0.00011874999999999997,0.9945,0.873,0.010147520627174644,1219,37
"DecisionTreeClassifier(ccp_alpha=0.00011931818181818187, random_state=0)",0.00011931818181818187,0.994125,0.873,0.010863429718083736,1207,37
"DecisionTreeClassifier(ccp_alpha=0.00011979166666666674, random_state=0)",0.00011979166666666674,0.993875,0.873,0.011103013051417069,1199,37
"DecisionTreeClassifier(ccp_alpha=0.00011979166666666674, random_state=0)",0.00011979166666666674,0.993875,0.873,0.011342596384750402,1199,37
"DecisionTreeClassifier(ccp_alpha=0.00011999999999999996, random_state=0)",0.00011999999999999996,0.993625,0.873,0.011822596384750401,1191,37
"DecisionTreeClassifier(ccp_alpha=0.00012004566210045695, random_state=0)",0.00012004566210045695,0.9935,0.873,0.012062687708951315,1187,37
"DecisionTreeClassifier(ccp_alpha=0.00012019230769230777, random_state=0)",0.00012019230769230777,0.993125,0.874,0.012543456939720546,1175,37
"DecisionTreeClassifier(ccp_alpha=0.00012019230769230777, random_state=0)",0.00012019230769230777,0.993125,0.874,0.012783841555105162,1175,37
"DecisionTreeClassifier(ccp_alpha=0.00012031249999999994, random_state=0)",0.00012031249999999994,0.99275,0.8745,0.013505716555105162,1163,37
"DecisionTreeClassifier(ccp_alpha=0.00012096774193548379, random_state=0)",0.00012096774193548379,0.992625,0.8745,0.01374765203897613,1159,37
