models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.2355,0.0,6969,40
"DecisionTreeClassifier(ccp_alpha=7.894736842105267e-05, random_state=0)",7.894736842105267e-05,0.999875,0.2355,0.00023684210526315802,6963,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999625,0.2355,0.000424342105263158,6955,40
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.999625,0.2355,0.000611842105263158,6955,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.000811842105263158,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.001011842105263158,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.0012118421052631579,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.0014118421052631577,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.0016118421052631576,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.0018118421052631575,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.0020118421052631574,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.0022118421052631575,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.0024118421052631575,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.0026118421052631576,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.0028118421052631577,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.003011842105263158,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.003211842105263158,6899,40
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.997875,0.235,0.003411842105263158,6899,40
"DecisionTreeClassifier(ccp_alpha=0.0001015625, random_state=0)",0.0001015625,0.997625,0.235,0.003818092105263158,6891,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.004026425438596491,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.004234758771929824,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.004443092105263157,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.00465142543859649,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.004859758771929823,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.005068092105263156,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.0052764254385964885,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.0054847587719298214,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.005693092105263154,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.005901425438596487,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.99625,0.2345,0.00610975877192982,6847,37
"DecisionTreeClassifier(ccp_alpha=0.00010624999999999998, random_state=0)",0.00010624999999999998,0.99575,0.2345,0.00653475877192982,6831,37
"DecisionTreeClassifier(ccp_alpha=0.00010624999999999998, random_state=0)",0.00010624999999999998,0.99575,0.2345,0.00695975877192982,6831,37
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9945,0.235,0.007174044486215535,6791,37
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9945,0.235,0.0073883302005012495,6791,37
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9945,0.235,0.007602615914786964,6791,37
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9945,0.235,0.007816901629072679,6791,37
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9945,0.235,0.008031187343358392,6791,37
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9945,0.235,0.008245473057644106,6791,37
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9945,0.235,0.00845975877192982,6791,37
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9945,0.235,0.008674044486215534,6791,37
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9945,0.235,0.008888330200501247,6791,37
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9945,0.235,0.009102615914786961,6791,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.009321365914786961,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.009540115914786962,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.009758865914786962,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.009977615914786962,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.010196365914786962,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.010415115914786962,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.010633865914786962,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.010852615914786963,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.011071365914786963,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.011290115914786963,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.011508865914786963,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.011727615914786963,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.011946365914786964,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.012165115914786964,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.012383865914786964,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.012602615914786964,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.012821365914786964,6719,37
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.99225,0.234,0.013040115914786965,6719,37
"DecisionTreeClassifier(ccp_alpha=0.00011041666666666669, random_state=0)",0.00011041666666666669,0.991875,0.234,0.013702615914786965,6707,37
"DecisionTreeClassifier(ccp_alpha=0.00011082393483709274, random_state=0)",0.00011082393483709274,0.9915,0.2345,0.01436755952380952,6695,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.014589781746031743,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.014812003968253966,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.015034226190476188,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.01525644841269841,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.015478670634920633,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.015700892857142854,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.015923115079365075,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.016145337301587296,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.016367559523809517,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.016589781746031738,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.01681200396825396,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.01703422619047618,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.0172564484126984,6639,37
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.98975,0.2355,0.01747867063492062,6639,37
"DecisionTreeClassifier(ccp_alpha=0.00011249999999999998, random_state=0)",0.00011249999999999998,0.9895,0.2355,0.01792867063492062,6631,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.01815367063492062,6575,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.01837867063492062,6575,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.01860367063492062,6575,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.01882867063492062,6575,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.019053670634920618,6575,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.019278670634920617,6575,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.019503670634920617,6575,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.019728670634920616,6575,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.019953670634920616,6575,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.020178670634920615,6575,37
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.98775,0.236,0.020403670634920615,6575,37
