models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.3325,0.0,6195,36
"DecisionTreeClassifier(ccp_alpha=7.986111111111116e-05, random_state=0)",7.986111111111116e-05,0.999875,0.3325,0.00023958333333333348,6189,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9995,0.3325,0.00040625000000000014,6177,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9995,0.3325,0.0005729166666666668,6177,36
"DecisionTreeClassifier(ccp_alpha=8.333333333333333e-05, random_state=0)",8.333333333333333e-05,0.9995,0.3325,0.0007395833333333334,6177,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.3325,0.0009270833333333334,6157,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.3325,0.0011145833333333333,6157,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.3325,0.0013020833333333333,6157,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.3325,0.0014895833333333332,6157,36
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.998875,0.3325,0.0016770833333333332,6157,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9975,0.333,0.001877083333333333,6113,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9975,0.333,0.002077083333333333,6113,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9975,0.333,0.002277083333333333,6113,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9975,0.333,0.0024770833333333333,6113,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9975,0.333,0.0026770833333333334,6113,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9975,0.333,0.0028770833333333335,6113,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9975,0.333,0.0030770833333333336,6113,36
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.9975,0.333,0.0032770833333333337,6113,36
