models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.4725,0.0,4677,45
"DecisionTreeClassifier(ccp_alpha=7.291666666666667e-05, random_state=0)",7.291666666666667e-05,0.999875,0.4725,0.00021875,4671,45
"DecisionTreeClassifier(ccp_alpha=8.024691358024688e-05, random_state=0)",8.024691358024688e-05,0.99975,0.4725,0.00045949074074074067,4665,45
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.9995,0.4725,0.0006469907407407407,4657,45
"DecisionTreeClassifier(ccp_alpha=9.375e-05, random_state=0)",9.375e-05,0.9995,0.4725,0.0008344907407407407,4657,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.99875,0.4725,0.0010344907407407406,4633,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.99875,0.4725,0.0012344907407407404,4633,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.99875,0.4725,0.0014344907407407403,4633,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.99875,0.4725,0.0016344907407407402,4633,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.99875,0.4725,0.00183449074074074,4633,45
"DecisionTreeClassifier(ccp_alpha=9.999999999999998e-05, random_state=0)",9.999999999999998e-05,0.99875,0.4725,0.00203449074074074,4633,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997625,0.4715,0.0022428240740740733,4597,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997625,0.4715,0.0024511574074074067,4597,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997625,0.4715,0.00265949074074074,4597,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997625,0.4715,0.0028678240740740734,4597,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997625,0.4715,0.003076157407407407,4597,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997625,0.4715,0.00328449074074074,4597,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997625,0.4715,0.0034928240740740735,4597,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997625,0.4715,0.003701157407407407,4597,45
"DecisionTreeClassifier(ccp_alpha=0.00010416666666666667, random_state=0)",0.00010416666666666667,0.997625,0.4715,0.00390949074074074,4597,45
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9965,0.472,0.004123776455026455,4561,45
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.9965,0.472,0.0043380621693121695,4561,45
