models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,1.0,0.8735,0.0,1403,46
"DecisionTreeClassifier(ccp_alpha=8.114035087719291e-05, random_state=0)",8.114035087719291e-05,0.99975,0.8735,0.00024342105263157874,1391,46
"DecisionTreeClassifier(ccp_alpha=8.114035087719291e-05, random_state=0)",8.114035087719291e-05,0.99975,0.8735,0.0004868421052631575,1391,46
"DecisionTreeClassifier(ccp_alpha=8.119658119658112e-05, random_state=0)",8.119658119658112e-05,0.999625,0.8735,0.0007304318488529009,1385,46
"DecisionTreeClassifier(ccp_alpha=8.280254777070087e-05, random_state=0)",8.280254777070087e-05,0.9995,0.8745,0.0009788394921650034,1379,46
"DecisionTreeClassifier(ccp_alpha=8.289007092198549e-05, random_state=0)",8.289007092198549e-05,0.999375,0.8745,0.0012275097049309599,1373,46
"DecisionTreeClassifier(ccp_alpha=0.00010576923076923077, random_state=0)",0.00010576923076923077,0.999125,0.8745,0.001650586628007883,1365,46
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.998875,0.8745,0.0018648723422935974,1357,46
"DecisionTreeClassifier(ccp_alpha=0.00010714285714285716, random_state=0)",0.00010714285714285716,0.998875,0.8745,0.0020791580565793118,1357,46
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.998625,0.8745,0.002297908056579312,1349,46
"DecisionTreeClassifier(ccp_alpha=0.000109375, random_state=0)",0.000109375,0.998625,0.8745,0.002516658056579312,1349,46
"DecisionTreeClassifier(ccp_alpha=0.0001111111111111111, random_state=0)",0.0001111111111111111,0.9985,0.875,0.0027388802788015343,1345,46
"DecisionTreeClassifier(ccp_alpha=0.00011250000000000002, random_state=0)",0.00011250000000000002,0.99825,0.8755,0.0031888802788015346,1337,46
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.997875,0.8755,0.003416153006074262,1325,46
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.997875,0.8755,0.0036434257333469895,1325,46
"DecisionTreeClassifier(ccp_alpha=0.00011363636363636365, random_state=0)",0.00011363636363636365,0.997875,0.8755,0.003870698460619717,1325,46
"DecisionTreeClassifier(ccp_alpha=0.00011381847319347332, random_state=0)",0.00011381847319347332,0.997625,0.8755,0.00432597235339361,1317,46
"DecisionTreeClassifier(ccp_alpha=0.00011413043478260867, random_state=0)",0.00011413043478260867,0.997375,0.8755,0.004782494092524045,1309,46
"DecisionTreeClassifier(ccp_alpha=0.00011414141414141425, random_state=0)",0.00011414141414141425,0.996625,0.8755,0.00626633247636243,1283,46
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333333, random_state=0)",0.00011458333333333333,0.99625,0.877,0.00695383247636243,1271,46
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.996,0.877,0.007182999143029096,1263,46
"DecisionTreeClassifier(ccp_alpha=0.00011458333333333334, random_state=0)",0.00011458333333333334,0.996,0.877,0.007412165809695763,1263,46
"DecisionTreeClassifier(ccp_alpha=0.00011538461538461534, random_state=0)",0.00011538461538461534,0.99575,0.8765,0.007642935040464993,1255,46
"DecisionTreeClassifier(ccp_alpha=0.00011538461538461534, random_state=0)",0.00011538461538461534,0.99575,0.8765,0.007873704271234225,1255,46
"DecisionTreeClassifier(ccp_alpha=0.00011578947368421057, random_state=0)",0.00011578947368421057,0.995625,0.8765,0.008105283218602646,1251,46
"DecisionTreeClassifier(ccp_alpha=0.00011609435173299108, random_state=0)",0.00011609435173299108,0.9955,0.8765,0.008337471922068629,1247,46
"DecisionTreeClassifier(ccp_alpha=0.00011637931034482755, random_state=0)",0.00011637931034482755,0.99525,0.8765,0.00880298916344794,1239,46
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.994875,0.876,0.009036322496781274,1227,46
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.994875,0.876,0.009269655830114607,1227,46
"DecisionTreeClassifier(ccp_alpha=0.00011666666666666669, random_state=0)",0.00011666666666666669,0.994875,0.876,0.00950298916344794,1227,46
"DecisionTreeClassifier(ccp_alpha=0.00011689322301024428, random_state=0)",0.00011689322301024428,0.994,0.877,0.011256387508601605,1197,46
"DecisionTreeClassifier(ccp_alpha=0.0001171875, random_state=0)",0.0001171875,0.993875,0.877,0.011490762508601605,1193,46
