Model_Target,MSE,MAE,R2
LinearRegression_['ethnoracial group'],1.368548575435745,0.9200830581970669,0.00023462755624148457
DecisionTree_['ethnoracial group'],2.6197700820866494,1.07287297979798,-0.9138198371953568
RandomForest_['ethnoracial group'],1.5875312508169086,0.9786494112156467,-0.15973871934631334
LinearRegression_['gender'],0.31033011113726977,0.5085246999883175,-0.004629689664194858
DecisionTree_['gender'],0.6843158868514693,0.5617553030303031,-1.2153314563012927
RandomForest_['gender'],0.3485497399505334,0.5125149599073575,-0.12835785027689695
LinearRegression_['international status'],0.04343060607323009,0.0866261808906323,-1.97116775961792e-05
DecisionTree_['international status'],0.08658344779869401,0.08757575757575756,-0.9936437073364222
RandomForest_['international status'],0.05044216794631672,0.0937704601962697,-0.1614657681961491
LinearRegression_['career aspirations'],0.0004229396730737041,0.01513713481306939,-8.351130139083729e-05
DecisionTree_['career aspirations'],0.0008489762530063309,0.02187282456108061,-1.007489971200004
RandomForest_['career aspirations'],0.000473566758996129,0.01599565181283607,-0.11979636180863706
LinearRegression_['future topics'],0.0004951539300108955,0.008223114119649556,0.0008426516924492367
DecisionTree_['future topics'],0.0009362011318316506,0.012745840053486104,-0.8891342341620048
RandomForest_['future topics'],0.0005718318108351213,0.009740011506934296,-0.15388351210168683
"LinearRegression_['ethnoracial group', 'gender', 'international status']",0.5741030975487486,0.5050779796920061,-0.001471591261850665
"DecisionTree_['ethnoracial group', 'gender', 'international status']",1.1532781729649184,0.5723061447811448,-1.0044233796996693
"RandomForest_['ethnoracial group', 'gender', 'international status']",0.6456307864338106,0.5209591839562907,-0.11777233416139743
"LinearRegression_['career aspirations', 'future topics']",0.00045904680154230026,0.011680124466359482,0.00037957019552808946
"DecisionTree_['career aspirations', 'future topics']",0.0008676140016852694,0.017241808555735476,-0.9006429386336442
"RandomForest_['career aspirations', 'future topics']",0.000512621072311213,0.012707731762003655,-0.11306692097423432
LinearRegression_all_columns,0.34464547724986605,0.3077188376017474,-0.0007311266788991633
DecisionTree_all_columns,0.679803645535039,0.34800553776009163,-0.920375716647106
RandomForest_all_columns,0.39687586670178665,0.3197755022318983,-0.1269426581673637
