learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,target,model
2.1596250433806557e-05,-2.015126298441658e-05,-0.00026610435674441333,8.427511627383708e-05,-0.00012706808489783254,1.9900638455301816e-05,5.71231239766869e-05,-7.823478641447912e-06,-9.626808591511353e-06,Career Aspirations,Linear Regression
2.1596250433806557e-05,1.335061055900388e-05,0.00015544709948436028,4.771823518101193e-06,-2.296511365599832e-05,1.3257566027791122e-05,2.1235861132915723e-06,-4.270682697407811e-06,-1.4294785617552316e-06,Career Aspirations,Linear Regression
-1.962586538951047e-05,7.197205214293999e-06,0.00026083496354155366,4.771823518101193e-06,-1.0511686953008886e-05,-1.0141527920760597e-05,2.144537199782502e-06,-7.4099928795468516e-06,-1.986843277824118e-06,Career Aspirations,Linear Regression
-8.577926635601857e-06,1.198318714906835e-05,-0.0003714922208016067,-7.365312695732094e-05,6.179847580697315e-06,-1.038231242298808e-05,-0.0007413165102645932,-8.97083072278667e-06,-6.620706846470515e-06,Career Aspirations,Linear Regression
-1.962586538951047e-05,2.0871439313649292e-05,0.00015544709948436028,4.771823518101193e-06,4.0471354631193185e-05,-7.72508345198221e-06,2.182435980444575e-06,-1.0172689427077461e-05,-1.6893736601546123e-06,Career Aspirations,Linear Regression
-4.17223519273049e-06,-2.1062878591040266e-05,-0.00016071649268721992,-8.426105886127215e-05,-0.00011445849774822074,2.843343925296828e-05,-5.6676905868327315e-05,-9.879315544714359e-06,-2.5947653507917132e-06,Career Aspirations,Linear Regression
2.1596250433806557e-05,1.4945937870595337e-05,0.00026083496354155366,4.771823518101193e-06,-7.850758030217168e-06,-8.14430646925043e-06,2.1552129126451413e-06,-1.097351750276593e-05,-2.4382282210711457e-06,Career Aspirations,Linear Regression
-1.962586538951047e-05,2.0643535411993375e-05,0.00026083496354155366,7.84281144383066e-05,3.419473372798573e-05,-8.682488496552438e-06,2.2005846923098765e-06,-8.834564165404884e-06,-3.297745349375475e-06,Career Aspirations,Linear Regression
-5.956400891820966e-06,3.6008816461635687e-07,0.0003662228275987471,4.771823518101193e-06,8.445217686547734e-06,-4.39996413551505e-06,2.1944461574143035e-06,-8.891537151387201e-06,-1.8584169358411643e-06,Career Aspirations,Linear Regression
9.470485921889493e-06,2.1783054920272978e-05,0.00020814103151295697,4.771823518101193e-06,-5.625565347182233e-05,-5.479194672282947e-06,2.27798361056253e-06,1.0351643795778205e-05,-2.076573473096171e-06,Career Aspirations,Linear Regression
-4.17223519273049e-06,-1.71885122628896e-05,-0.0003714922208016067,-3.091726769780046e-05,0.000123940665461297,6.922640433488406e-06,-5.453735956430533e-05,-8.88043851775399e-06,-5.464308954902998e-06,Career Aspirations,Linear Regression
-4.17223519273049e-06,3.6008816461635687e-07,0.0003662228275987471,4.771823518101193e-06,8.445217686547734e-06,-4.39996413551505e-06,2.1944461574143035e-06,-8.891537151387201e-06,-2.17934258736851e-06,Career Aspirations,Linear Regression
2.4196201683683717e-05,9.020436427541372e-06,-0.00016071649268721992,8.705339354300453e-05,-1.3226429483268863e-05,-9.075913174297987e-06,1.1338327670412583e-05,-8.473611936032583e-06,-1.359059790662126e-05,Career Aspirations,Linear Regression
-1.962586538951047e-05,1.061576373913283e-05,0.00015544709948436028,2.129872824432807e-05,-1.1455967486857536e-05,-5.357369180085277e-06,2.0209658234023415e-06,-3.312071759905367e-05,-1.4226646750517732e-06,Career Aspirations,Linear Regression
-4.17223519273049e-06,-1.946755127944882e-05,-0.00016071649268721992,-6.363472616617043e-05,9.498350781202322e-05,-0.00012084363606067033,4.836151305199131e-06,-9.020527937831593e-06,4.042745437591535e-06,Career Aspirations,Linear Regression
-4.17223519273049e-06,-1.71885122628896e-05,-0.00016071649268721992,-0.00011609289954917812,2.6805681657682274e-05,-2.1902704261677257e-05,-7.005317374559774e-05,-1.1561128494552018e-05,2.9798073488217988e-05,Career Aspirations,Linear Regression
2.4196201683683717e-05,7.425109115949926e-06,0.00026083496354155366,-2.2575297945858825e-05,1.126596953882767e-05,-5.803766448335832e-07,2.213528994155308e-06,-6.482270425988674e-06,-5.462530334188368e-07,Career Aspirations,Linear Regression
2.1596250433806557e-05,1.836449639543416e-05,-0.00010802256065862322,0.00010242667236497386,9.895552381720338e-05,1.1774161505144222e-05,1.3024903477662741e-06,-8.739732506919327e-06,-8.688090545536555e-06,Career Aspirations,Linear Regression
-4.17223519273049e-06,1.955415476207804e-06,0.00031352889557015036,-1.4099955110534887e-05,-1.7231194485725483e-05,-3.678327249374572e-06,2.2039208525798216e-06,-8.891537151387201e-06,-1.632809147078389e-09,Career Aspirations,Linear Regression
2.4196201683683717e-05,-1.878383957448105e-05,0.00026083496354155366,0.00020848323674182618,-1.6788528316350025e-05,-1.246059799012893e-07,2.220601653928066e-06,-8.891537151387201e-06,-3.2623720239581244e-06,Career Aspirations,Linear Regression
-1.962586538951047e-05,8.792532525885455e-06,-0.00021341042471581664,-6.346574223290722e-05,0.00010789510756572612,-7.918433407270177e-05,4.383853378362164e-05,-8.891907105841437e-06,1.0606745604719277e-06,Career Aspirations,Linear Regression
-4.17223519273049e-06,-8.072356196652743e-06,0.00010275316745576358,-4.633467557958784e-05,4.6999307198406844e-05,-1.936222710943115e-06,1.4492813996231196e-06,-8.891907105841437e-06,-6.909806319362278e-06,Career Aspirations,Linear Regression
2.1596250433806557e-05,-1.8328031771169207e-05,0.00026083496354155366,4.771823518101193e-06,7.138671371751275e-06,-5.259908786326345e-06,2.182435980444575e-06,-8.902512466868317e-06,-5.716114315385024e-06,Career Aspirations,Linear Regression
-1.962586538951047e-05,-6.477028885061285e-06,-0.00021341042471581664,-0.0001323402019214183,-8.959450605919856e-05,-4.3409203357901364e-05,-0.00012587620940991188,-8.891537151387201e-06,-5.5545450882729594e-05,Career Aspirations,Linear Regression
2.4196201683683717e-05,-4.425893770157995e-06,0.00026083496354155366,4.771823518101193e-06,-1.5392425405961147e-05,-3.7277740667979917e-06,2.1538784485380523e-06,-8.891537151387201e-06,-1.755087007848359e-06,Career Aspirations,Linear Regression
2.1596250433806557e-05,2.246676662524075e-05,-0.00021341042471581664,8.691181773894059e-05,0.00011996616394590008,-8.69891343938541e-07,-3.1401888773934094e-05,-8.339811741680396e-06,-1.0774864378987136e-05,Career Aspirations,Linear Regression
-1.962586538951047e-05,1.0843667640788746e-05,-0.00026610435674441333,6.510874955150816e-05,2.4831432714157698e-05,-9.845641031790602e-05,2.4128498911541305e-05,-8.484957205968617e-06,-1.5273319474830763e-05,Career Aspirations,Linear Regression
