Model_Target,MSE,MAE,R2,RMSE,MAPE,MedAE,Explained Variance,MBD,Training Time
Linear Regression_Ethnoracial Group,1.5269395249094235,0.9801528207894896,0.00015408513039061322,1.2356939446761983,492156672141.41187,0.9169014045180823,0.00016541975625439242,-0.004160523457232298,0.0111541748046875
Decision Tree_Ethnoracial Group,3.166993757629694,1.2585922456040186,-1.0737597785160724,1.779604944258611,526862248093.13086,1.0,-1.0711474450516527,-0.0631624092332145,1.2628870010375977
Random Forest_Ethnoracial Group,1.73482395702123,1.0573901774899614,-0.13596944616945428,1.3171271605358497,533160847208.08594,0.9,-0.13199032039588188,-0.07795396568471336,7.741125822067261
Linear Regression_Gender,0.350966648096644,0.550796992888674,-0.00027563089996562873,0.5924243817540294,276360689295.99316,0.5014036823313841,-0.0002650763902822817,-0.0019243856559681544,0.021422147750854492
Decision Tree_Gender,0.7086617274939782,0.5963866883781956,-1.0197276875394263,0.841820484125908,284872727993.4598,1.0,-1.018435097427663,-0.02129626755390471,0.9475560188293457
Random Forest_Gender,0.39095099780541964,0.5496961861279366,-0.11423338400263972,0.6252607438544496,282900635038.2243,0.5,-0.11337929925678525,-0.017311056045127338,6.249804973602295
Linear Regression_International Status,0.05467341086842812,0.10974911237765009,0.0003261074960939636,0.23382346090251108,55097455075.92634,0.0590783938089543,0.00032974127041673906,-0.00044579776327226186,0.016509056091308594
Decision Tree_International Status,0.11971939818414659,0.1210431024002302,-1.1890047628267122,0.34600491063588473,67426591749.59863,0.0,-1.185517580630553,-0.013810081088243777,1.0210850238800049
Random Forest_International Status,0.06242182190599261,0.12129351887090044,-0.14134941813157975,0.2498435948868664,67798122384.50266,0.1,-0.13760900293863254,-0.014302725887405832,6.40470814704895
Linear Regression_Career Aspirations,0.0007117871006025218,0.019120955346310576,0.009822035139919083,0.026679338458862164,3.6582464302785644,0.01431105425902962,0.009853275883159762,0.0001498577151279929,0.0075490474700927734
Decision Tree_Career Aspirations,0.001490059535769601,0.028095513594624713,-1.0728446994891678,0.03860128930190805,5.341912361806294,0.021374560000000015,-1.0725071072144927,0.0004926229922056001,0.9060089588165283
Random Forest_Career Aspirations,0.000783346607040936,0.02034681991425841,-0.08972549303472932,0.027988329836575388,3.882597225093537,0.015523838499999998,-0.08927186379612784,0.0005710431778649192,6.217206954956055
Linear Regression_Future Topics,0.0011643136572090187,0.015249176995996159,3.6867077775171175e-05,0.034122040636647435,3.3390682924492996,0.005620276917160771,6.68503980726376e-05,0.00018684559504451745,0.01705002784729004
Decision Tree_Future Topics,0.0020349519057010416,0.023613651829847628,-0.7477050710275766,0.045110441204903345,5.0838015234153,0.009366415000000017,-0.747621360802581,0.0003121995381019369,1.2655069828033447
Random Forest_Future Topics,0.0013463573159399375,0.018161213844525327,-0.1563101328788823,0.036692742006286985,3.9424977155497873,0.008169251499999974,-0.15615954799929055,0.0004187296215315107,8.622134685516357
Linear Regression_Private Columns,0.6441931946248339,0.5468996420186071,6.818724217168744e-05,0.8026164679501873,274538272171.11044,0.49658340939106616,7.66948787979486e-05,-0.0021769022921575717,0.04529118537902832
Decision Tree_Private Columns,1.3147748353331958,0.654517345010723,-1.0418961235289226,1.1466363134547919,289416475444.8739,0.0,-1.0403554148937302,-0.03026315874068573,1.1460862159729004
Random Forest_Private Columns,0.7272195570803285,0.5739662287240637,-0.11809806772946836,0.8527716910641021,290990948955.73975,0.4,-0.11653159398797786,-0.030775407606752837,7.35525918006897
Linear Regression_Utility Columns,0.0009380503789057713,0.01718506617115348,0.00492945110884524,0.03062760811597555,3.4986573613639314,0.008521113892370175,0.004960063140616644,0.00016835165508625522,0.02038717269897461
Decision Tree_Utility Columns,0.0017979854380998784,0.025846030708888752,-0.9239362209931954,0.042402658384821566,5.211406569036539,0.014029055000000012,-0.923507829320107,0.000615324242986736,1.0154650211334229
Random Forest_Utility Columns,0.0010551061520535478,0.019115075095627498,-0.1129733693150291,0.032482397572432174,3.8874449552882098,0.011016174316666683,-0.11267474685903489,0.00048330550330474533,6.691350936889648
Linear Regression_All Columns,0.38689113692646265,0.33501381167962563,0.0020126927888411083,0.622005737052692,164722963304.06573,0.05971573145863873,0.0020300421835254268,-0.0012388007132600413,0.020075082778930664
Decision Tree_All Columns,0.7914318415474548,0.4023138622028458,-0.9620140291330982,0.889624550890686,173346516762.43857,0.010599045000000001,-0.961303067674594,-0.015607895775006438,1.2370619773864746
Random Forest_All Columns,0.43374486008191127,0.35069977697649446,-0.11114751800910364,0.658593091431964,173362514878.05237,0.08655655349999994,-0.11024152386664343,-0.01799192141258465,8.31365704536438
