Model_Target,MSE,MAE,R2,RMSE,MAPE,MedAE,Explained Variance,MBD,Training Time
Linear Regression_Ethnoracial Group,1.5278846529396464,0.9801622003076077,-0.00046478836435581705,1.236076313558207,492070335653.1338,0.9166057353952943,-0.0004544103916759301,-0.003981077588459457,0.013204097747802734
Decision Tree_Ethnoracial Group,3.1390784576053914,1.2624516571012168,-1.0554807319419695,1.77174446735566,532999868791.34283,1.0,-1.0504723111140004,-0.08745704245985082,1.1068122386932373
Random Forest_Ethnoracial Group,1.7319717426536345,1.056077077923701,-0.1341018051546985,1.3160439744376458,531130135868.8164,0.9,-0.1300549920707681,-0.07861419161530955,7.00725793838501
Linear Regression_Gender,0.35086971507797216,0.5507798963131585,6.339158875601214e-07,0.5923425656475922,276380442843.24005,0.5012017161952922,1.1818455485257395e-05,-0.001980989325985379,0.013860940933227539
Decision Tree_Gender,0.7158459469318211,0.5993545203369018,-1.0402031363311686,0.8460767973014158,282603933041.6545,1.0,-1.0394351024789126,-0.016415845690643208,0.992469072341919
Random Forest_Gender,0.39188487636064656,0.5492185884882357,-0.11689499292211813,0.6260070897047785,284094149069.3593,0.5,-0.11570309170171122,-0.020449995274090447,6.408696889877319
Linear Regression_International Status,0.05468372068416216,0.10976284377983263,0.00013759806413904396,0.23384550601660525,55105358886.19531,0.059086275073860495,0.00014126576450690376,-0.0004478739816265177,0.014446020126342773
Decision Tree_International Status,0.11918330431965332,0.12083032516143788,-1.1792025750401272,0.34522935031606644,66783821963.85545,0.0,-1.1762361169565039,-0.012737318755463726,1.0050089359283447
Random Forest_International Status,0.06322150325150257,0.12165445682383734,-0.1559711611457939,0.25143886583323305,67691298388.44587,0.1,-0.15252523808250773,-0.013728139942261746,5.889394998550415
Linear Regression_Career Aspirations,0.00014816947349470023,0.004444525259303949,0.0003074726863978583,0.012172488385482249,0.901338837288327,0.0012850394133365195,0.00030824959934117047,1.0730805528642349e-05,0.014595985412597656
Decision Tree_Career Aspirations,0.00032735344892148365,0.00738422401979723,-1.2086384527029277,0.018092911565623804,1.4852586737784894,0.002205334999999975,-1.2085684515279609,-0.00010185885988871289,2.082277774810791
Random Forest_Career Aspirations,0.00016887918909588504,0.005183772560064533,-0.13942001261127324,0.012995352596058525,1.0479969179101136,0.0015824944999999202,-0.1394154364114033,2.6043457379243997e-05,11.569000005722046
Linear Regression_Future Topics,0.0006781673597442992,0.01454193128850822,0.0009129945081313151,0.026041646640416177,2.9995590165741532,0.007823528955381437,0.0009686643601372058,-0.00019439129807546457,0.03356003761291504
Decision Tree_Future Topics,0.0012896899215939905,0.022233899144332468,-0.8999918283655117,0.03591225308434421,4.515519969757577,0.012657929999999956,-0.8999887200358951,-4.5933582604151936e-05,1.0994207859039307
Random Forest_Future Topics,0.0007649024761020487,0.016376062798020462,-0.12686656672808927,0.027656870323701642,3.3518729798242566,0.009307086499999923,-0.12684380693746156,0.00012429421554475105,6.806620836257935
Linear Regression_Private Columns,0.6444793629005914,0.5469016468002021,-0.00010885212810773925,0.8027947202744867,274518712460.85635,0.49775804615650215,-0.00010044205722207582,-0.0021366469653571183,0.01704716682434082
Decision Tree_Private Columns,1.3120391486077267,0.6517101843638295,-1.0357727631644706,1.145442774043176,286903263246.00055,0.0,-1.0346712108111211,-0.02554516276593395,1.1060080528259277
Random Forest_Private Columns,0.7279241767573804,0.5726627853250074,-0.12216448911833244,0.8531847260455266,287578712297.1943,0.4,-0.12101157269584902,-0.026508404846836333,7.719221830368042
Linear Regression_Utility Columns,0.0004131684166194978,0.009493228273906112,0.000610233597268639,0.020326544630593215,1.9504489269312402,0.0037829793045265347,0.0006384569797417972,-9.183024627341111e-05,0.016620159149169922
Decision Tree_Utility Columns,0.0007784411171984405,0.014576881259403492,-0.9813190983689866,0.02790055765031302,2.9553114790773884,0.0062817749999999895,-0.9813087363585578,-5.5779617091915465e-05,1.287381887435913
Random Forest_Utility Columns,0.00046802266948742244,0.010797078730911291,-0.1298185700507286,0.02163383159515259,2.2043489220450767,0.004757977000000052,-0.12981776041935766,-1.683509045148833e-05,8.131990909576416
Linear Regression_All Columns,0.3868528851070026,0.33193827938968373,0.00017878216204281205,0.6219749875252241,164711227477.29398,0.059395378151180206,0.0001951175575634734,-0.0013187202777236353,0.02178192138671875
Decision Tree_All Columns,0.7852883949946976,0.39611025397122307,-0.9508862275364368,0.8861649930993085,171390223063.0672,0.0043013899999999605,-0.9503511787797411,-0.01398225045455907,1.2033977508544922
Random Forest_All Columns,0.4411104852656897,0.34916658739475653,-0.11557398502172736,0.6641614903513223,174053107115.28516,0.06587014200000002,-0.1146855316984424,-0.018028387938826232,8.388949871063232
