models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9999849730065197,-1.3614902168722884,3.1367269892612625e-16,3091,34
"DecisionTreeRegressor(ccp_alpha=4.9960036108132046e-17, random_state=0)",4.9960036108132046e-17,0.9999849730063359,-1.3614902503491577,3.636327350342583e-16,3089,34
"DecisionTreeRegressor(ccp_alpha=5.865967434015573e-16, random_state=0)",5.865967434015573e-16,0.9999849730041807,-1.3614902503491577,9.502294784358156e-16,3087,34
"DecisionTreeRegressor(ccp_alpha=1.512505398704178e-15, random_state=0)",1.512505398704178e-15,0.999984972998623,-1.3614896447781875,2.462734877139994e-15,3085,34
"DecisionTreeRegressor(ccp_alpha=1.1896456042492787e-14, random_state=0)",1.1896456042492787e-14,0.999984972954909,-1.3614896447781875,1.435919091963278e-14,3083,34
"DecisionTreeRegressor(ccp_alpha=7.912812766130984e-14, random_state=0)",7.912812766130984e-14,0.9999849726641509,-1.3614896448383633,9.348731858094262e-14,3081,34
"DecisionTreeRegressor(ccp_alpha=8.830495362710523e-14, random_state=0)",8.830495362710523e-14,0.9999849723396724,-1.3614896448383633,1.8179227220804786e-13,3079,34
"DecisionTreeRegressor(ccp_alpha=1.0927814209082953e-13, random_state=0)",1.0927814209082953e-13,0.9999849719381279,-1.3614945531072302,2.910704142988774e-13,3077,34
"DecisionTreeRegressor(ccp_alpha=1.0951196546815644e-13, random_state=0)",1.0951196546815644e-13,0.999984971535724,-1.3614945531072302,4.0058237976703385e-13,3075,34
"DecisionTreeRegressor(ccp_alpha=1.9593800540396168e-13, random_state=0)",1.9593800540396168e-13,0.9999849708157461,-1.3614945531072302,5.965203851709955e-13,3073,34
"DecisionTreeRegressor(ccp_alpha=3.192005167129697e-13, random_state=0)",3.192005167129697e-13,0.9999849696428378,-1.361493945866941,9.157209018839652e-13,3071,34
"DecisionTreeRegressor(ccp_alpha=4.3012794714858416e-13, random_state=0)",4.3012794714858416e-13,0.999984968062324,-1.361493945866941,1.3458488490325494e-12,3069,34
"DecisionTreeRegressor(ccp_alpha=4.574461642814498e-13, random_state=0)",4.574461642814498e-13,0.9999849663814295,-1.361493945866941,1.8032950133139992e-12,3067,34
"DecisionTreeRegressor(ccp_alpha=5.853620713147656e-13, random_state=0)",5.853620713147656e-13,0.9999849642305058,-1.361493945866941,2.3886570846287648e-12,3065,34
"DecisionTreeRegressor(ccp_alpha=6.127244892017991e-13, random_state=0)",6.127244892017991e-13,0.9999849619790381,-1.361493945866941,3.001381573830564e-12,3063,34
"DecisionTreeRegressor(ccp_alpha=6.230070105639473e-13, random_state=0)",6.230070105639473e-13,0.999984959689787,-1.361493945866941,3.6243885843945112e-12,3061,34
"DecisionTreeRegressor(ccp_alpha=7.402402996126156e-13, random_state=0)",7.402402996126156e-13,0.9999849569697601,-1.3614905435932099,4.364628884007127e-12,3059,34
"DecisionTreeRegressor(ccp_alpha=7.411530590639704e-13, random_state=0)",7.411530590639704e-13,0.999984954246379,-1.3614905435932099,5.105781943071097e-12,3057,34
"DecisionTreeRegressor(ccp_alpha=7.969530937956826e-13, random_state=0)",7.969530937956826e-13,0.9999849513179597,-1.3614905435932099,5.90273503686678e-12,3055,34
"DecisionTreeRegressor(ccp_alpha=8.288281345969484e-13, random_state=0)",8.288281345969484e-13,0.9999849482724151,-1.3614863718948826,6.7315631714637284e-12,3053,34
"DecisionTreeRegressor(ccp_alpha=1.1122860618661967e-12, random_state=0)",1.1122860618661967e-12,0.9999849441852988,-1.3614863718948826,7.843849233329926e-12,3051,34
"DecisionTreeRegressor(ccp_alpha=1.1685382869663918e-12, random_state=0)",1.1685382869663918e-12,0.9999849398914828,-1.3614863718948826,9.012387520296317e-12,3049,34
"DecisionTreeRegressor(ccp_alpha=1.195444437884774e-12, random_state=0)",1.195444437884774e-12,0.9999849354987994,-1.3614863718948826,1.0207831958181091e-11,3047,34
"DecisionTreeRegressor(ccp_alpha=1.2332350939059378e-12, random_state=0)",1.2332350939059378e-12,0.9999849309672536,-1.361469864602527,1.1441067052087029e-11,3045,34
"DecisionTreeRegressor(ccp_alpha=1.264049975802095e-12, random_state=0)",1.264049975802095e-12,0.999984926322478,-1.361469864602527,1.2705117027889124e-11,3043,34
"DecisionTreeRegressor(ccp_alpha=1.3861125441883004e-12, random_state=0)",1.3861125441883004e-12,0.9999849212291816,-1.361469864602527,1.4091229572077425e-11,3041,34
"DecisionTreeRegressor(ccp_alpha=1.46846956469715e-12, random_state=0)",1.46846956469715e-12,0.9999849158332625,-1.361469864602527,1.5559699136774576e-11,3039,34
"DecisionTreeRegressor(ccp_alpha=1.6484740655853258e-12, random_state=0)",1.6484740655853258e-12,0.9999849097759137,-1.3614929740484776,1.72081732023599e-11,3037,34
"DecisionTreeRegressor(ccp_alpha=1.6849889712677868e-12, random_state=0)",1.6849889712677868e-12,0.9999849035843897,-1.361487495674636,1.8893162173627687e-11,3035,34
"DecisionTreeRegressor(ccp_alpha=2.2071005613411023e-12, random_state=0)",2.2071005613411023e-12,0.9999848954743573,-1.361487495674636,2.110026273496879e-11,3033,34
"DecisionTreeRegressor(ccp_alpha=2.4792078112678695e-12, random_state=0)",2.4792078112678695e-12,0.9999848863644616,-1.3614890313878765,2.357947054623666e-11,3031,34
"DecisionTreeRegressor(ccp_alpha=3.0116715718508934e-12, random_state=0)",3.0116715718508934e-12,0.9999848752980177,-1.3614890313878765,2.659114211808755e-11,3029,34
"DecisionTreeRegressor(ccp_alpha=3.022725871687504e-12, random_state=0)",3.022725871687504e-12,0.9999848641909549,-1.361481905702552,2.961386798977505e-11,3027,34
"DecisionTreeRegressor(ccp_alpha=3.1368863409597656e-12, random_state=0)",3.1368863409597656e-12,0.9999848526644071,-1.3614651062615373,3.2750754330734816e-11,3025,34
"DecisionTreeRegressor(ccp_alpha=3.504628011408162e-12, random_state=0)",3.504628011408162e-12,0.9999848397865849,-1.3614651062615373,3.625538234214298e-11,3023,34
"DecisionTreeRegressor(ccp_alpha=4.425312512268409e-12, random_state=0)",4.425312512268409e-12,0.9999848235256907,-1.3614944265151743,4.068069485441139e-11,3021,34
"DecisionTreeRegressor(ccp_alpha=4.6520125945859195e-12, random_state=0)",4.6520125945859195e-12,0.9999848064317829,-1.3614944265151743,4.5332707448997306e-11,3019,34
"DecisionTreeRegressor(ccp_alpha=5.295885119327437e-12, random_state=0)",5.295885119327437e-12,0.9999847869719531,-1.3614944265151743,5.062859256832474e-11,3017,34
"DecisionTreeRegressor(ccp_alpha=5.771503171214665e-12, random_state=0)",5.771503171214665e-12,0.9999847657644562,-1.3614851015049854,5.64000957395394e-11,3015,34
"DecisionTreeRegressor(ccp_alpha=6.822818005014497e-12, random_state=0)",6.822818005014497e-12,0.9999847406938828,-1.3614708126747406,6.32229137445539e-11,3013,34
"DecisionTreeRegressor(ccp_alpha=7.280928013275732e-12, random_state=0)",7.280928013275732e-12,0.9999847139399756,-1.3614708126747406,7.050384175782964e-11,3011,34
"DecisionTreeRegressor(ccp_alpha=7.41317510849493e-12, random_state=0)",7.41317510849493e-12,0.9999846867001237,-1.3614708126747406,7.791701686632457e-11,3009,34
"DecisionTreeRegressor(ccp_alpha=7.528170153231484e-12, random_state=0)",7.528170153231484e-12,0.999984659037721,-1.361482599953705,8.544518701955606e-11,3007,34
"DecisionTreeRegressor(ccp_alpha=7.63232447728579e-12, random_state=0)",7.63232447728579e-12,0.9999846309926007,-1.3614389914771978,9.307751149684184e-11,3005,34
"DecisionTreeRegressor(ccp_alpha=8.032032070698358e-12, random_state=0)",8.032032070698358e-12,0.9999846014787477,-1.3614697990358469,1.011095435675402e-10,3003,34
"DecisionTreeRegressor(ccp_alpha=8.087236574860769e-12, random_state=0)",8.087236574860769e-12,0.9999845717620446,-1.3614575930463504,1.0919678014240098e-10,3001,34
"DecisionTreeRegressor(ccp_alpha=8.292628250750055e-12, random_state=0)",8.292628250750055e-12,0.9999845412906261,-1.36141095267836,1.1748940839315103e-10,2999,34
"DecisionTreeRegressor(ccp_alpha=8.999403063036926e-12, random_state=0)",8.999403063036926e-12,0.9999845082221497,-1.36141095267836,1.2648881145618795e-10,2997,34
"DecisionTreeRegressor(ccp_alpha=9.55609903707799e-12, random_state=0)",9.55609903707799e-12,0.9999844731080836,-1.36141095267836,1.3604491049326593e-10,2995,34
"DecisionTreeRegressor(ccp_alpha=1.0212940181053564e-11, random_state=0)",1.0212940181053564e-11,0.9999844355804425,-1.3613581311769454,1.462578506743195e-10,2993,34
"DecisionTreeRegressor(ccp_alpha=1.0374012517078145e-11, random_state=0)",1.0374012517078145e-11,0.9999843974609379,-1.3613581311769454,1.5663186319139765e-10,2991,34
"DecisionTreeRegressor(ccp_alpha=1.0431028141938414e-11, random_state=0)",1.0431028141938414e-11,0.9999843591319284,-1.3613581311769454,1.6706289133333606e-10,2989,34
"DecisionTreeRegressor(ccp_alpha=1.0560459069719476e-11, random_state=0)",1.0560459069719476e-11,0.9999843203273227,-1.3613581311769454,1.7762335040305555e-10,2987,34
"DecisionTreeRegressor(ccp_alpha=1.0614528249408562e-11, random_state=0)",1.0614528249408562e-11,0.9999842813240388,-1.3613581311769454,1.882378786524641e-10,2985,34
"DecisionTreeRegressor(ccp_alpha=1.0629507829484908e-11, random_state=0)",1.0629507829484908e-11,0.9999842422657121,-1.3613581311769454,1.9886738648194901e-10,2983,34
"DecisionTreeRegressor(ccp_alpha=1.0687343302007157e-11, random_state=0)",1.0687343302007157e-11,0.9999842029948675,-1.3613502111381486,2.0955472978395616e-10,2981,34
"DecisionTreeRegressor(ccp_alpha=1.0834512523261175e-11, random_state=0)",1.0834512523261175e-11,0.999984163183247,-1.3613901725332673,2.2038924230721733e-10,2979,34
"DecisionTreeRegressor(ccp_alpha=1.2530018134171427e-11, random_state=0)",1.2530018134171427e-11,0.9999841171414595,-1.361284855504131,2.3291926044138877e-10,2977,34
"DecisionTreeRegressor(ccp_alpha=1.3343777922891764e-11, random_state=0)",1.3343777922891764e-11,0.9999840681094957,-1.3612614493547928,2.462630383642805e-10,2975,34
"DecisionTreeRegressor(ccp_alpha=1.492081864312711e-11, random_state=0)",1.492081864312711e-11,0.9999840132826657,-1.3612830220830068,2.6118385700740763e-10,2973,34
"DecisionTreeRegressor(ccp_alpha=1.5652012463895913e-11, random_state=0)",1.5652012463895913e-11,0.9999839557690506,-1.3612830220830068,2.7683586947130353e-10,2971,34
"DecisionTreeRegressor(ccp_alpha=1.746257251647454e-11, random_state=0)",1.746257251647454e-11,0.9999838916024987,-1.3612830220830068,2.9429844198777807e-10,2969,34
"DecisionTreeRegressor(ccp_alpha=1.8004500321189274e-11, random_state=0)",1.8004500321189274e-11,0.9999838254446228,-1.36130350107072,3.1230294230896737e-10,2967,34
"DecisionTreeRegressor(ccp_alpha=1.828310459625615e-11, random_state=0)",1.828310459625615e-11,0.9999837582630107,-1.36130350107072,3.305860469052235e-10,2965,34
"DecisionTreeRegressor(ccp_alpha=1.8346653102990775e-11, random_state=0)",1.8346653102990775e-11,0.9999836908478877,-1.3612917452442734,3.4893270000821425e-10,2963,34
"DecisionTreeRegressor(ccp_alpha=1.8941498803465296e-11, random_state=0)",1.8941498803465296e-11,0.9999836212469833,-1.361286525232026,3.6787419881167956e-10,2961,34
"DecisionTreeRegressor(ccp_alpha=1.915804990343384e-11, random_state=0)",1.915804990343384e-11,0.9999835508503673,-1.361286525232026,3.870322487151134e-10,2959,34
"DecisionTreeRegressor(ccp_alpha=1.920450330011869e-11, random_state=0)",1.920450330011869e-11,0.9999834802830584,-1.3612800406288326,4.062367520152321e-10,2957,34
"DecisionTreeRegressor(ccp_alpha=1.9306131554541752e-11, random_state=0)",1.9306131554541752e-11,0.9999834093423151,-1.3612800406288326,4.2554288356977385e-10,2955,34
"DecisionTreeRegressor(ccp_alpha=1.9987003076898935e-11, random_state=0)",1.9987003076898935e-11,0.9999833358996952,-1.3612800406288326,4.455298866466728e-10,2953,34
"DecisionTreeRegressor(ccp_alpha=2.1212841119083725e-11, random_state=0)",2.1212841119083725e-11,0.9999832579527105,-1.3612617882824747,4.667427277657566e-10,2951,34
"DecisionTreeRegressor(ccp_alpha=2.2659912002342963e-11, random_state=0)",2.2659912002342963e-11,0.9999831746884366,-1.3612617882824747,4.894026397680996e-10,2949,34
"DecisionTreeRegressor(ccp_alpha=2.2848799987457146e-11, random_state=0)",2.2848799987457146e-11,0.9999830907300902,-1.3612617882824747,5.122514397555567e-10,2947,34
