models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.895740082969056,-1.215017940865915,9.902107737261537e-05,3163,31
"DecisionTreeRegressor(ccp_alpha=1.0695784535830198e-15, random_state=0)",1.0695784535830198e-15,0.89574008296793,-1.215017940865915,9.902107737368495e-05,3161,31
"DecisionTreeRegressor(ccp_alpha=6.441132349710443e-15, random_state=0)",6.441132349710443e-15,0.895740082961148,-1.215017940865915,9.902107738012608e-05,3159,31
"DecisionTreeRegressor(ccp_alpha=1.3653782965361571e-14, random_state=0)",1.3653782965361571e-14,0.8957400829467719,-1.215017940865915,9.902107739377986e-05,3157,31
"DecisionTreeRegressor(ccp_alpha=1.6335162389413682e-14, random_state=0)",1.6335162389413682e-14,0.8957400829295724,-1.215017776116106,9.902107741011502e-05,3155,31
"DecisionTreeRegressor(ccp_alpha=1.824049591925281e-14, random_state=0)",1.824049591925281e-14,0.8957400829103669,-1.215017776116106,9.902107742835552e-05,3153,31
"DecisionTreeRegressor(ccp_alpha=3.478196897166441e-14, random_state=0)",3.478196897166441e-14,0.8957400828737446,-1.215017776116106,9.902107746313748e-05,3151,31
"DecisionTreeRegressor(ccp_alpha=3.919999741475166e-14, random_state=0)",3.919999741475166e-14,0.8957400828324708,-1.215017776116106,9.902107750233747e-05,3149,31
"DecisionTreeRegressor(ccp_alpha=4.039905562858159e-14, random_state=0)",4.039905562858159e-14,0.8957400827899343,-1.215017776116106,9.902107754273653e-05,3147,31
"DecisionTreeRegressor(ccp_alpha=1.0465310909535396e-13, random_state=0)",1.0465310909535396e-13,0.8957400826797444,-1.2150181161881348,9.902107764738963e-05,3145,31
"DecisionTreeRegressor(ccp_alpha=1.3847211571826888e-13, random_state=0)",1.3847211571826888e-13,0.8957400825339463,-1.2150181161881348,9.902107778586175e-05,3143,31
"DecisionTreeRegressor(ccp_alpha=1.544290390009806e-13, random_state=0)",1.544290390009806e-13,0.8957400822087477,-1.215018052681204,9.902107794029079e-05,3139,31
"DecisionTreeRegressor(ccp_alpha=1.544290390009806e-13, random_state=0)",1.544290390009806e-13,0.8957400822087477,-1.215018052681204,9.902107809471983e-05,3139,31
"DecisionTreeRegressor(ccp_alpha=2.1500405622543183e-13, random_state=0)",2.1500405622543183e-13,0.8957400819823687,-1.2150183022733483,9.902107830972388e-05,3137,31
"DecisionTreeRegressor(ccp_alpha=2.664501085047899e-13, random_state=0)",2.664501085047899e-13,0.8957400817018217,-1.2150183022733483,9.9021078576174e-05,3135,31
"DecisionTreeRegressor(ccp_alpha=3.1066911196364625e-13, random_state=0)",3.1066911196364625e-13,0.8957400813747163,-1.2150183022733483,9.90210788868431e-05,3133,31
"DecisionTreeRegressor(ccp_alpha=3.444499893645592e-13, random_state=0)",3.444499893645592e-13,0.8957400810120427,-1.2150183022733483,9.902107923129309e-05,3131,31
"DecisionTreeRegressor(ccp_alpha=3.519605093482703e-13, random_state=0)",3.519605093482703e-13,0.8957400806414614,-1.2150183022733483,9.90210795832536e-05,3129,31
"DecisionTreeRegressor(ccp_alpha=3.64231162591766e-13, random_state=0)",3.64231162591766e-13,0.89574008025796,-1.2150183022733483,9.902107994748476e-05,3127,31
"DecisionTreeRegressor(ccp_alpha=3.7195311067272917e-13, random_state=0)",3.7195311067272917e-13,0.8957400798663283,-1.2150183022733483,9.902108031943787e-05,3125,31
"DecisionTreeRegressor(ccp_alpha=3.825937830437276e-13, random_state=0)",3.825937830437276e-13,0.8957400794634929,-1.2150183022733483,9.902108070203165e-05,3123,31
"DecisionTreeRegressor(ccp_alpha=4.98501136203533e-13, random_state=0)",4.98501136203533e-13,0.8957400789386178,-1.2150262017397475,9.902108120053279e-05,3121,31
"DecisionTreeRegressor(ccp_alpha=5.072762869484659e-13, random_state=0)",5.072762869484659e-13,0.8957400784045035,-1.215024453350582,9.902108170780907e-05,3119,31
"DecisionTreeRegressor(ccp_alpha=5.304499894887015e-13, random_state=0)",5.304499894887015e-13,0.8957400778459893,-1.2150247935606573,9.902108223825906e-05,3117,31
"DecisionTreeRegressor(ccp_alpha=6.179940587047739e-13, random_state=0)",6.179940587047739e-13,0.8957400771952996,-1.2150247935606573,9.902108285625312e-05,3115,31
"DecisionTreeRegressor(ccp_alpha=6.566580092182139e-13, random_state=0)",6.566580092182139e-13,0.8957400765039002,-1.2150247935606573,9.902108351291113e-05,3113,31
"DecisionTreeRegressor(ccp_alpha=8.77812492833252e-13, random_state=0)",8.77812492833252e-13,0.8957400755796459,-1.2150247935606573,9.902108439072363e-05,3111,31
"DecisionTreeRegressor(ccp_alpha=9.751061243179482e-13, random_state=0)",9.751061243179482e-13,0.8957400745529505,-1.2150247935606573,9.902108536582975e-05,3109,31
"DecisionTreeRegressor(ccp_alpha=1.1727462230493036e-12, random_state=0)",1.1727462230493036e-12,0.8957400733181586,-1.2150243554640379,9.902108653857597e-05,3107,31
"DecisionTreeRegressor(ccp_alpha=1.1938988686566176e-12, random_state=0)",1.1938988686566176e-12,0.8957400720610951,-1.215026175488755,9.902108773247485e-05,3105,31
"DecisionTreeRegressor(ccp_alpha=1.4331246085685922e-12, random_state=0)",1.4331246085685922e-12,0.8957400705521493,-1.215026175488755,9.902108916559946e-05,3103,31
"DecisionTreeRegressor(ccp_alpha=1.4870279486933757e-12, random_state=0)",1.4870279486933757e-12,0.895740068986448,-1.2150264503499324,9.902109065262741e-05,3101,31
"DecisionTreeRegressor(ccp_alpha=1.6662251786647709e-12, random_state=0)",1.6662251786647709e-12,0.895740067232069,-1.2150264503499324,9.90210923188526e-05,3099,31
"DecisionTreeRegressor(ccp_alpha=1.699246247183206e-12, random_state=0)",1.699246247183206e-12,0.8957400654429221,-1.2150255701130224,9.902109401809885e-05,3097,31
"DecisionTreeRegressor(ccp_alpha=1.7596880029502328e-12, random_state=0)",1.7596880029502328e-12,0.8957400635901355,-1.2150341917540266,9.902109577778685e-05,3095,31
"DecisionTreeRegressor(ccp_alpha=1.7657902050272067e-12, random_state=0)",1.7657902050272067e-12,0.8957400617309237,-1.2150332271030613,9.902109754357706e-05,3093,31
"DecisionTreeRegressor(ccp_alpha=1.779441125698833e-12, random_state=0)",1.779441125698833e-12,0.895740059857339,-1.2150332271030613,9.902109932301818e-05,3091,31
"DecisionTreeRegressor(ccp_alpha=1.8016763775330346e-12, random_state=0)",1.8016763775330346e-12,0.8957400579603424,-1.215032973605521,9.902110112469456e-05,3089,31
"DecisionTreeRegressor(ccp_alpha=1.8078511430930088e-12, random_state=0)",1.8078511430930088e-12,0.8957400560568445,-1.215032973605521,9.902110293254569e-05,3087,31
"DecisionTreeRegressor(ccp_alpha=1.9845300402998588e-12, random_state=0)",1.9845300402998588e-12,0.8957400539673204,-1.2150338127266225,9.902110491707573e-05,3085,31
"DecisionTreeRegressor(ccp_alpha=2.1357278966183114e-12, random_state=0)",2.1357278966183114e-12,0.895740051718599,-1.2150338127266225,9.902110705280363e-05,3083,31
"DecisionTreeRegressor(ccp_alpha=2.1642402106558656e-12, random_state=0)",2.1642402106558656e-12,0.895740049439857,-1.2150396792095663,9.902110921704384e-05,3081,31
"DecisionTreeRegressor(ccp_alpha=2.3403661300602784e-12, random_state=0)",2.3403661300602784e-12,0.8957400469756707,-1.2150380079702763,9.902111155740997e-05,3079,31
"DecisionTreeRegressor(ccp_alpha=2.405172866426497e-12, random_state=0)",2.405172866426497e-12,0.8957400444432492,-1.2150399990407403,9.902111396258283e-05,3077,31
"DecisionTreeRegressor(ccp_alpha=2.425503044939381e-12, random_state=0)",2.425503044939381e-12,0.8957400418894216,-1.2150399990407403,9.902111638808588e-05,3075,31
"DecisionTreeRegressor(ccp_alpha=2.468642009562094e-12, random_state=0)",2.468642009562094e-12,0.8957400392901729,-1.2150402321880436,9.902111885672789e-05,3073,31
"DecisionTreeRegressor(ccp_alpha=2.670360529921645e-12, random_state=0)",2.670360529921645e-12,0.8957400364785334,-1.2150402321880436,9.902112152708841e-05,3071,31
"DecisionTreeRegressor(ccp_alpha=2.740140579715611e-12, random_state=0)",2.740140579715611e-12,0.8957400335934222,-1.2150402321880436,9.9021124267229e-05,3069,31
