models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9543052083067657,-1.310386349854383,3.839130745975383e-05,3167,29
"DecisionTreeRegressor(ccp_alpha=1.653191472605897e-17, random_state=0)",1.653191472605897e-17,0.9543052083067459,-1.310386349854383,3.839130745977036e-05,3165,29
"DecisionTreeRegressor(ccp_alpha=1.7406041885603684e-15, random_state=0)",1.7406041885603684e-15,0.9543052083046744,-1.3103862780850388,3.839130746151097e-05,3163,29
"DecisionTreeRegressor(ccp_alpha=1.0694535534927497e-14, random_state=0)",1.0694535534927497e-14,0.9543052082919453,-1.310386223834648,3.8391307472205505e-05,3161,29
"DecisionTreeRegressor(ccp_alpha=1.1551887918459514e-14, random_state=0)",1.1551887918459514e-14,0.9543052082781956,-1.310386223834648,3.8391307483757394e-05,3159,29
"DecisionTreeRegressor(ccp_alpha=2.2050000714202158e-14, random_state=0)",2.2050000714202158e-14,0.954305208251951,-1.310386223834648,3.83913075058074e-05,3157,29
"DecisionTreeRegressor(ccp_alpha=2.910088836571845e-14, random_state=0)",2.910088836571845e-14,0.9543052082173141,-1.3103861225936857,3.8391307534908284e-05,3155,29
"DecisionTreeRegressor(ccp_alpha=3.3995254528074164e-14, random_state=0)",3.3995254528074164e-14,0.9543052081768516,-1.3103861225936857,3.839130756890354e-05,3153,29
"DecisionTreeRegressor(ccp_alpha=9.923511665177465e-14, random_state=0)",9.923511665177465e-14,0.9543052080587382,-1.3103861225936857,3.839130766813865e-05,3151,29
"DecisionTreeRegressor(ccp_alpha=1.0995808433835472e-13, random_state=0)",1.0995808433835472e-13,0.9543052079278616,-1.3103850418566174,3.8391307778096736e-05,3149,29
"DecisionTreeRegressor(ccp_alpha=1.5694003388522224e-13, random_state=0)",1.5694003388522224e-13,0.9543052077410656,-1.3103850418566174,3.839130793503677e-05,3147,29
"DecisionTreeRegressor(ccp_alpha=1.722844956975056e-13, random_state=0)",1.722844956975056e-13,0.954305207536006,-1.3103850418566174,3.8391308107321265e-05,3145,29
"DecisionTreeRegressor(ccp_alpha=1.8301232057593708e-13, random_state=0)",1.8301232057593708e-13,0.9543052073181776,-1.3103844309999482,3.839130829033359e-05,3143,29
"DecisionTreeRegressor(ccp_alpha=1.8346650587641731e-13, random_state=0)",1.8346650587641731e-13,0.9543052070998088,-1.3103844309999482,3.839130847380009e-05,3141,29
"DecisionTreeRegressor(ccp_alpha=1.866606175182639e-13, random_state=0)",1.866606175182639e-13,0.9543052068776384,-1.3103844309999482,3.839130866046071e-05,3139,29
"DecisionTreeRegressor(ccp_alpha=2.0817379070559029e-13, random_state=0)",2.0817379070559029e-13,0.9543052066298621,-1.3103844309999482,3.83913088686345e-05,3137,29
"DecisionTreeRegressor(ccp_alpha=2.089811136640751e-13, random_state=0)",2.089811136640751e-13,0.9543052063811248,-1.3103844309999482,3.839130907761561e-05,3135,29
"DecisionTreeRegressor(ccp_alpha=2.664501085047899e-13, random_state=0)",2.664501085047899e-13,0.9543052060639858,-1.3103844309999482,3.839130934406572e-05,3133,29
"DecisionTreeRegressor(ccp_alpha=3.106690772691767e-13, random_state=0)",3.106690772691767e-13,0.9543052056942158,-1.3103844309999482,3.83913096547348e-05,3131,29
"DecisionTreeRegressor(ccp_alpha=3.1402812641911917e-13, random_state=0)",3.1402812641911917e-13,0.9543052053204476,-1.3103844309999482,3.839130996876293e-05,3129,29
"DecisionTreeRegressor(ccp_alpha=3.471527752763048e-13, random_state=0)",3.471527752763048e-13,0.9543052049072531,-1.3103844309999482,3.83913103159157e-05,3127,29
"DecisionTreeRegressor(ccp_alpha=4.0996506536772335e-13, random_state=0)",4.0996506536772335e-13,0.9543052044192971,-1.3103843263256825,3.839131072588077e-05,3125,29
