models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9999999995741524,-2.177204825428862,2.3702428908478624e-14,3091,82
"DecisionTreeRegressor(ccp_alpha=4.5102810375396986e-18, random_state=0)",4.5102810375396986e-18,0.9999999995740719,-2.177204825428862,2.3706939189516164e-14,3089,82
"DecisionTreeRegressor(ccp_alpha=9.055256544598934e-18, random_state=0)",9.055256544598934e-18,0.9999999995739105,-2.177204825428862,2.3715994446060762e-14,3087,82
"DecisionTreeRegressor(ccp_alpha=1.5248219353836133e-17, random_state=0)",1.5248219353836133e-17,0.99999999957364,-2.177204827817938,2.37312426654146e-14,3085,82
"DecisionTreeRegressor(ccp_alpha=7.200837148779726e-17, random_state=0)",7.200837148779726e-17,0.9999999995723526,-2.1772047545462887,2.3803251036902397e-14,3083,82
"DecisionTreeRegressor(ccp_alpha=5.120556756388339e-16, random_state=0)",5.120556756388339e-16,0.999999999563198,-2.1772047545462887,2.4315306712541232e-14,3081,82
"DecisionTreeRegressor(ccp_alpha=1.3650018615418702e-15, random_state=0)",1.3650018615418702e-15,0.9999999995387907,-2.1772049534475806,2.5680308574083103e-14,3079,82
"DecisionTreeRegressor(ccp_alpha=2.112580943514075e-15, random_state=0)",2.112580943514075e-15,0.9999999995010185,-2.1772074672640733,2.7792889517597178e-14,3077,82
"DecisionTreeRegressor(ccp_alpha=3.003187976080568e-15, random_state=0)",3.003187976080568e-15,0.9999999994473217,-2.1772074672640733,3.079607749367775e-14,3075,82
"DecisionTreeRegressor(ccp_alpha=7.522165760646496e-15, random_state=0)",7.522165760646496e-15,0.999999999043887,-2.1772074723610513,5.3362574775617234e-14,3069,81
"DecisionTreeRegressor(ccp_alpha=7.688034237007812e-15, random_state=0)",7.688034237007812e-15,0.999999998906423,-2.1772074723610513,6.105060901262504e-14,3067,81
"DecisionTreeRegressor(ccp_alpha=7.93799054266131e-15, random_state=0)",7.93799054266131e-15,0.9999999987644889,-2.1772071805958877,6.898859955528636e-14,3065,81
"DecisionTreeRegressor(ccp_alpha=9.009546581006945e-15, random_state=0)",9.009546581006945e-15,0.9999999986033983,-2.1772071290139077,7.79981461362933e-14,3063,81
"DecisionTreeRegressor(ccp_alpha=1.3284512379030389e-14, random_state=0)",1.3284512379030389e-14,0.999999998365867,-2.1772071290139077,9.128265851532369e-14,3061,81
"DecisionTreeRegressor(ccp_alpha=2.520011976869796e-14, random_state=0)",2.520011976869796e-14,0.9999999979152803,-2.1772071290139077,1.1648277828402165e-13,3059,81
"DecisionTreeRegressor(ccp_alpha=2.565111317798241e-14, random_state=0)",2.565111317798241e-14,0.9999999974566295,-2.17720740411584,1.4213389146200406e-13,3057,81
"DecisionTreeRegressor(ccp_alpha=2.650759819977644e-14, random_state=0)",2.650759819977644e-14,0.999999996982666,-2.17720740411584,1.686414896617805e-13,3055,81
"DecisionTreeRegressor(ccp_alpha=2.958529254915021e-14, random_state=0)",2.958529254915021e-14,0.9999999964536711,-2.17720740411584,1.982267822109307e-13,3053,81
"DecisionTreeRegressor(ccp_alpha=4.1977445824903374e-14, random_state=0)",4.1977445824903374e-14,0.9999999957030987,-2.17720740411584,2.4020422803583407e-13,3051,81
"DecisionTreeRegressor(ccp_alpha=4.4178809915917936e-14, random_state=0)",4.4178809915917936e-14,0.9999999949131673,-2.177203593296569,2.84383037951752e-13,3049,81
"DecisionTreeRegressor(ccp_alpha=4.507507214701612e-14, random_state=0)",4.507507214701612e-14,0.9999999941072106,-2.177203593296569,3.2945811009876815e-13,3047,81
"DecisionTreeRegressor(ccp_alpha=4.851619106460703e-14, random_state=0)",4.851619106460703e-14,0.999999993239726,-2.177203593296569,3.7797430116337517e-13,3045,81
"DecisionTreeRegressor(ccp_alpha=4.890627833264994e-14, random_state=0)",4.890627833264994e-14,0.9999999923652652,-2.177205508251342,4.2688057949602513e-13,3043,81
"DecisionTreeRegressor(ccp_alpha=5.0403535512000275e-14, random_state=0)",5.0403535512000275e-14,0.9999999914640404,-2.177215834700785,4.772841150080254e-13,3041,81
"DecisionTreeRegressor(ccp_alpha=6.933746979354005e-14, random_state=0)",6.933746979354005e-14,0.9999999902242626,-2.177215621133559,5.466215848015654e-13,3039,81
"DecisionTreeRegressor(ccp_alpha=7.258039655400061e-14, random_state=0)",7.258039655400061e-14,0.9999999889264989,-2.177215621133559,6.192019813555661e-13,3037,81
"DecisionTreeRegressor(ccp_alpha=8.100310353031937e-14, random_state=0)",8.100310353031937e-14,0.9999999874781357,-2.177215621133559,7.002050848858854e-13,3035,81
"DecisionTreeRegressor(ccp_alpha=8.333401677051988e-14, random_state=0)",8.333401677051988e-14,0.9999999859880953,-2.1772205267238434,7.835391016564052e-13,3033,81
"DecisionTreeRegressor(ccp_alpha=9.116450649937491e-14, random_state=0)",9.116450649937491e-14,0.9999999843580433,-2.1772205267238434,8.747036081557802e-13,3031,81
"DecisionTreeRegressor(ccp_alpha=9.245000598401277e-14, random_state=0)",9.245000598401277e-14,0.9999999827050062,-2.1772205267238434,9.67153614139793e-13,3029,81
"DecisionTreeRegressor(ccp_alpha=1.0672199235450818e-13, random_state=0)",1.0672199235450818e-13,0.999999980796781,-2.177220021872259,1.0738756064943012e-12,3027,81
"DecisionTreeRegressor(ccp_alpha=1.1580078909667613e-13, random_state=0)",1.1580078909667613e-13,0.999999978726224,-2.177220021872259,1.1896763955909773e-12,3025,81
"DecisionTreeRegressor(ccp_alpha=1.1724905768506488e-13, random_state=0)",1.1724905768506488e-13,0.999999976629772,-2.1772197417370256,1.3069254532760421e-12,3023,81
"DecisionTreeRegressor(ccp_alpha=1.3892822656180747e-13, random_state=0)",1.3892822656180747e-13,0.9999999741456896,-2.1772204214197055,1.4458536798378497e-12,3021,81
"DecisionTreeRegressor(ccp_alpha=1.519382709924688e-13, random_state=0)",1.519382709924688e-13,0.9999999714289821,-2.1772252162824746,1.5977919508303184e-12,3019,81
"DecisionTreeRegressor(ccp_alpha=1.638781124690958e-13, random_state=0)",1.638781124690958e-13,0.9999999684987861,-2.177228129387984,1.7616700632994143e-12,3017,81
"DecisionTreeRegressor(ccp_alpha=1.9923831681700753e-13, random_state=0)",1.9923831681700753e-13,0.9999999649363387,-2.177228129387984,1.9609083801164217e-12,3015,81
"DecisionTreeRegressor(ccp_alpha=2.0995191696293601e-13, random_state=0)",2.0995191696293601e-13,0.9999999611823263,-2.177228129387984,2.170860297079358e-12,3013,81
"DecisionTreeRegressor(ccp_alpha=2.1779999678783747e-13, random_state=0)",2.1779999678783747e-13,0.9999999572879891,-2.177228129387984,2.388660293867195e-12,3011,81
"DecisionTreeRegressor(ccp_alpha=2.2445000719129026e-13, random_state=0)",2.2445000719129026e-13,0.9999999532747477,-2.177228129387984,2.613110301058485e-12,3009,81
"DecisionTreeRegressor(ccp_alpha=2.318805043810546e-13, random_state=0)",2.318805043810546e-13,0.9999999491286463,-2.177228129387984,2.8449908054395397e-12,3007,81
"DecisionTreeRegressor(ccp_alpha=2.329032106063167e-13, random_state=0)",2.329032106063167e-13,0.9999999449642601,-2.177228129387984,3.0778940160458565e-12,3005,81
"DecisionTreeRegressor(ccp_alpha=2.541845726955483e-13, random_state=0)",2.541845726955483e-13,0.9999999404193558,-2.177228129387984,3.3320785887414047e-12,3003,81
"DecisionTreeRegressor(ccp_alpha=2.599206440356827e-13, random_state=0)",2.599206440356827e-13,0.9999999357718898,-2.177229242655374,3.5919992327770875e-12,3001,81
"DecisionTreeRegressor(ccp_alpha=2.6426439161952867e-13, random_state=0)",2.6426439161952867e-13,0.9999999310467518,-2.1772298848464504,3.856263624396616e-12,2999,81
"DecisionTreeRegressor(ccp_alpha=3.02447546174367e-13, random_state=0)",3.02447546174367e-13,0.9999999256388882,-2.1772271348742644,4.1587111705709834e-12,2997,81
