models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9872745268896573,-1.4010258761976213,4.534851910889569e-06,3161,33
"DecisionTreeRegressor(ccp_alpha=1.0878103973155362e-14, random_state=0)",1.0878103973155362e-14,0.9872745268591316,-1.4010259990763263,4.534851921767673e-06,3159,33
"DecisionTreeRegressor(ccp_alpha=6.072611163920883e-14, random_state=0)",6.072611163920883e-14,0.9872745266887251,-1.4010259990763263,4.534851982493785e-06,3157,33
"DecisionTreeRegressor(ccp_alpha=6.435078164779285e-14, random_state=0)",6.435078164779285e-14,0.9872745265081472,-1.4010259990763263,4.534852046844567e-06,3155,33
"DecisionTreeRegressor(ccp_alpha=2.0224794061718399e-13, random_state=0)",2.0224794061718399e-13,0.9872745259406089,-1.4010290442849334,4.534852249092507e-06,3153,33
"DecisionTreeRegressor(ccp_alpha=2.0272537121224232e-13, random_state=0)",2.0272537121224232e-13,0.9872745253717315,-1.4010290442849334,4.534852451817879e-06,3151,33
"DecisionTreeRegressor(ccp_alpha=2.0368141201432265e-13, random_state=0)",2.0368141201432265e-13,0.9872745248001706,-1.4010290442849334,4.534852655499291e-06,3149,33
"DecisionTreeRegressor(ccp_alpha=2.6208809428274193e-13, random_state=0)",2.6208809428274193e-13,0.9872745240647125,-1.4010279535942223,4.534852917587385e-06,3147,33
"DecisionTreeRegressor(ccp_alpha=2.9318651673104766e-13, random_state=0)",2.9318651673104766e-13,0.9872745232419872,-1.4010278415849085,4.534853210773902e-06,3145,33
"DecisionTreeRegressor(ccp_alpha=3.0478529422506286e-13, random_state=0)",3.0478529422506286e-13,0.9872745223867141,-1.4010278415849085,4.5348535155591955e-06,3143,33
"DecisionTreeRegressor(ccp_alpha=3.260280587169539e-13, random_state=0)",3.260280587169539e-13,0.9872745214718304,-1.4010278415849085,4.534853841587254e-06,3141,33
"DecisionTreeRegressor(ccp_alpha=3.4113815938763283e-13, random_state=0)",3.4113815938763283e-13,0.9872745195572619,-1.4010278415849085,4.534854182725413e-06,3137,33
"DecisionTreeRegressor(ccp_alpha=3.4113815938763283e-13, random_state=0)",3.4113815938763283e-13,0.9872745195572619,-1.4010278415849085,4.534854523863572e-06,3137,33
"DecisionTreeRegressor(ccp_alpha=3.655125160872963e-13, random_state=0)",3.655125160872963e-13,0.9872745185315791,-1.4010266596254186,4.534854889376088e-06,3135,33
"DecisionTreeRegressor(ccp_alpha=3.695850916973775e-13, random_state=0)",3.695850916973775e-13,0.9872745174944682,-1.4010297457062406,4.53485525896118e-06,3133,33
"DecisionTreeRegressor(ccp_alpha=4.1109775306136243e-13, random_state=0)",4.1109775306136243e-13,0.9872745163408663,-1.4010297457062406,4.534855670058933e-06,3131,33
"DecisionTreeRegressor(ccp_alpha=4.357111546560155e-13, random_state=0)",4.357111546560155e-13,0.9872745151181956,-1.4010297457062406,4.5348561057700875e-06,3129,33
"DecisionTreeRegressor(ccp_alpha=4.576852785653784e-13, random_state=0)",4.576852785653784e-13,0.9872745138338622,-1.4010297457062406,4.534856563455366e-06,3127,33
"DecisionTreeRegressor(ccp_alpha=4.990005457450319e-13, random_state=0)",4.990005457450319e-13,0.9872745124335922,-1.4010297457062406,4.534857062455912e-06,3125,33
"DecisionTreeRegressor(ccp_alpha=5.926882942763889e-13, random_state=0)",5.926882942763889e-13,0.9872745107704202,-1.4010199063634667,4.534857655144206e-06,3123,33
"DecisionTreeRegressor(ccp_alpha=6.210550823615435e-13, random_state=0)",6.210550823615435e-13,0.9872745090276466,-1.4010199402299706,4.5348582761992885e-06,3121,33
"DecisionTreeRegressor(ccp_alpha=6.710611927251975e-13, random_state=0)",6.710611927251975e-13,0.9872745071445486,-1.4010199402299706,4.534858947260481e-06,3119,33
"DecisionTreeRegressor(ccp_alpha=6.82404029117567e-13, random_state=0)",6.82404029117567e-13,0.9872745052296208,-1.4010199402299706,4.5348596296645104e-06,3117,33
"DecisionTreeRegressor(ccp_alpha=8.715301397232977e-13, random_state=0)",8.715301397232977e-13,0.9872745027839771,-1.4010199402299706,4.53486050119465e-06,3115,33
"DecisionTreeRegressor(ccp_alpha=9.132761387420362e-13, random_state=0)",9.132761387420362e-13,0.9872745002211876,-1.4010199402299706,4.534861414470789e-06,3113,33
"DecisionTreeRegressor(ccp_alpha=1.0260280819407442e-12, random_state=0)",1.0260280819407442e-12,0.9872744973419991,-1.4010199402299706,4.534862440498871e-06,3111,33
"DecisionTreeRegressor(ccp_alpha=1.0461810931450266e-12, random_state=0)",1.0461810931450266e-12,0.9872744944062583,-1.4010199402299706,4.534863486679964e-06,3109,33
