models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9942274447108508,-1.1432160518038827,1.179611963664226e-18,3163,35
"DecisionTreeRegressor(ccp_alpha=3.1225022567582527e-19, random_state=0)",3.1225022567582527e-19,0.9942274447108508,-1.1432160518038827,1.4918621893400512e-18,3161,35
"DecisionTreeRegressor(ccp_alpha=4.945521422938803e-14, random_state=0)",4.945521422938803e-14,0.994227444529127,-1.1432160518038827,4.945670609157737e-14,3159,35
"DecisionTreeRegressor(ccp_alpha=1.397883371556663e-13, random_state=0)",1.397883371556663e-13,0.9942274440154724,-1.1432160518038827,1.8924504324724367e-13,3157,35
"DecisionTreeRegressor(ccp_alpha=1.6102813527041348e-13, random_state=0)",1.6102813527041348e-13,0.9942274434237715,-1.14321665048129,3.5027317851765714e-13,3155,35
"DecisionTreeRegressor(ccp_alpha=6.873781058236439e-13, random_state=0)",6.873781058236439e-13,0.9942274408979875,-1.14321665048129,1.037651284341301e-12,3153,35
"DecisionTreeRegressor(ccp_alpha=7.60452673054246e-13, random_state=0)",7.60452673054246e-13,0.9942274381036895,-1.143262330169304,1.798103957395547e-12,3151,35
"DecisionTreeRegressor(ccp_alpha=1.4607679996170298e-12, random_state=0)",1.4607679996170298e-12,0.9942274327360707,-1.143262330169304,3.258871957012577e-12,3149,35
"DecisionTreeRegressor(ccp_alpha=1.5373811251828684e-12, random_state=0)",1.5373811251828684e-12,0.9942274270869348,-1.143262330169304,4.7962530821954455e-12,3147,35
"DecisionTreeRegressor(ccp_alpha=1.540890210566248e-12, random_state=0)",1.540890210566248e-12,0.994227421424905,-1.143262330169304,6.3371432927616935e-12,3145,35
"DecisionTreeRegressor(ccp_alpha=2.491470033755272e-12, random_state=0)",2.491470033755272e-12,0.9942274122699514,-1.143262330169304,8.828613326516965e-12,3143,35
"DecisionTreeRegressor(ccp_alpha=2.5617161170110592e-12, random_state=0)",2.5617161170110592e-12,0.9942274028568772,-1.143262330169304,1.1390329443528024e-11,3141,35
"DecisionTreeRegressor(ccp_alpha=2.6912000058998408e-12, random_state=0)",2.6912000058998408e-12,0.994227392968012,-1.143262330169304,1.4081529449427865e-11,3139,35
"DecisionTreeRegressor(ccp_alpha=2.964612617895046e-12, random_state=0)",2.964612617895046e-12,0.9942273820744875,-1.143262330169304,1.704614206732291e-11,3137,35
"DecisionTreeRegressor(ccp_alpha=3.0153539561095232e-12, random_state=0)",3.0153539561095232e-12,0.9942273709945122,-1.1432771773363877,2.0061496023432434e-11,3135,35
"DecisionTreeRegressor(ccp_alpha=3.1827645033399855e-12, random_state=0)",3.1827645033399855e-12,0.9942273592993841,-1.143242800721461,2.324426052677242e-11,3133,35
"DecisionTreeRegressor(ccp_alpha=3.1859190632865798e-12, random_state=0)",3.1859190632865798e-12,0.9942273475926645,-1.1432314522632216,2.6430179590059e-11,3131,35
"DecisionTreeRegressor(ccp_alpha=3.239148775591172e-12, random_state=0)",3.239148775591172e-12,0.9942273356903513,-1.1432314522632216,2.9669328365650174e-11,3129,35
"DecisionTreeRegressor(ccp_alpha=3.4387530323254366e-12, random_state=0)",3.4387530323254366e-12,0.994227323054588,-1.1432314522632216,3.310808139797561e-11,3127,35
"DecisionTreeRegressor(ccp_alpha=3.498012504654646e-12, random_state=0)",3.498012504654646e-12,0.9942273102010751,-1.1432314522632216,3.6606093902630254e-11,3125,35
"DecisionTreeRegressor(ccp_alpha=3.701920332777053e-12, random_state=0)",3.701920332777053e-12,0.9942272965982984,-1.1432264756216628,4.030801423540731e-11,3123,35
"DecisionTreeRegressor(ccp_alpha=3.9903122472928486e-12, random_state=0)",3.9903122472928486e-12,0.99422728193582,-1.1432264756216628,4.4298326482700156e-11,3121,35
"DecisionTreeRegressor(ccp_alpha=4.485761345707217e-12, random_state=0)",4.485761345707217e-12,0.9942272654528056,-1.1432264756216628,4.878408782840737e-11,3119,35
"DecisionTreeRegressor(ccp_alpha=4.766328148136933e-12, random_state=0)",4.766328148136933e-12,0.994227247938843,-1.1432310046099596,5.3550415976544305e-11,3117,35
"DecisionTreeRegressor(ccp_alpha=4.84071623063631e-12, random_state=0)",4.84071623063631e-12,0.9942272301515404,-1.1432310046099596,5.839113220718062e-11,3115,35
"DecisionTreeRegressor(ccp_alpha=5.605389034879504e-12, random_state=0)",5.605389034879504e-12,0.9942272095544326,-1.1432310046099596,6.399652124206012e-11,3113,35
"DecisionTreeRegressor(ccp_alpha=6.033469557298332e-12, random_state=0)",6.033469557298332e-12,0.994227187384335,-1.1432310046099596,7.002999079935845e-11,3111,35
"DecisionTreeRegressor(ccp_alpha=6.236629025713203e-12, random_state=0)",6.236629025713203e-12,0.9942271644677241,-1.1432310046099596,7.626661982507166e-11,3109,35
"DecisionTreeRegressor(ccp_alpha=6.47010374096868e-12, random_state=0)",6.47010374096868e-12,0.9942271406932057,-1.1431654290961144,8.273672356604033e-11,3107,35
"DecisionTreeRegressor(ccp_alpha=6.904327994744497e-12, random_state=0)",6.904327994744497e-12,0.9942271153231224,-1.1431654290961144,8.964105156078483e-11,3105,35
"DecisionTreeRegressor(ccp_alpha=7.158382046845712e-12, random_state=0)",7.158382046845712e-12,0.9942270890195125,-1.1431564754566326,9.679943360763053e-11,3103,35
"DecisionTreeRegressor(ccp_alpha=8.036040652359411e-12, random_state=0)",8.036040652359411e-12,0.9942270594909302,-1.1430999582032104,1.0483547425998994e-10,3101,35
"DecisionTreeRegressor(ccp_alpha=8.279397931132415e-12, random_state=0)",8.279397931132415e-12,0.994227029068127,-1.1430999582032104,1.1311487219112236e-10,3099,35
"DecisionTreeRegressor(ccp_alpha=8.561521925437576e-12, random_state=0)",8.561521925437576e-12,0.994226997608653,-1.1430999582032104,1.2167639411655995e-10,3097,35
"DecisionTreeRegressor(ccp_alpha=9.100444529897001e-12, random_state=0)",9.100444529897001e-12,0.9942269641688979,-1.1430999582032104,1.3077683864645694e-10,3095,35
"DecisionTreeRegressor(ccp_alpha=1.0394520175149857e-11, random_state=0)",1.0394520175149857e-11,0.9942269259740377,-1.1430999582032104,1.411713588216068e-10,3093,35
"DecisionTreeRegressor(ccp_alpha=1.040136043267692e-11, random_state=0)",1.040136043267692e-11,0.9942268877540424,-1.1430926992771577,1.5157271925428372e-10,3091,35
"DecisionTreeRegressor(ccp_alpha=1.0431028107243946e-11, random_state=0)",1.0431028107243946e-11,0.9942268494250329,-1.1430926992771577,1.6200374736152767e-10,3089,35
"DecisionTreeRegressor(ccp_alpha=1.1002740715054805e-11, random_state=0)",1.1002740715054805e-11,0.9942268089952554,-1.1430926992771577,1.7300648807658247e-10,3087,35
"DecisionTreeRegressor(ccp_alpha=1.1230245344773237e-11, random_state=0)",1.1230245344773237e-11,0.9942267677295074,-1.1430774145273173,1.842367334213557e-10,3085,35
"DecisionTreeRegressor(ccp_alpha=1.2258675966686506e-11, random_state=0)",1.2258675966686506e-11,0.9942267226847709,-1.1430774145273173,1.9649540938804219e-10,3083,35
"DecisionTreeRegressor(ccp_alpha=1.2356785039635553e-11, random_state=0)",1.2356785039635553e-11,0.9942266772795312,-1.1430774145273173,2.0885219442767773e-10,3081,35
"DecisionTreeRegressor(ccp_alpha=1.2760089027064047e-11, random_state=0)",1.2760089027064047e-11,0.9942266303923435,-1.1430774145273173,2.2161228345474177e-10,3079,35
