models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,1.0,-1.2837753379975445,-4.177864651455643e-16,3195,49
"DecisionTreeRegressor(ccp_alpha=6.844871891509285e-16, random_state=0)",6.844871891509285e-16,0.9999999999992792,-1.2837753379975445,2.6670072400536423e-16,3193,49
"DecisionTreeRegressor(ccp_alpha=2.450002006826324e-15, random_state=0)",2.450002006826324e-15,0.9999999999966996,-1.2837753379975445,2.7167027308316882e-15,3191,49
"DecisionTreeRegressor(ccp_alpha=3.2000790906039356e-15, random_state=0)",3.2000790906039356e-15,0.9999999999933303,-1.283775257101007,5.916781821435624e-15,3189,49
"DecisionTreeRegressor(ccp_alpha=3.872006881788792e-15, random_state=0)",3.872006881788792e-15,0.9999999999892535,-1.2837752649244476,9.788788703224416e-15,3187,49
"DecisionTreeRegressor(ccp_alpha=5.407931047418657e-15, random_state=0)",5.407931047418657e-15,0.9999999999835594,-1.2837752649244476,1.5196719750643073e-14,3185,49
"DecisionTreeRegressor(ccp_alpha=1.0878069278685842e-14, random_state=0)",1.0878069278685842e-14,0.9999999999721058,-1.2837752977508456,2.6074789029328913e-14,3183,49
"DecisionTreeRegressor(ccp_alpha=1.2920289838014298e-14, random_state=0)",1.2920289838014298e-14,0.9999999999448981,-1.2837754941411625,3.899507886734321e-14,3179,49
"DecisionTreeRegressor(ccp_alpha=1.2920289838014298e-14, random_state=0)",1.2920289838014298e-14,0.9999999999448981,-1.2837754941411625,5.191536870535751e-14,3179,49
"DecisionTreeRegressor(ccp_alpha=1.3944470578231005e-14, random_state=0)",1.3944470578231005e-14,0.9999999999302158,-1.2837754941411625,6.585983928358852e-14,3177,49
"DecisionTreeRegressor(ccp_alpha=1.656194278942813e-14, random_state=0)",1.656194278942813e-14,0.9999999999127775,-1.2837754941411625,8.242178207301665e-14,3175,49
"DecisionTreeRegressor(ccp_alpha=3.056624398034557e-14, random_state=0)",3.056624398034557e-14,0.9999999998805942,-1.2837754651992799,1.1298802605336222e-13,3173,49
"DecisionTreeRegressor(ccp_alpha=9.352811927709759e-14, random_state=0)",9.352811927709759e-14,0.9999999997821177,-1.2837754651992799,2.065161453304598e-13,3171,49
"DecisionTreeRegressor(ccp_alpha=9.603148137804495e-14, random_state=0)",9.603148137804495e-14,0.9999999996810056,-1.2837754651992799,3.0254762670850475e-13,3169,49
"DecisionTreeRegressor(ccp_alpha=2.7975198546581483e-13, random_state=0)",2.7975198546581483e-13,0.9999999993864529,-1.2837754651992799,5.822996121743196e-13,3167,49
"DecisionTreeRegressor(ccp_alpha=3.345621002459609e-13, random_state=0)",3.345621002459609e-13,0.9999999990341905,-1.2837754651992799,9.168617124202804e-13,3165,49
"DecisionTreeRegressor(ccp_alpha=3.719530586310249e-13, random_state=0)",3.719530586310249e-13,0.9999999986425587,-1.2837754651992799,1.2888147710513053e-12,3163,49
"DecisionTreeRegressor(ccp_alpha=3.8654034834051387e-13, random_state=0)",3.8654034834051387e-13,0.999999998235568,-1.2837751472739392,1.6753551193918191e-12,3161,49
"DecisionTreeRegressor(ccp_alpha=5.673788695814696e-13, random_state=0)",5.673788695814696e-13,0.9999999976381713,-1.2837751472739392,2.2427339889732886e-12,3159,49
"DecisionTreeRegressor(ccp_alpha=5.880701481331131e-13, random_state=0)",5.880701481331131e-13,0.9999999970189886,-1.2837750550460596,2.8308041371064018e-12,3157,49
"DecisionTreeRegressor(ccp_alpha=7.666314805199193e-13, random_state=0)",7.666314805199193e-13,0.9999999962117974,-1.2837750550460596,3.597435617626321e-12,3155,49
"DecisionTreeRegressor(ccp_alpha=8.020111311179967e-13, random_state=0)",8.020111311179967e-13,0.9999999953673548,-1.2837784520892277,4.3994467487443176e-12,3153,49
"DecisionTreeRegressor(ccp_alpha=8.230444797918679e-13, random_state=0)",8.230444797918679e-13,0.999999994500766,-1.2837784520892277,5.222491228536185e-12,3151,49
"DecisionTreeRegressor(ccp_alpha=1.00394465310516e-12, random_state=0)",1.00394465310516e-12,0.9999999934437066,-1.2837784520892277,6.226435881641345e-12,3149,49
"DecisionTreeRegressor(ccp_alpha=1.006780492307513e-12, random_state=0)",1.006780492307513e-12,0.999999992383661,-1.2837784520892277,7.233216373948858e-12,3147,49
"DecisionTreeRegressor(ccp_alpha=1.0687219338667564e-12, random_state=0)",1.0687219338667564e-12,0.9999999912583969,-1.2837788480315249,8.301938307815613e-12,3145,49
"DecisionTreeRegressor(ccp_alpha=1.112286113907901e-12, random_state=0)",1.112286113907901e-12,0.9999999900872638,-1.283780195818903,9.414224421723515e-12,3143,49
"DecisionTreeRegressor(ccp_alpha=1.1302561317427796e-12, random_state=0)",1.1302561317427796e-12,0.99999998889721,-1.283780195818903,1.0544480553466294e-11,3141,49
"DecisionTreeRegressor(ccp_alpha=1.1796480112180597e-12, random_state=0)",1.1796480112180597e-12,0.9999999876551512,-1.283780195818903,1.1724128564684354e-11,3139,49
"DecisionTreeRegressor(ccp_alpha=1.2008625344117618e-12, random_state=0)",1.2008625344117618e-12,0.9999999863907555,-1.2837706236997577,1.2924991099096116e-11,3137,49
"DecisionTreeRegressor(ccp_alpha=1.2055162423862954e-12, random_state=0)",1.2055162423862954e-12,0.9999999851214597,-1.2837706236997577,1.413050734148241e-11,3135,49
"DecisionTreeRegressor(ccp_alpha=1.2592845863301783e-12, random_state=0)",1.2592845863301783e-12,0.9999999837955512,-1.2837697795213656,1.538979192781259e-11,3133,49
"DecisionTreeRegressor(ccp_alpha=1.3604251232479657e-12, random_state=0)",1.3604251232479657e-12,0.999999982363151,-1.2837697795213656,1.6750217051060553e-11,3131,49
"DecisionTreeRegressor(ccp_alpha=1.4479765303443415e-12, random_state=0)",1.4479765303443415e-12,0.9999999808385673,-1.2837697795213656,1.8198193581404896e-11,3129,49
"DecisionTreeRegressor(ccp_alpha=1.6038405152574153e-12, random_state=0)",1.6038405152574153e-12,0.9999999791498736,-1.2837697795213656,1.980203409666231e-11,3127,49
"DecisionTreeRegressor(ccp_alpha=1.6443911163288582e-12, random_state=0)",1.6443911163288582e-12,0.9999999774184838,-1.2837697795213656,2.1446425212991168e-11,3125,49
"DecisionTreeRegressor(ccp_alpha=1.7131005641823904e-12, random_state=0)",1.7131005641823904e-12,0.9999999756147494,-1.2837697795213656,2.3159525777173558e-11,3123,49
"DecisionTreeRegressor(ccp_alpha=1.718194527627892e-12, random_state=0)",1.718194527627892e-12,0.9999999738056516,-1.2837716154186043,2.487772030480145e-11,3121,49
"DecisionTreeRegressor(ccp_alpha=1.7489175906104659e-12, random_state=0)",1.7489175906104659e-12,0.9999999719642053,-1.2837716154186043,2.6626637895411914e-11,3119,49
"DecisionTreeRegressor(ccp_alpha=1.9315951269027743e-12, random_state=0)",1.9315951269027743e-12,0.9999999699304166,-1.2837744994864373,2.8558233022314687e-11,3117,49
"DecisionTreeRegressor(ccp_alpha=1.9845300749943283e-12, random_state=0)",1.9845300749943283e-12,0.9999999678408924,-1.2837753668486704,3.0542763097309014e-11,3115,49
"DecisionTreeRegressor(ccp_alpha=2.113567914435732e-12, random_state=0)",2.113567914435732e-12,0.9999999656155033,-1.2837753668486704,3.2656331011744745e-11,3113,49
"DecisionTreeRegressor(ccp_alpha=2.2355551611286107e-12, random_state=0)",2.2355551611286107e-12,0.9999999632616733,-1.2837753668486704,3.4891886172873353e-11,3111,49
"DecisionTreeRegressor(ccp_alpha=2.3827445051749495e-12, random_state=0)",2.3827445051749495e-12,0.9999999607528666,-1.2837753668486704,3.7274630678048305e-11,3109,49
"DecisionTreeRegressor(ccp_alpha=2.405172727648619e-12, random_state=0)",2.405172727648619e-12,0.999999958220445,-1.2837748408012932,3.9679803405696924e-11,3107,49
"DecisionTreeRegressor(ccp_alpha=2.425503270453433e-12, random_state=0)",2.425503270453433e-12,0.9999999556666174,-1.2837748408012932,4.210530667615036e-11,3105,49
"DecisionTreeRegressor(ccp_alpha=2.500966066187882e-12, random_state=0)",2.500966066187882e-12,0.9999999530333343,-1.2837748408012932,4.460627274233824e-11,3103,49
"DecisionTreeRegressor(ccp_alpha=2.507680174623772e-12, random_state=0)",2.507680174623772e-12,0.9999999503929822,-1.2837748408012932,4.7113952916962014e-11,3101,49
"DecisionTreeRegressor(ccp_alpha=2.6054738228031836e-12, random_state=0)",2.6054738228031836e-12,0.9999999476496624,-1.2837748408012932,4.9719426739765195e-11,3099,49
"DecisionTreeRegressor(ccp_alpha=2.6611243590657363e-12, random_state=0)",2.6611243590657363e-12,0.9999999448477476,-1.2837748408012932,5.238055109883093e-11,3097,49
"DecisionTreeRegressor(ccp_alpha=2.9488061124849363e-12, random_state=0)",2.9488061124849363e-12,0.999999941742931,-1.2837715923876698,5.5329357211315865e-11,3095,49
"DecisionTreeRegressor(ccp_alpha=3.0411946572161954e-12, random_state=0)",3.0411946572161954e-12,0.9999999385408381,-1.2837739432781512,5.837055186853206e-11,3093,49
"DecisionTreeRegressor(ccp_alpha=3.047980427078878e-12, random_state=0)",3.047980427078878e-12,0.9999999353316003,-1.2837789430229987,6.141853229561094e-11,3091,49
"DecisionTreeRegressor(ccp_alpha=3.2385125310618876e-12, random_state=0)",3.2385125310618876e-12,0.99999993192175,-1.2837789430229987,6.465704482667283e-11,3089,49
"DecisionTreeRegressor(ccp_alpha=3.3956179881777793e-12, random_state=0)",3.3956179881777793e-12,0.9999999283464823,-1.2837806650286399,6.80526628148506e-11,3087,49
