models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9937673875916145,-1.5493709975452798,-2.4476948246032738e-17,3145,30
"DecisionTreeRegressor(ccp_alpha=3.0878077872387167e-18, random_state=0)",3.0878077872387167e-18,0.9937673875916073,-1.5493709975452798,-2.1389140458794022e-17,3143,30
"DecisionTreeRegressor(ccp_alpha=5.900835375882706e-16, random_state=0)",5.900835375882706e-16,0.9937673875902571,-1.5493709975452798,5.686943971294766e-16,3141,30
"DecisionTreeRegressor(ccp_alpha=2.8122643103145607e-15, random_state=0)",2.8122643103145607e-15,0.9937673875838205,-1.5493710777460556,3.3809587074440373e-15,3139,30
"DecisionTreeRegressor(ccp_alpha=1.0658019605758183e-14, random_state=0)",1.0658019605758183e-14,0.9937673875594293,-1.5493710777460556,1.403897831320222e-14,3137,30
"DecisionTreeRegressor(ccp_alpha=2.1166523395121928e-14, random_state=0)",2.1166523395121928e-14,0.9937673875109889,-1.5493751959805726,3.520550170832415e-14,3135,30
"DecisionTreeRegressor(ccp_alpha=8.446049415411495e-14, random_state=0)",8.446049415411495e-14,0.993767387317698,-1.5493758929051236,1.196659958624391e-13,3133,30
"DecisionTreeRegressor(ccp_alpha=1.0158780067159867e-13, random_state=0)",1.0158780067159867e-13,0.9937673870852107,-1.5493758929051236,2.2125379653403777e-13,3131,30
"DecisionTreeRegressor(ccp_alpha=2.0914277254480141e-13, random_state=0)",2.0914277254480141e-13,0.9937673866065798,-1.5493758929051236,4.303965690788392e-13,3129,30
"DecisionTreeRegressor(ccp_alpha=2.7751249215279827e-13, random_state=0)",2.7751249215279827e-13,0.9937673859714824,-1.5493758929051236,7.079090612316375e-13,3127,30
"DecisionTreeRegressor(ccp_alpha=4.14732779369098e-13, random_state=0)",4.14732779369098e-13,0.9937673850223514,-1.5493758929051236,1.1226418406007354e-12,3125,30
"DecisionTreeRegressor(ccp_alpha=5.075280994082387e-13, random_state=0)",5.075280994082387e-13,0.9937673838608548,-1.5493831057694103,1.6301699400089742e-12,3123,30
"DecisionTreeRegressor(ccp_alpha=5.778124853583754e-13, random_state=0)",5.778124853583754e-13,0.9937673825385099,-1.5493888312619202,2.2079824253673496e-12,3121,30
"DecisionTreeRegressor(ccp_alpha=6.56944464105802e-13, random_state=0)",6.56944464105802e-13,0.9937673810350686,-1.5493888312619202,2.8649268894731515e-12,3119,30
"DecisionTreeRegressor(ccp_alpha=7.909675692197027e-13, random_state=0)",7.909675692197027e-13,0.9937673792249107,-1.549393547231463,3.655894458692854e-12,3117,30
"DecisionTreeRegressor(ccp_alpha=1.0018201199168963e-12, random_state=0)",1.0018201199168963e-12,0.993767376932209,-1.5494006844758728,4.6577145786097505e-12,3115,30
"DecisionTreeRegressor(ccp_alpha=1.1055845128282726e-12, random_state=0)",1.1055845128282726e-12,0.9937673744020387,-1.5494006844758728,5.763299091438023e-12,3113,30
"DecisionTreeRegressor(ccp_alpha=1.2261779959443775e-12, random_state=0)",1.2261779959443775e-12,0.9937673715958859,-1.5494006844758728,6.9894770873824e-12,3111,30
"DecisionTreeRegressor(ccp_alpha=1.4710412749030511e-12, random_state=0)",1.4710412749030511e-12,0.9937673682293545,-1.5494006844758728,8.46051836228545e-12,3109,30
"DecisionTreeRegressor(ccp_alpha=1.819278113573963e-12, random_state=0)",1.819278113573963e-12,0.9937673640658705,-1.5494006844758728,1.0279796475859413e-11,3107,30
"DecisionTreeRegressor(ccp_alpha=1.8793758216339998e-12, random_state=0)",1.8793758216339998e-12,0.9937673597648508,-1.5493987471554562,1.2159172297493414e-11,3105,30
"DecisionTreeRegressor(ccp_alpha=1.9429132087911415e-12, random_state=0)",1.9429132087911415e-12,0.9937673553184232,-1.5493987471554562,1.4102085506284555e-11,3103,30
"DecisionTreeRegressor(ccp_alpha=2.057406155164809e-12, random_state=0)",2.057406155164809e-12,0.9937673506099747,-1.5493987471554562,1.6159491661449363e-11,3101,30
"DecisionTreeRegressor(ccp_alpha=3.3301352300729725e-12, random_state=0)",3.3301352300729725e-12,0.9937673429888392,-1.5493987471554562,1.9489626891522336e-11,3099,30
"DecisionTreeRegressor(ccp_alpha=3.778500325124501e-12, random_state=0)",3.778500325124501e-12,0.9937673343416037,-1.5493987471554562,2.3268127216646837e-11,3097,30
"DecisionTreeRegressor(ccp_alpha=4.3652736633759125e-12, random_state=0)",4.3652736633759125e-12,0.9937673243515163,-1.5493987471554562,2.763340088002275e-11,3095,30
"DecisionTreeRegressor(ccp_alpha=4.724738048716981e-12, random_state=0)",4.724738048716981e-12,0.9937673135387819,-1.5493987471554562,3.235813892873973e-11,3093,30
"DecisionTreeRegressor(ccp_alpha=5.31054039284995e-12, random_state=0)",5.31054039284995e-12,0.9937673013854171,-1.5494132405923708,3.766867932158968e-11,3091,30
"DecisionTreeRegressor(ccp_alpha=5.441700423602925e-12, random_state=0)",5.441700423602925e-12,0.9937672889318881,-1.5494132405923708,4.31103797451926e-11,3089,30
"DecisionTreeRegressor(ccp_alpha=6.615703262990991e-12, random_state=0)",6.615703262990991e-12,0.9937672737916114,-1.5494132405923708,4.9726083008183595e-11,3087,30
"DecisionTreeRegressor(ccp_alpha=6.913621133919357e-12, random_state=0)",6.913621133919357e-12,0.9937672579695386,-1.549439564343174,5.6639704142102955e-11,3085,30
"DecisionTreeRegressor(ccp_alpha=7.2618607654950655e-12, random_state=0)",7.2618607654950655e-12,0.9937672413505072,-1.549439564343174,6.390156490759802e-11,3083,30
"DecisionTreeRegressor(ccp_alpha=7.488449894899053e-12, random_state=0)",7.488449894899053e-12,0.9937672242129176,-1.549439564343174,7.139001480249707e-11,3081,30
"DecisionTreeRegressor(ccp_alpha=7.523320421504165e-12, random_state=0)",7.523320421504165e-12,0.9937672069955257,-1.549426104555062,7.891333522400124e-11,3079,30
"DecisionTreeRegressor(ccp_alpha=1.0543689810127433e-11, random_state=0)",1.0543689810127433e-11,0.9937671828659088,-1.5494360713785973,8.945702503412867e-11,3077,30
"DecisionTreeRegressor(ccp_alpha=1.0995705249094988e-11, random_state=0)",1.0995705249094988e-11,0.9937671577018385,-1.5494360713785973,1.0045273028322365e-10,3075,30
"DecisionTreeRegressor(ccp_alpha=1.1682569425741641e-11, random_state=0)",1.1682569425741641e-11,0.9937671309658542,-1.5494360713785973,1.1213529970896529e-10,3073,30
"DecisionTreeRegressor(ccp_alpha=1.1718850854991468e-11, random_state=0)",1.1718850854991468e-11,0.9937671041468389,-1.5494670991507502,1.2385415056395677e-10,3071,30
"DecisionTreeRegressor(ccp_alpha=1.2525012554887028e-11, random_state=0)",1.2525012554887028e-11,0.9937670754828932,-1.5494670991507502,1.363791631188438e-10,3069,30
"DecisionTreeRegressor(ccp_alpha=1.28347111064131e-11, random_state=0)",1.28347111064131e-11,0.9937670461101911,-1.5494932513431863,1.492138742252569e-10,3067,30
