models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,1.0,-2.507597716660547,-1.2025970497209212e-17,3187,37
"DecisionTreeRegressor(ccp_alpha=9.03149083297805e-16, random_state=0)",9.03149083297805e-16,0.9999999999989251,-2.5075977621182677,8.911231128005958e-16,3185,37
"DecisionTreeRegressor(ccp_alpha=1.2005500760192688e-15, random_state=0)",1.2005500760192688e-15,0.9999999999974962,-2.507597723255248,2.0916731888198646e-15,3183,37
"DecisionTreeRegressor(ccp_alpha=2.6828712862414504e-15, random_state=0)",2.6828712862414504e-15,0.999999999994303,-2.507597723255248,4.774544475061315e-15,3181,37
"DecisionTreeRegressor(ccp_alpha=4.680318632654945e-15, random_state=0)",4.680318632654945e-15,0.9999999999887323,-2.5075977162243706,9.45486310771626e-15,3179,37
"DecisionTreeRegressor(ccp_alpha=6.84450759957933e-15, random_state=0)",6.84450759957933e-15,0.9999999999805858,-2.507597651375586,1.629937070729559e-14,3177,37
"DecisionTreeRegressor(ccp_alpha=7.90652265880709e-15, random_state=0)",7.90652265880709e-15,0.9999999999711752,-2.507597651375586,2.420589336610268e-14,3175,37
"DecisionTreeRegressor(ccp_alpha=8.515185084823074e-15, random_state=0)",8.515185084823074e-15,0.9999999999610402,-2.507597840828894,3.2721078450925755e-14,3173,37
"DecisionTreeRegressor(ccp_alpha=1.3122003483800881e-14, random_state=0)",1.3122003483800881e-14,0.9999999999454218,-2.507597840828894,4.5843081934726636e-14,3171,37
"DecisionTreeRegressor(ccp_alpha=1.781330291605876e-14, random_state=0)",1.781330291605876e-14,0.9999999999242197,-2.507597840828894,6.36563848507854e-14,3169,37
"DecisionTreeRegressor(ccp_alpha=2.3816556365963137e-14, random_state=0)",2.3816556365963137e-14,0.9999999998958724,-2.507597840828894,8.747294121674853e-14,3167,37
"DecisionTreeRegressor(ccp_alpha=5.42027880912066e-14, random_state=0)",5.42027880912066e-14,0.9999999998313582,-2.507597840828894,1.4167572930795513e-13,3165,37
"DecisionTreeRegressor(ccp_alpha=9.063154740585055e-14, random_state=0)",9.063154740585055e-14,0.9999999997234852,-2.507597557585728,2.323072767138057e-13,3163,37
"DecisionTreeRegressor(ccp_alpha=1.5028903468938816e-13, random_state=0)",1.5028903468938816e-13,0.9999999995446054,-2.507597557585728,3.8259631140319385e-13,3161,37
"DecisionTreeRegressor(ccp_alpha=1.5401246250545952e-13, random_state=0)",1.5401246250545952e-13,0.9999999993612939,-2.507597159490398,5.366087739086534e-13,3159,37
"DecisionTreeRegressor(ccp_alpha=1.584843714597106e-13, random_state=0)",1.584843714597106e-13,0.9999999991726597,-2.507597501885775,6.950931453683639e-13,3157,37
"DecisionTreeRegressor(ccp_alpha=2.1418511061965794e-13, random_state=0)",2.1418511061965794e-13,0.9999999989177284,-2.5075988459097287,9.092782559880219e-13,3155,37
"DecisionTreeRegressor(ccp_alpha=2.35469543169442e-13, random_state=0)",2.35469543169442e-13,0.9999999986374636,-2.5075988459097287,1.144747799157464e-12,3153,37
"DecisionTreeRegressor(ccp_alpha=2.9337797816109126e-13, random_state=0)",2.9337797816109126e-13,0.999999998288274,-2.5075988459097287,1.4381257773185552e-12,3151,37
"DecisionTreeRegressor(ccp_alpha=3.2140167263716714e-13, random_state=0)",3.2140167263716714e-13,0.9999999979057297,-2.5075988459097287,1.7595274499557224e-12,3149,37
"DecisionTreeRegressor(ccp_alpha=3.2461654891902116e-13, random_state=0)",3.2461654891902116e-13,0.9999999975193588,-2.5075988459097287,2.0841439988747435e-12,3147,37
"DecisionTreeRegressor(ccp_alpha=5.708461307818435e-13, random_state=0)",5.708461307818435e-13,0.999999996839916,-2.5075988459097287,2.654990129656587e-12,3145,37
"DecisionTreeRegressor(ccp_alpha=6.218912711186687e-13, random_state=0)",6.218912711186687e-13,0.9999999960997173,-2.5075988459097287,3.2768814007752557e-12,3143,37
"DecisionTreeRegressor(ccp_alpha=6.658579417007093e-13, random_state=0)",6.658579417007093e-13,0.999999995307188,-2.5075979013939467,3.9427393424759646e-12,3141,37
"DecisionTreeRegressor(ccp_alpha=6.719302891866619e-13, random_state=0)",6.719302891866619e-13,0.999999994507431,-2.5075979013939467,4.614669631662626e-12,3139,37
"DecisionTreeRegressor(ccp_alpha=6.947258220091345e-13, random_state=0)",6.947258220091345e-13,0.999999993680542,-2.507600581241919,5.309395453671761e-12,3137,37
"DecisionTreeRegressor(ccp_alpha=7.113262062707904e-13, random_state=0)",7.113262062707904e-13,0.9999999928338944,-2.50759807690872,6.020721659942551e-12,3135,37
"DecisionTreeRegressor(ccp_alpha=8.096281284286632e-13, random_state=0)",8.096281284286632e-13,0.9999999918702444,-2.507596026852487,6.830349788371214e-12,3133,37
"DecisionTreeRegressor(ccp_alpha=8.401320958362213e-13, random_state=0)",8.401320958362213e-13,0.9999999908702872,-2.5075939618750818,7.670481884207435e-12,3131,37
"DecisionTreeRegressor(ccp_alpha=1.0643405774779514e-12, random_state=0)",1.0643405774779514e-12,0.9999999896034688,-2.5075939618750818,8.734822461685387e-12,3129,37
"DecisionTreeRegressor(ccp_alpha=1.2265694709912012e-12, random_state=0)",1.2265694709912012e-12,0.9999999881435592,-2.5075939618750818,9.961391932676588e-12,3127,37
"DecisionTreeRegressor(ccp_alpha=1.2908227611796442e-12, random_state=0)",1.2908227611796442e-12,0.9999999866071729,-2.5075934952243877,1.1252214693856233e-11,3125,37
"DecisionTreeRegressor(ccp_alpha=1.3033052241595567e-12, random_state=0)",1.3033052241595567e-12,0.9999999850559297,-2.507591929512717,1.2555519918015789e-11,3123,37
"DecisionTreeRegressor(ccp_alpha=1.4809205077515043e-12, random_state=0)",1.4809205077515043e-12,0.9999999832932819,-2.507591929512717,1.4036440425767293e-11,3121,37
"DecisionTreeRegressor(ccp_alpha=1.4912644556719369e-12, random_state=0)",1.4912644556719369e-12,0.9999999815183223,-2.5075926753966025,1.552770488143923e-11,3119,37
"DecisionTreeRegressor(ccp_alpha=1.5722077979785087e-12, random_state=0)",1.5722077979785087e-12,0.9999999796470208,-2.5075926753966025,1.709991267941774e-11,3117,37
"DecisionTreeRegressor(ccp_alpha=1.6974031034899806e-12, random_state=0)",1.6974031034899806e-12,0.9999999776267072,-2.5075926753966025,1.879731578290772e-11,3115,37
"DecisionTreeRegressor(ccp_alpha=1.740511502285047e-12, random_state=0)",1.740511502285047e-12,0.9999999755550842,-2.5075926753966025,2.0537827285192766e-11,3113,37
"DecisionTreeRegressor(ccp_alpha=1.8735640469613733e-12, random_state=0)",1.8735640469613733e-12,0.9999999733250973,-2.5075930035479335,2.241139133215414e-11,3111,37
"DecisionTreeRegressor(ccp_alpha=1.945871345998551e-12, random_state=0)",1.945871345998551e-12,0.9999999710090474,-2.5075930035479335,2.4357262678152693e-11,3109,37
"DecisionTreeRegressor(ccp_alpha=1.972594448895748e-12, random_state=0)",1.972594448895748e-12,0.9999999686611905,-2.5075956226530276,2.632985712704844e-11,3107,37
"DecisionTreeRegressor(ccp_alpha=1.979055131579033e-12, random_state=0)",1.979055131579033e-12,0.9999999663056439,-2.507592972480418,2.8308912258627472e-11,3105,37
"DecisionTreeRegressor(ccp_alpha=2.061972762673614e-12, random_state=0)",2.061972762673614e-12,0.9999999613971673,-2.507596317278928,3.0370885021301085e-11,3101,37
"DecisionTreeRegressor(ccp_alpha=2.061972762673614e-12, random_state=0)",2.061972762673614e-12,0.9999999613971673,-2.507596317278928,3.24328577839747e-11,3101,37
"DecisionTreeRegressor(ccp_alpha=2.0716301937784287e-12, random_state=0)",2.0716301937784287e-12,0.9999999589314346,-2.507596317278928,3.450448797775313e-11,3099,37
"DecisionTreeRegressor(ccp_alpha=2.1383120794860044e-12, random_state=0)",2.1383120794860044e-12,0.9999999563863344,-2.5075911424073833,3.664280005723913e-11,3097,37
"DecisionTreeRegressor(ccp_alpha=2.4914698429356898e-12, random_state=0)",2.4914698429356898e-12,0.9999999534208922,-2.5075911424073833,3.913426990017482e-11,3095,37
"DecisionTreeRegressor(ccp_alpha=2.491470016408037e-12, random_state=0)",2.491470016408037e-12,0.99999995045545,-2.5075911424073833,4.1625739916582854e-11,3093,37
"DecisionTreeRegressor(ccp_alpha=2.74541020126029e-12, random_state=0)",2.74541020126029e-12,0.9999999471877584,-2.5075911424073833,4.4371150117843145e-11,3091,37
"DecisionTreeRegressor(ccp_alpha=3.3540500585238497e-12, random_state=0)",3.3540500585238497e-12,0.9999999431956408,-2.5075876648975504,4.772520017636699e-11,3089,37
"DecisionTreeRegressor(ccp_alpha=3.893445288394304e-12, random_state=0)",3.893445288394304e-12,0.9999999385615146,-2.5075876648975504,5.1618645464761293e-11,3087,37
"DecisionTreeRegressor(ccp_alpha=3.943893267521758e-12, random_state=0)",3.943893267521758e-12,0.9999999338673429,-2.5075888323030293,5.556253873228305e-11,3085,37
"DecisionTreeRegressor(ccp_alpha=4.160891371035591e-12, random_state=0)",4.160891371035591e-12,0.9999999289148922,-2.5075888323030293,5.972343010331864e-11,3083,37
