models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9949386936464822,-1.9800280208032226,5.728056917675416e-17,3167,29
"DecisionTreeRegressor(ccp_alpha=1.2805728699660791e-16, random_state=0)",1.2805728699660791e-16,0.9949386936441935,-1.9800280208032226,1.8533785617336208e-16,3165,29
"DecisionTreeRegressor(ccp_alpha=6.570438637609754e-16, random_state=0)",6.570438637609754e-16,0.9949386936324456,-1.9800280208032226,8.423817199343376e-16,3163,29
"DecisionTreeRegressor(ccp_alpha=7.507362786984828e-16, random_state=0)",7.507362786984828e-16,0.9949386936190213,-1.9800280208032226,1.5931179986328203e-15,3161,29
"DecisionTreeRegressor(ccp_alpha=6.328184504189594e-15, random_state=0)",6.328184504189594e-15,0.9949386935058724,-1.9800294471657667,7.921302502822415e-15,3159,29
"DecisionTreeRegressor(ccp_alpha=9.660328093019644e-15, random_state=0)",9.660328093019644e-15,0.9949386933331393,-1.9800334111967226,1.758163059584206e-14,3157,29
"DecisionTreeRegressor(ccp_alpha=1.0081935286621047e-14, random_state=0)",1.0081935286621047e-14,0.9949386931528699,-1.9800334111967226,2.7663565882463105e-14,3155,29
"DecisionTreeRegressor(ccp_alpha=1.3530131875993945e-14, random_state=0)",1.3530131875993945e-14,0.9949386929109466,-1.9800334111967226,4.1193697758457054e-14,3153,29
"DecisionTreeRegressor(ccp_alpha=1.8094831188975034e-14, random_state=0)",1.8094831188975034e-14,0.9949386925874012,-1.9800334111967226,5.928852894743209e-14,3151,29
"DecisionTreeRegressor(ccp_alpha=1.9601941597668926e-14, random_state=0)",1.9601941597668926e-14,0.9949386922369109,-1.9800334111967226,7.889047054510101e-14,3149,29
"DecisionTreeRegressor(ccp_alpha=2.520022385210652e-14, random_state=0)",2.520022385210652e-14,0.9949386917863241,-1.9800334111967226,1.0409069439720754e-13,3147,29
"DecisionTreeRegressor(ccp_alpha=3.0876134982094074e-14, random_state=0)",3.0876134982094074e-14,0.9949386912342486,-1.9800334111967226,1.349668293793016e-13,3145,29
"DecisionTreeRegressor(ccp_alpha=3.6180537732466433e-14, random_state=0)",3.6180537732466433e-14,0.9949386905873292,-1.9800334111967226,1.7114736711176804e-13,3143,29
"DecisionTreeRegressor(ccp_alpha=4.46257440722686e-14, random_state=0)",4.46257440722686e-14,0.9949386897894051,-1.980033252242079,2.1577311118403665e-13,3141,29
"DecisionTreeRegressor(ccp_alpha=4.7047764989427425e-14, random_state=0)",4.7047764989427425e-14,0.994938688948175,-1.980033252242079,2.628208761734641e-13,3139,29
"DecisionTreeRegressor(ccp_alpha=5.469775674060706e-14, random_state=0)",5.469775674060706e-14,0.9949386879701603,-1.9800355124250917,3.1751863291407117e-13,3137,29
"DecisionTreeRegressor(ccp_alpha=5.899610661108668e-14, random_state=0)",5.899610661108668e-14,0.9949386884975956,-1.9800297414376309,3.7651473952515785e-13,3135,29
"DecisionTreeRegressor(ccp_alpha=5.951246440094593e-14, random_state=0)",5.951246440094593e-14,0.9949386874334921,-1.9800161274950296,4.360272039261038e-13,3133,29
"DecisionTreeRegressor(ccp_alpha=7.59525428661867e-14, random_state=0)",7.59525428661867e-14,0.9949386860754352,-1.9800161274950296,5.119797467922905e-13,3131,29
"DecisionTreeRegressor(ccp_alpha=8.394746703332956e-14, random_state=0)",8.394746703332956e-14,0.9949386845744252,-1.9800161274950296,5.9592721382562e-13,3129,29
"DecisionTreeRegressor(ccp_alpha=8.652800698172314e-14, random_state=0)",8.652800698172314e-14,0.9949386830272755,-1.9800161274950296,6.824552208073432e-13,3127,29
"DecisionTreeRegressor(ccp_alpha=9.746111903630173e-14, random_state=0)",9.746111903630173e-14,0.9949386812846378,-1.9800161274950296,7.799163398436449e-13,3125,29
"DecisionTreeRegressor(ccp_alpha=1.0138442169127516e-13, random_state=0)",1.0138442169127516e-13,0.9949386794718563,-1.9800161274950296,8.813007615349201e-13,3123,29
"DecisionTreeRegressor(ccp_alpha=1.0465323052599729e-13, random_state=0)",1.0465323052599729e-13,0.9949386776006233,-1.9800161274950296,9.859539920609173e-13,3121,29
"DecisionTreeRegressor(ccp_alpha=1.2751251443621215e-13, random_state=0)",1.2751251443621215e-13,0.9949386753206568,-1.9800166697636272,1.1134665064971294e-12,3119,29
"DecisionTreeRegressor(ccp_alpha=1.303051243295439e-13, random_state=0)",1.303051243295439e-13,0.9949386729907574,-1.9799874062220422,1.2437716308266734e-12,3117,29
"DecisionTreeRegressor(ccp_alpha=1.3978835450290106e-13, random_state=0)",1.3978835450290106e-13,0.9949386704912959,-1.9799874062220422,1.3835599853295744e-12,3115,29
"DecisionTreeRegressor(ccp_alpha=1.4472199480475288e-13, random_state=0)",1.4472199480475288e-13,0.994938667903618,-1.9799874062220422,1.5282819801343274e-12,3113,29
"DecisionTreeRegressor(ccp_alpha=1.547070978269449e-13, random_state=0)",1.547070978269449e-13,0.9949386651374041,-1.9799874062220422,1.6829890779612722e-12,3111,29
"DecisionTreeRegressor(ccp_alpha=1.8392112485776657e-13, random_state=0)",1.8392112485776657e-13,0.9949386618488326,-1.9799874062220422,1.8669102028190387e-12,3109,29
"DecisionTreeRegressor(ccp_alpha=1.9437618181683545e-13, random_state=0)",1.9437618181683545e-13,0.9949386583733222,-1.9799874062220422,2.061286384635874e-12,3107,29
"DecisionTreeRegressor(ccp_alpha=2.0817386009452931e-13, random_state=0)",2.0817386009452931e-13,0.994938654651105,-1.9799991954198655,2.2694602447304035e-12,3105,29
"DecisionTreeRegressor(ccp_alpha=2.1978455513882444e-13, random_state=0)",2.1978455513882444e-13,0.9949386507212842,-1.9799949717450258,2.489244799869228e-12,3103,29
"DecisionTreeRegressor(ccp_alpha=2.4482495891708924e-13, random_state=0)",2.4482495891708924e-13,0.9949386463437303,-1.9799949717450258,2.734069758786317e-12,3101,29
"DecisionTreeRegressor(ccp_alpha=2.6901104607790493e-13, random_state=0)",2.6901104607790493e-13,0.9949386415337209,-1.9799949717450258,3.003080804864222e-12,3099,29
"DecisionTreeRegressor(ccp_alpha=2.9426270448107416e-13, random_state=0)",2.9426270448107416e-13,0.9949386362722039,-1.9799949717450258,3.297343509345296e-12,3097,29
"DecisionTreeRegressor(ccp_alpha=2.970276455349641e-13, random_state=0)",2.970276455349641e-13,0.9949386309612472,-1.9799949717450258,3.5943711548802602e-12,3095,29
"DecisionTreeRegressor(ccp_alpha=3.083088992439364e-13, random_state=0)",3.083088992439364e-13,0.9949386254485826,-1.9799949717450258,3.902680054124197e-12,3093,29
"DecisionTreeRegressor(ccp_alpha=3.5701242309671426e-13, random_state=0)",3.5701242309671426e-13,0.9949386190650791,-1.9799949717450258,4.259692477220911e-12,3091,29
"DecisionTreeRegressor(ccp_alpha=3.8390700340951157e-13, random_state=0)",3.8390700340951157e-13,0.9949386122006922,-1.980054153791155,4.643599480630422e-12,3089,29
"DecisionTreeRegressor(ccp_alpha=4.0432527118050564e-13, random_state=0)",4.0432527118050564e-13,0.9949386049712203,-1.980054153791155,5.0479247518109274e-12,3087,29
"DecisionTreeRegressor(ccp_alpha=4.315203749882812e-13, random_state=0)",4.315203749882812e-13,0.9949385972554886,-1.980054153791155,5.479445126799209e-12,3085,29
