models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,1.0,-1.2984546877778853,-2.3141211169530606e-17,3183,34
"DecisionTreeRegressor(ccp_alpha=2.278108257591782e-15, random_state=0)",2.278108257591782e-15,0.9999999999936072,-1.2984554772405015,2.2549670464222517e-15,3181,34
"DecisionTreeRegressor(ccp_alpha=3.5281846888501887e-15, random_state=0)",3.5281846888501887e-15,0.9999999999837071,-1.2984554772405015,5.783151735272441e-15,3179,34
"DecisionTreeRegressor(ccp_alpha=1.557611678526527e-14, random_state=0)",1.557611678526527e-14,0.9999999999399982,-1.2984554772405015,2.1359268520537712e-14,3177,34
"DecisionTreeRegressor(ccp_alpha=3.517883900849839e-14, random_state=0)",3.517883900849839e-14,0.9999999998412813,-1.2984554772405015,5.6538107529036097e-14,3175,34
"DecisionTreeRegressor(ccp_alpha=1.534580101880678e-13, random_state=0)",1.534580101880678e-13,0.9999999994106552,-1.2984547121313277,2.099961177171039e-13,3173,34
"DecisionTreeRegressor(ccp_alpha=2.0320311405752633e-13, random_state=0)",2.0320311405752633e-13,0.9999999988404368,-1.2984547121313277,4.131992317746302e-13,3171,34
"DecisionTreeRegressor(ccp_alpha=2.583006378231723e-13, random_state=0)",2.583006378231723e-13,0.9999999981156061,-1.298455159216065,6.714998695978025e-13,3169,34
"DecisionTreeRegressor(ccp_alpha=3.4237810503379153e-13, random_state=0)",3.4237810503379153e-13,0.9999999971548419,-1.298455159216065,1.013877974631594e-12,3167,34
"DecisionTreeRegressor(ccp_alpha=3.6551241200388773e-13, random_state=0)",3.6551241200388773e-13,0.9999999961291591,-1.298455159216065,1.3793903866354816e-12,3165,34
"DecisionTreeRegressor(ccp_alpha=4.1109775306136243e-13, random_state=0)",4.1109775306136243e-13,0.9999999949755572,-1.298455159216065,1.790488139696844e-12,3163,34
"DecisionTreeRegressor(ccp_alpha=4.176977166925333e-13, random_state=0)",4.176977166925333e-13,0.9999999938034341,-1.29845215384025,2.2081858563893774e-12,3161,34
"DecisionTreeRegressor(ccp_alpha=4.2159151170118035e-13, random_state=0)",4.2159151170118035e-13,0.9999999926203852,-1.29845215384025,2.6297773680905577e-12,3159,34
"DecisionTreeRegressor(ccp_alpha=4.56967901019123e-13, random_state=0)",4.56967901019123e-13,0.9999999913380646,-1.2984490726195306,3.086745269109681e-12,3157,34
"DecisionTreeRegressor(ccp_alpha=4.950125032099351e-13, random_state=0)",4.950125032099351e-13,0.9999999899489854,-1.2984490726195306,3.581757772319616e-12,3155,34
"DecisionTreeRegressor(ccp_alpha=6.210550823615435e-13, random_state=0)",6.210550823615435e-13,0.9999999882062118,-1.298442391385176,4.20281285468116e-12,3153,34
"DecisionTreeRegressor(ccp_alpha=6.497999013865829e-13, random_state=0)",6.497999013865829e-13,0.9999999863827758,-1.2984426795190247,4.852612756067743e-12,3151,34
"DecisionTreeRegressor(ccp_alpha=6.56944533494741e-13, random_state=0)",6.56944533494741e-13,0.9999999845392911,-1.2984426795190247,5.5095572895624834e-12,3149,34
"DecisionTreeRegressor(ccp_alpha=7.750124847438756e-13, random_state=0)",7.750124847438756e-13,0.9999999823644901,-1.2984426795190247,6.284569774306359e-12,3147,34
"DecisionTreeRegressor(ccp_alpha=8.109011379042741e-13, random_state=0)",8.109011379042741e-13,0.9999999800889802,-1.2984426795190247,7.095470912210634e-12,3145,34
"DecisionTreeRegressor(ccp_alpha=8.140881718743387e-13, random_state=0)",8.140881718743387e-13,0.9999999778045274,-1.2984355312776255,7.909559084084973e-12,3143,34
"DecisionTreeRegressor(ccp_alpha=8.646124788347364e-13, random_state=0)",8.646124788347364e-13,0.9999999753782953,-1.2984355312776255,8.77417156291971e-12,3141,34
"DecisionTreeRegressor(ccp_alpha=1.207069583175624e-12, random_state=0)",1.207069583175624e-12,0.9999999719910776,-1.2984194053513116,9.981241146095334e-12,3139,34
"DecisionTreeRegressor(ccp_alpha=1.2191411075113123e-12, random_state=0)",1.2191411075113123e-12,0.9999999685699851,-1.2984042828566573,1.1200382253606646e-11,3137,34
"DecisionTreeRegressor(ccp_alpha=1.3407030347023508e-12, random_state=0)",1.3407030347023508e-12,0.9999999648077715,-1.2984068517817988,1.2541085288308997e-11,3135,34
"DecisionTreeRegressor(ccp_alpha=1.6602975418111843e-12, random_state=0)",1.6602975418111843e-12,0.9999999601487282,-1.2983559913268787,1.4201382830120181e-11,3133,34
"DecisionTreeRegressor(ccp_alpha=1.766730008817552e-12, random_state=0)",1.766730008817552e-12,0.9999999551910194,-1.2983559913268787,1.5968112838937734e-11,3131,34
"DecisionTreeRegressor(ccp_alpha=1.883255149048857e-12, random_state=0)",1.883255149048857e-12,0.9999999499063231,-1.2983559913268787,1.785136798798659e-11,3129,34
"DecisionTreeRegressor(ccp_alpha=1.9041761223359544e-12, random_state=0)",1.9041761223359544e-12,0.99999994456292,-1.29836442320065,1.9755544110322546e-11,3127,34
"DecisionTreeRegressor(ccp_alpha=1.9552531468902678e-12, random_state=0)",1.9552531468902678e-12,0.9999999390761871,-1.29836442320065,2.1710797257212813e-11,3125,34
"DecisionTreeRegressor(ccp_alpha=2.0472761680379035e-12, random_state=0)",2.0472761680379035e-12,0.999999933331224,-1.2983672305557952,2.3758073425250716e-11,3123,34
"DecisionTreeRegressor(ccp_alpha=2.4437077708605594e-12, random_state=0)",2.4437077708605594e-12,0.9999999264738142,-1.2983672305557952,2.6201781196111273e-11,3121,33
"DecisionTreeRegressor(ccp_alpha=2.494819593967801e-12, random_state=0)",2.494819593967801e-12,0.9999999194729773,-1.2983735186538428,2.8696600790079074e-11,3119,33
"DecisionTreeRegressor(ccp_alpha=2.4976125681530623e-12, random_state=0)",2.4976125681530623e-12,0.9999999124643028,-1.2983783939248,3.1194213358232136e-11,3117,33
"DecisionTreeRegressor(ccp_alpha=2.595211406886122e-12, random_state=0)",2.595211406886122e-12,0.9999999051817509,-1.2983783939248,3.378942476511826e-11,3115,33
"DecisionTreeRegressor(ccp_alpha=2.622622535808361e-12, random_state=0)",2.622622535808361e-12,0.9999998978222796,-1.2983780533122542,3.641204730092662e-11,3113,33
"DecisionTreeRegressor(ccp_alpha=2.814378105564508e-12, random_state=0)",2.814378105564508e-12,0.9999998899247133,-1.2983753005439924,3.9226425406491126e-11,3111,33
"DecisionTreeRegressor(ccp_alpha=3.247232725767102e-12, random_state=0)",3.247232725767102e-12,0.9999998808124926,-1.2983732760604823,4.2473658132258226e-11,3109,33
"DecisionTreeRegressor(ccp_alpha=3.310807634993029e-12, random_state=0)",3.310807634993029e-12,0.9999998715218704,-1.2983450724894388,4.5784465767251256e-11,3107,33
"DecisionTreeRegressor(ccp_alpha=3.3153126424712022e-12, random_state=0)",3.3153126424712022e-12,0.9999998622186074,-1.2983109995883728,4.909977840972246e-11,3105,33
"DecisionTreeRegressor(ccp_alpha=3.6342080039775127e-12, random_state=0)",3.6342080039775127e-12,0.9999998520204759,-1.298310746022267,5.2733986413699974e-11,3103,33
"DecisionTreeRegressor(ccp_alpha=3.839220434620483e-12, random_state=0)",3.839220434620483e-12,0.9999998412470487,-1.298310746022267,5.6573206848320455e-11,3101,33
"DecisionTreeRegressor(ccp_alpha=3.878112345145901e-12, random_state=0)",3.878112345145901e-12,0.9999998303644846,-1.298303307745455,6.045131919346635e-11,3099,33
"DecisionTreeRegressor(ccp_alpha=3.880897998798094e-12, random_state=0)",3.880897998798094e-12,0.999999819474104,-1.298302902098298,6.433221719226445e-11,3097,33
"DecisionTreeRegressor(ccp_alpha=4.200903409856682e-12, random_state=0)",4.200903409856682e-12,0.9999998076857405,-1.298302902098298,6.853312060212113e-11,3095,33
"DecisionTreeRegressor(ccp_alpha=4.582878035397364e-12, random_state=0)",4.582878035397364e-12,0.9999997948254986,-1.298302902098298,7.31159986375185e-11,3093,33
"DecisionTreeRegressor(ccp_alpha=4.73704199130398e-12, random_state=0)",4.73704199130398e-12,0.9999997815326499,-1.298302902098298,7.785304062882247e-11,3091,33
"DecisionTreeRegressor(ccp_alpha=4.837526108858459e-12, random_state=0)",4.837526108858459e-12,0.9999997679578279,-1.2983189461563298,8.269056673768093e-11,3089,33
"DecisionTreeRegressor(ccp_alpha=5.041900109220565e-12, random_state=0)",5.041900109220565e-12,0.9999997538095016,-1.2983189461563298,8.77324668469015e-11,3087,33
"DecisionTreeRegressor(ccp_alpha=5.5803053150560444e-12, random_state=0)",5.5803053150560444e-12,0.9999997224911581,-1.2983218327080444,9.331277216195754e-11,3083,33
"DecisionTreeRegressor(ccp_alpha=5.5803053150560444e-12, random_state=0)",5.5803053150560444e-12,0.9999997224911581,-1.2983218327080444,9.889307747701358e-11,3083,33
"DecisionTreeRegressor(ccp_alpha=5.628012396396986e-12, random_state=0)",5.628012396396986e-12,0.9999997066981128,-1.2983218327080444,1.0452108987341057e-10,3081,33
"DecisionTreeRegressor(ccp_alpha=6.023920494369061e-12, random_state=0)",6.023920494369061e-12,0.9999996897940904,-1.2983218327080444,1.1054501036777963e-10,3079,33
"DecisionTreeRegressor(ccp_alpha=6.310128114472846e-12, random_state=0)",6.310128114472846e-12,0.9999996720869265,-1.2983612429943423,1.1685513848225247e-10,3077,33
"DecisionTreeRegressor(ccp_alpha=6.498012510014473e-12, random_state=0)",6.498012510014473e-12,0.9999996538525311,-1.298357947850318,1.2335315099226696e-10,3075,33
"DecisionTreeRegressor(ccp_alpha=6.624800014121135e-12, random_state=0)",6.624800014121135e-12,0.9999996352623508,-1.298357947850318,1.299779510063881e-10,3073,33
"DecisionTreeRegressor(ccp_alpha=7.093261013280117e-12, random_state=0)",7.093261013280117e-12,0.9999996153575986,-1.298357947850318,1.370712120196682e-10,3071,33
"DecisionTreeRegressor(ccp_alpha=7.341154108220227e-12, random_state=0)",7.341154108220227e-12,0.9999995947572218,-1.2983593713667245,1.4441236612788843e-10,3069,33
"DecisionTreeRegressor(ccp_alpha=7.378561130144678e-12, random_state=0)",7.378561130144678e-12,0.999999574051875,-1.2983593713667245,1.5179092725803312e-10,3067,33
"DecisionTreeRegressor(ccp_alpha=7.761799918071245e-12, random_state=0)",7.761799918071245e-12,0.9999995522711027,-1.2983593713667245,1.5955272717610436e-10,3065,33
"DecisionTreeRegressor(ccp_alpha=8.42551244051304e-12, random_state=0)",8.42551244051304e-12,0.9999995286278537,-1.2983596539586593,1.679782396166174e-10,3063,33
"DecisionTreeRegressor(ccp_alpha=8.445022597891594e-12, random_state=0)",8.445022597891594e-12,0.9999995049298567,-1.2983596539586593,1.7642326221450898e-10,3061,33
"DecisionTreeRegressor(ccp_alpha=8.531547794621287e-12, random_state=0)",8.531547794621287e-12,0.9999994809890569,-1.2983596539586593,1.8495481000913025e-10,3059,33
"DecisionTreeRegressor(ccp_alpha=8.791672771735205e-12, random_state=0)",8.791672771735205e-12,0.9999994563183073,-1.2983596539586593,1.9374648278086545e-10,3057,33
"DecisionTreeRegressor(ccp_alpha=8.813701088405956e-12, random_state=0)",8.813701088405956e-12,0.999999431585743,-1.2983569459120585,2.0256018386927142e-10,3055,33
"DecisionTreeRegressor(ccp_alpha=9.277278147090673e-12, random_state=0)",9.277278147090673e-12,0.9999994055523123,-1.2983569459120585,2.1183746201636208e-10,3053,33
"DecisionTreeRegressor(ccp_alpha=9.886792738666995e-12, random_state=0)",9.886792738666995e-12,0.9999993778084921,-1.2983569459120585,2.2172425475502908e-10,3051,33
"DecisionTreeRegressor(ccp_alpha=1.010700800829767e-11, random_state=0)",1.010700800829767e-11,0.9999993494467151,-1.2983569459120585,2.3183126276332675e-10,3049,33
"DecisionTreeRegressor(ccp_alpha=1.0134151087748399e-11, random_state=0)",1.0134151087748399e-11,0.9999993210087712,-1.2983496313143141,2.4196541385107517e-10,3047,33
"DecisionTreeRegressor(ccp_alpha=1.0557012521117405e-11, random_state=0)",1.0557012521117405e-11,0.9999992913842143,-1.2983496313143141,2.5252242637219257e-10,3045,33
"DecisionTreeRegressor(ccp_alpha=1.0632966139512146e-11, random_state=0)",1.0632966139512146e-11,0.9999992615465201,-1.2983496313143141,2.631553925117047e-10,3043,33
