models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.998712194367249,-0.7744598729840029,1.1300966827412671e-06,3137,35
"DecisionTreeRegressor(ccp_alpha=4.4249326425216398e-16, random_state=0)",4.4249326425216398e-16,0.998712194366783,-0.7744598527966489,1.1300966831837603e-06,3135,35
"DecisionTreeRegressor(ccp_alpha=6.441132349710443e-15, random_state=0)",6.441132349710443e-15,0.9987121943600011,-0.7744598527966489,1.1300966896248928e-06,3133,35
"DecisionTreeRegressor(ccp_alpha=1.9950065904827952e-14, random_state=0)",1.9950065904827952e-14,0.9987121943389956,-0.7744598527966489,1.1300967095749588e-06,3131,35
"DecisionTreeRegressor(ccp_alpha=3.13751281899588e-14, random_state=0)",3.13751281899588e-14,0.9987121943059606,-0.7744552509898484,1.130096740950087e-06,3129,35
"DecisionTreeRegressor(ccp_alpha=4.805000147767302e-14, random_state=0)",4.805000147767302e-14,0.9987121942553684,-0.7744552509898484,1.1300967890000884e-06,3127,35
"DecisionTreeRegressor(ccp_alpha=5.232618158212965e-14, random_state=0)",5.232618158212965e-14,0.9987121942002739,-0.7744552509898484,1.13009684132627e-06,3125,35
"DecisionTreeRegressor(ccp_alpha=6.661260085194521e-14, random_state=0)",6.661260085194521e-14,0.9987121941301372,-0.7744552509898484,1.130096907938871e-06,3123,35
"DecisionTreeRegressor(ccp_alpha=7.801256168837867e-14, random_state=0)",7.801256168837867e-14,0.9987121940479974,-0.7744552509898484,1.1300969859514327e-06,3121,35
"DecisionTreeRegressor(ccp_alpha=1.0385400872614526e-13, random_state=0)",1.0385400872614526e-13,0.9987121939386487,-0.774455509842835,1.1300970898054414e-06,3119,35
"DecisionTreeRegressor(ccp_alpha=2.4099161902158e-13, random_state=0)",2.4099161902158e-13,0.9987121936849073,-0.774455509842835,1.1300973307970604e-06,3117,35
"DecisionTreeRegressor(ccp_alpha=2.5258279842677035e-13, random_state=0)",2.5258279842677035e-13,0.9987121934189612,-0.774455509842835,1.1300975833798587e-06,3115,35
"DecisionTreeRegressor(ccp_alpha=2.899411266632512e-13, random_state=0)",2.899411266632512e-13,0.9987121931136804,-0.7744547488683096,1.1300978733209855e-06,3113,35
"DecisionTreeRegressor(ccp_alpha=2.987644506791121e-13, random_state=0)",2.987644506791121e-13,0.9987121927991094,-0.7744547488683096,1.1300981720854361e-06,3111,35
"DecisionTreeRegressor(ccp_alpha=3.938281992188486e-13, random_state=0)",3.938281992188486e-13,0.9987121923844453,-0.7744547488683096,1.1300985659136353e-06,3109,35
"DecisionTreeRegressor(ccp_alpha=4.170129172531567e-13, random_state=0)",4.170129172531567e-13,0.9987121919453699,-0.7744547488683096,1.1300989829265525e-06,3107,35
"DecisionTreeRegressor(ccp_alpha=4.460401319128504e-13, random_state=0)",4.460401319128504e-13,0.9987121914757314,-0.7744549249929078,1.1300994289666844e-06,3105,35
"DecisionTreeRegressor(ccp_alpha=4.531520644834863e-13, random_state=0)",4.531520644834863e-13,0.9987121909986049,-0.7744549249929078,1.130099882118749e-06,3103,35
"DecisionTreeRegressor(ccp_alpha=6.824041158537408e-13, random_state=0)",6.824041158537408e-13,0.9987121902800973,-0.7744549249929078,1.1301005645228647e-06,3101,34
"DecisionTreeRegressor(ccp_alpha=8.42077536172825e-13, random_state=0)",8.42077536172825e-13,0.9987121893934686,-0.7744549249929078,1.1301014066004009e-06,3099,34
"DecisionTreeRegressor(ccp_alpha=9.55998769730515e-13, random_state=0)",9.55998769730515e-13,0.9987121883868915,-0.7744549249929078,1.1301023625991707e-06,3097,34
"DecisionTreeRegressor(ccp_alpha=9.563444827720425e-13, random_state=0)",9.563444827720425e-13,0.9987121873799503,-0.7744549249929078,1.1301033189436535e-06,3095,34
"DecisionTreeRegressor(ccp_alpha=1.0046530794782794e-12, random_state=0)",1.0046530794782794e-12,0.9987121863221446,-0.7744549249929078,1.130104323596733e-06,3093,34
"DecisionTreeRegressor(ccp_alpha=1.0067804576130435e-12, random_state=0)",1.0067804576130435e-12,0.9987121852620992,-0.7744549249929078,1.1301053303771906e-06,3091,34
