models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9889028455010253,-1.2872344433067537,4.5227284350901775e-06,3133,37
"DecisionTreeRegressor(ccp_alpha=1.006139616066548e-18, random_state=0)",1.006139616066548e-18,0.9889028455010227,-1.2872344433067537,4.522728435091184e-06,3131,37
"DecisionTreeRegressor(ccp_alpha=8.001030393778307e-15, random_state=0)",8.001030393778307e-15,0.9889028454827118,-1.2872344433067537,4.522728443092214e-06,3129,37
"DecisionTreeRegressor(ccp_alpha=9.453132721048973e-15, random_state=0)",9.453132721048973e-15,0.988902845461078,-1.2872344957638968,4.522728452545346e-06,3127,37
"DecisionTreeRegressor(ccp_alpha=3.484799254716009e-14, random_state=0)",3.484799254716009e-14,0.988902845381327,-1.2872344957638968,4.522728487393339e-06,3125,37
"DecisionTreeRegressor(ccp_alpha=3.6382511586774413e-14, random_state=0)",3.6382511586774413e-14,0.9889028452980643,-1.2872344957638968,4.52272852377585e-06,3123,37
"DecisionTreeRegressor(ccp_alpha=2.000280843739155e-13, random_state=0)",2.000280843739155e-13,0.9889028448402927,-1.2872344957638968,4.522728723803934e-06,3121,37
"DecisionTreeRegressor(ccp_alpha=2.7676787944797e-13, random_state=0)",2.7676787944797e-13,0.9889028442068991,-1.287229419474722,4.522729000571813e-06,3119,37
"DecisionTreeRegressor(ccp_alpha=3.409314497382354e-13, random_state=0)",3.409314497382354e-13,0.9889028434266649,-1.2872266693398449,4.522729341503263e-06,3117,37
"DecisionTreeRegressor(ccp_alpha=7.335630713978247e-13, random_state=0)",7.335630713978247e-13,0.9889028417478787,-1.2872266693398449,4.522730075066334e-06,3115,37
"DecisionTreeRegressor(ccp_alpha=7.850044225765629e-13, random_state=0)",7.850044225765629e-13,0.9889028399513674,-1.2872266693398449,4.522730860070757e-06,3113,37
"DecisionTreeRegressor(ccp_alpha=8.524915322272176e-13, random_state=0)",8.524915322272176e-13,0.9889028380004096,-1.2872266693398449,4.52273171256229e-06,3111,37
"DecisionTreeRegressor(ccp_alpha=9.20385261060641e-13, random_state=0)",9.20385261060641e-13,0.9889028358940745,-1.2872266693398449,4.522732632947551e-06,3109,37
