models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9957573661612185,-2.1186722493194496,3.353925678908978e-06,3141,42
"DecisionTreeRegressor(ccp_alpha=4.3525946735734066e-16, random_state=0)",4.3525946735734066e-16,0.9957573661607007,-2.1186722493194496,3.3539256793442374e-06,3139,42
"DecisionTreeRegressor(ccp_alpha=8.547797886171437e-15, random_state=0)",8.547797886171437e-15,0.9957573661505267,-2.1186722493194496,3.3539256878920353e-06,3137,42
"DecisionTreeRegressor(ccp_alpha=8.877724944067466e-15, random_state=0)",8.877724944067466e-15,0.99575736613996,-2.1186722493194496,3.35392569676976e-06,3135,42
"DecisionTreeRegressor(ccp_alpha=3.412584451134571e-14, random_state=0)",3.412584451134571e-14,0.9957573660993423,-2.1186722493194496,3.3539257308956045e-06,3133,42
"DecisionTreeRegressor(ccp_alpha=4.704767825325362e-14, random_state=0)",4.704767825325362e-14,0.9957573660433442,-2.1186722493194496,3.3539257779432826e-06,3131,42
"DecisionTreeRegressor(ccp_alpha=4.797258076894017e-14, random_state=0)",4.797258076894017e-14,0.9957573659862454,-2.1186722493194496,3.3539258259158634e-06,3129,42
"DecisionTreeRegressor(ccp_alpha=9.923497787389657e-14, random_state=0)",9.923497787389657e-14,0.995757365868132,-2.1186722493194496,3.3539259251508414e-06,3127,42
"DecisionTreeRegressor(ccp_alpha=1.6459451857020468e-13, random_state=0)",1.6459451857020468e-13,0.9957573656722254,-2.1186722493194496,3.35392608974536e-06,3125,42
"DecisionTreeRegressor(ccp_alpha=2.4430046527412764e-13, random_state=0)",2.4430046527412764e-13,0.9957573653814497,-2.1186722493194496,3.353926334045825e-06,3123,42
"DecisionTreeRegressor(ccp_alpha=2.9337801285556076e-13, random_state=0)",2.9337801285556076e-13,0.99575736503226,-2.1186722493194496,3.353926627423838e-06,3121,42
"DecisionTreeRegressor(ccp_alpha=3.4715284466524386e-13, random_state=0)",3.4715284466524386e-13,0.9957573646190656,-2.1186722493194496,3.3539269745766825e-06,3119,42
"DecisionTreeRegressor(ccp_alpha=3.5637900616669606e-13, random_state=0)",3.5637900616669606e-13,0.9957573641948898,-2.1186665553817603,3.3539273309556887e-06,3117,42
"DecisionTreeRegressor(ccp_alpha=4.420349850042804e-13, random_state=0)",4.420349850042804e-13,0.9957573636687629,-2.1186665553817603,3.3539277729906738e-06,3115,42
"DecisionTreeRegressor(ccp_alpha=5.612701622914606e-13, random_state=0)",5.612701622914606e-13,0.9957573630007178,-2.1186665553817603,3.353928334260836e-06,3113,41
"DecisionTreeRegressor(ccp_alpha=5.799645139137333e-13, random_state=0)",5.799645139137333e-13,0.9957573623104221,-2.1186673777021756,3.35392891422535e-06,3111,41
"DecisionTreeRegressor(ccp_alpha=6.127245065490339e-13, random_state=0)",6.127245065490339e-13,0.9957573615811341,-2.1186673777021756,3.3539295269498563e-06,3109,41
"DecisionTreeRegressor(ccp_alpha=6.786125134050635e-13, random_state=0)",6.786125134050635e-13,0.9957573607734238,-2.118666018415252,3.3539302055623697e-06,3107,41
"DecisionTreeRegressor(ccp_alpha=7.375050743718692e-13, random_state=0)",7.375050743718692e-13,0.9957573598956172,-2.118667982704825,3.353930943067444e-06,3105,41
"DecisionTreeRegressor(ccp_alpha=8.201602591517697e-13, random_state=0)",8.201602591517697e-13,0.9957573589194313,-2.118667982704825,3.353931763227703e-06,3103,41
"DecisionTreeRegressor(ccp_alpha=8.201603632351784e-13, random_state=0)",8.201603632351784e-13,0.9957573579432454,-2.118667982704825,3.3539325833880664e-06,3101,41
"DecisionTreeRegressor(ccp_alpha=1.0643404213528384e-12, random_state=0)",1.0643404213528384e-12,0.9957573566764268,-2.11866560199863,3.3539336477284877e-06,3099,41
"DecisionTreeRegressor(ccp_alpha=1.3509570719050234e-12, random_state=0)",1.3509570719050234e-12,0.9957573550684665,-2.11866560199863,3.3539349986855596e-06,3097,41
"DecisionTreeRegressor(ccp_alpha=2.07672200616682e-12, random_state=0)",2.07672200616682e-12,0.9957573525966732,-2.11866560199863,3.3539370754075657e-06,3095,41
"DecisionTreeRegressor(ccp_alpha=2.1465920707619547e-12, random_state=0)",2.1465920707619547e-12,0.9957573500417178,-2.1186649564567377,3.3539392219996366e-06,3093,41
"DecisionTreeRegressor(ccp_alpha=2.2461401315287952e-12, random_state=0)",2.2461401315287952e-12,0.9957573473682766,-2.1186649564567377,3.353941468139768e-06,3091,41
"DecisionTreeRegressor(ccp_alpha=2.409012503368224e-12, random_state=0)",2.409012503368224e-12,0.9957573445009785,-2.1186649564567377,3.353943877152271e-06,3089,41
"DecisionTreeRegressor(ccp_alpha=2.5194512275061864e-12, random_state=0)",2.5194512275061864e-12,0.9957573385034854,-2.1186764520472896,3.3539463966034986e-06,3085,41
"DecisionTreeRegressor(ccp_alpha=2.5194512275061864e-12, random_state=0)",2.5194512275061864e-12,0.9957573385034854,-2.1186764520472896,3.353948916054726e-06,3085,41
"DecisionTreeRegressor(ccp_alpha=2.5866752663417092e-12, random_state=0)",2.5866752663417092e-12,0.9957573354247264,-2.11871195564131,3.3539515027299925e-06,3083,41
"DecisionTreeRegressor(ccp_alpha=2.7694811721712397e-12, random_state=0)",2.7694811721712397e-12,0.9957573321283848,-2.1187156973955292,3.3539542722111646e-06,3081,41
"DecisionTreeRegressor(ccp_alpha=2.9324366719596376e-12, random_state=0)",2.9324366719596376e-12,0.9957573286380875,-2.1187156973955292,3.3539572046478364e-06,3079,41
"DecisionTreeRegressor(ccp_alpha=2.933647595682043e-12, random_state=0)",2.933647595682043e-12,0.9957573251463488,-2.1187156973955292,3.353960138295432e-06,3077,41
"DecisionTreeRegressor(ccp_alpha=3.033837053106892e-12, random_state=0)",3.033837053106892e-12,0.9957573215353609,-2.1187174820151173,3.353963172132485e-06,3075,41
"DecisionTreeRegressor(ccp_alpha=3.365066437305275e-12, random_state=0)",3.365066437305275e-12,0.9957573175301309,-2.1186811496436175,3.3539665371989223e-06,3073,41
"DecisionTreeRegressor(ccp_alpha=3.423690306952887e-12, random_state=0)",3.423690306952887e-12,0.9957573134551247,-2.1186821255004302,3.3539699608892295e-06,3071,41
