models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9901743928253277,-2.3193545929561905,5.495202690649833e-07,3119,35
"DecisionTreeRegressor(ccp_alpha=2.2794266474335246e-17, random_state=0)",2.2794266474335246e-17,0.9901743928249204,-2.3193546115368444,5.495202690877776e-07,3117,35
"DecisionTreeRegressor(ccp_alpha=1.6205786712575332e-16, random_state=0)",1.6205786712575332e-16,0.9901743928220237,-2.3193545819852286,5.495202692498355e-07,3115,35
"DecisionTreeRegressor(ccp_alpha=5.040412531798211e-16, random_state=0)",5.040412531798211e-16,0.9901743928130115,-2.3193545819852286,5.495202697538767e-07,3113,35
"DecisionTreeRegressor(ccp_alpha=8.61116733474887e-16, random_state=0)",8.61116733474887e-16,0.9901743927976142,-2.319354629065534,5.495202706149935e-07,3111,35
"DecisionTreeRegressor(ccp_alpha=1.06956110634826e-15, random_state=0)",1.06956110634826e-15,0.9901743927784907,-2.319354629065534,5.495202716845546e-07,3109,35
"DecisionTreeRegressor(ccp_alpha=2.667067955375302e-15, random_state=0)",2.667067955375302e-15,0.9901743927308031,-2.319354629065534,5.495202743516226e-07,3107,35
"DecisionTreeRegressor(ccp_alpha=4.050041552128292e-15, random_state=0)",4.050041552128292e-15,0.9901743926583877,-2.319354856545324,5.495202784016642e-07,3105,35
"DecisionTreeRegressor(ccp_alpha=5.278832926336463e-15, random_state=0)",5.278832926336463e-15,0.9901743925640013,-2.319350529640286,5.49520283680497e-07,3103,35
"DecisionTreeRegressor(ccp_alpha=6.328115115250555e-15, random_state=0)",6.328115115250555e-15,0.9901743924508524,-2.3193520837681314,5.495202900086121e-07,3101,35
"DecisionTreeRegressor(ccp_alpha=1.0657984911288665e-14, random_state=0)",1.0657984911288665e-14,0.9901743922602837,-2.3193520837681314,5.49520300666597e-07,3099,35
"DecisionTreeRegressor(ccp_alpha=1.2090051182411798e-14, random_state=0)",1.2090051182411798e-14,0.9901743920441082,-2.3193520837681314,5.495203127566482e-07,3097,35
"DecisionTreeRegressor(ccp_alpha=1.2920289838014298e-14, random_state=0)",1.2920289838014298e-14,0.9901743918130892,-2.3193520837681314,5.49520325676938e-07,3095,35
"DecisionTreeRegressor(ccp_alpha=1.3203136500772317e-14, random_state=0)",1.3203136500772317e-14,0.9901743915770129,-2.3193520837681314,5.495203388800745e-07,3093,35
"DecisionTreeRegressor(ccp_alpha=1.4322900504515346e-14, random_state=0)",1.4322900504515346e-14,0.9901743913209168,-2.3193520837681314,5.495203532029751e-07,3091,35
"DecisionTreeRegressor(ccp_alpha=2.0150339730129473e-14, random_state=0)",2.0150339730129473e-14,0.990174390960623,-2.3193520837681314,5.495203733533148e-07,3089,35
"DecisionTreeRegressor(ccp_alpha=2.2207756467107486e-14, random_state=0)",2.2207756467107486e-14,0.9901743905635404,-2.3193520837681314,5.495203955610713e-07,3087,35
"DecisionTreeRegressor(ccp_alpha=2.982909058646399e-14, random_state=0)",2.982909058646399e-14,0.9901743900301873,-2.3193520837681314,5.495204253901619e-07,3085,35
"DecisionTreeRegressor(ccp_alpha=3.283201835402316e-14, random_state=0)",3.283201835402316e-14,0.9901743894431395,-2.3193520837681314,5.495204582221802e-07,3083,35
"DecisionTreeRegressor(ccp_alpha=3.399527187530893e-14, random_state=0)",3.399527187530893e-14,0.9901743888352924,-2.3193520837681314,5.495204922174521e-07,3081,35
"DecisionTreeRegressor(ccp_alpha=3.795012915031037e-14, random_state=0)",3.795012915031037e-14,0.9901743881567314,-2.3193520837681314,5.495205301675813e-07,3079,35
"DecisionTreeRegressor(ccp_alpha=4.704778233666218e-14, random_state=0)",4.704778233666218e-14,0.9901743873155013,-2.3193438696144915,5.495205772153636e-07,3077,35
"DecisionTreeRegressor(ccp_alpha=4.828287075708815e-14, random_state=0)",4.828287075708815e-14,0.9901743864521889,-2.3193438696144915,5.495206254982344e-07,3075,35
