models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9634308301938792,-1.0241108765579612,7.609738918236058e-06,3127,46
"DecisionTreeRegressor(ccp_alpha=6.435109389801851e-14, random_state=0)",6.435109389801851e-14,0.9634308300133012,-1.0241101766589056,7.609738982587152e-06,3125,46
"DecisionTreeRegressor(ccp_alpha=6.661247942130189e-14, random_state=0)",6.661247942130189e-14,0.9634308298263766,-1.0241102025136208,7.609739049199631e-06,3123,46
"DecisionTreeRegressor(ccp_alpha=1.526281184771605e-13, random_state=0)",1.526281184771605e-13,0.9634308293980792,-1.0241102025136208,7.60973920182775e-06,3121,46
"DecisionTreeRegressor(ccp_alpha=1.5638011718888123e-13, random_state=0)",1.5638011718888123e-13,0.9634308289592528,-1.0241102025136208,7.609739358207867e-06,3119,46
"DecisionTreeRegressor(ccp_alpha=1.7970012630708075e-13, random_state=0)",1.7970012630708075e-13,0.9634308284549873,-1.0241102025136208,7.609739537907993e-06,3117,46
"DecisionTreeRegressor(ccp_alpha=1.812019978508772e-13, random_state=0)",1.812019978508772e-13,0.9634308279465074,-1.0241102025136208,7.6097397191099906e-06,3115,46
"DecisionTreeRegressor(ccp_alpha=1.8797411543980402e-13, random_state=0)",1.8797411543980402e-13,0.9634308274190242,-1.0241111281147997,7.609739907084106e-06,3113,46
"DecisionTreeRegressor(ccp_alpha=2.1895641549862787e-13, random_state=0)",2.1895641549862787e-13,0.9634308268045995,-1.0241116509709447,7.6097401260405215e-06,3111,46
"DecisionTreeRegressor(ccp_alpha=2.4220795508123057e-13, random_state=0)",2.4220795508123057e-13,0.9634308261249276,-1.0241116509709447,7.609740368248476e-06,3109,46
"DecisionTreeRegressor(ccp_alpha=2.5920002255652716e-13, random_state=0)",2.5920002255652716e-13,0.9634308253975735,-1.0241111076390603,7.609740627448499e-06,3107,46
"DecisionTreeRegressor(ccp_alpha=2.6208781672698577e-13, random_state=0)",2.6208781672698577e-13,0.9634308246621154,-1.0241120190343929,7.609740889536316e-06,3105,46
"DecisionTreeRegressor(ccp_alpha=2.646281110907367e-13, random_state=0)",2.646281110907367e-13,0.9634308239195293,-1.0241141460412484,7.609741154164427e-06,3103,46
"DecisionTreeRegressor(ccp_alpha=2.752820194018568e-13, random_state=0)",2.752820194018568e-13,0.9634308231470468,-1.0241141460412484,7.609741429446446e-06,3101,46
"DecisionTreeRegressor(ccp_alpha=3.3068773414024477e-13, random_state=0)",3.3068773414024477e-13,0.9634308222190874,-1.0241141460412484,7.60974176013418e-06,3099,46
"DecisionTreeRegressor(ccp_alpha=3.4031250040200687e-13, random_state=0)",3.4031250040200687e-13,0.9634308212641196,-1.0241141460412484,7.60974210044668e-06,3097,46
"DecisionTreeRegressor(ccp_alpha=4.331478231645036e-13, random_state=0)",4.331478231645036e-13,0.9634308200486421,-1.0241141460412484,7.609742533594504e-06,3095,46
"DecisionTreeRegressor(ccp_alpha=4.425052685386177e-13, random_state=0)",4.425052685386177e-13,0.9634308188069061,-1.0241141460412484,7.609742976099772e-06,3093,46
"DecisionTreeRegressor(ccp_alpha=5.842806273526068e-13, random_state=0)",5.842806273526068e-13,0.9634308171673275,-1.0241141460412484,7.6097435603804e-06,3091,46
"DecisionTreeRegressor(ccp_alpha=6.727999407596386e-13, random_state=0)",6.727999407596386e-13,0.96343081527935,-1.0241014237013926,7.60974423318034e-06,3089,46
"DecisionTreeRegressor(ccp_alpha=7.18800366450445e-13, random_state=0)",7.18800366450445e-13,0.9634308132622883,-1.0241014237013926,7.609744951980707e-06,3087,46
