models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9999496567559845,-1.3729503732657262,-2.7252505807595576e-17,3083,38
"DecisionTreeRegressor(ccp_alpha=1.0988848719861722e-14, random_state=0)",1.0988848719861722e-14,0.9999496567156051,-1.3729503732657262,1.0961596214054126e-14,3081,38
"DecisionTreeRegressor(ccp_alpha=7.050011616160923e-14, random_state=0)",7.050011616160923e-14,0.9999496564565511,-1.3729503732657262,8.146171237566336e-14,3079,38
"DecisionTreeRegressor(ccp_alpha=2.1615324113932744e-13, random_state=0)",2.1615324113932744e-13,0.9999496556622923,-1.3729582682642252,2.976149535149908e-13,3077,38
"DecisionTreeRegressor(ccp_alpha=2.9760596764738523e-13, random_state=0)",2.9760596764738523e-13,0.999949654568733,-1.3729521467079575,5.95220921162376e-13,3075,38
"DecisionTreeRegressor(ccp_alpha=2.977996668707128e-13, random_state=0)",2.977996668707128e-13,0.9999496534744649,-1.3729521467079575,8.930205880330888e-13,3073,38
"DecisionTreeRegressor(ccp_alpha=3.272403875653751e-13, random_state=0)",3.272403875653751e-13,0.9999496522720135,-1.3729521467079575,1.220260975598464e-12,3071,38
"DecisionTreeRegressor(ccp_alpha=3.3231629253949183e-13, random_state=0)",3.3231629253949183e-13,0.999949651050911,-1.3729521467079575,1.5525772681379559e-12,3069,38
"DecisionTreeRegressor(ccp_alpha=4.675444927049188e-13, random_state=0)",4.675444927049188e-13,0.99994964933291,-1.3729521467079575,2.0201217608428748e-12,3067,38
"DecisionTreeRegressor(ccp_alpha=7.697302864539956e-13, random_state=0)",7.697302864539956e-13,0.9999496465045216,-1.3729521467079575,2.7898520472968705e-12,3065,38
"DecisionTreeRegressor(ccp_alpha=8.134501405798744e-13, random_state=0)",8.134501405798744e-13,0.9999496435154837,-1.3729521467079575,3.603302187876745e-12,3063,38
"DecisionTreeRegressor(ccp_alpha=9.316126342584496e-13, random_state=0)",9.316126342584496e-13,0.999949640092256,-1.3729580679907936,4.5349148221351945e-12,3061,38
"DecisionTreeRegressor(ccp_alpha=1.0948300252500154e-12, random_state=0)",1.0948300252500154e-12,0.9999496360692824,-1.3729580679907936,5.62974484738521e-12,3059,38
"DecisionTreeRegressor(ccp_alpha=1.157861480305389e-12, random_state=0)",1.157861480305389e-12,0.9999496318146984,-1.3729580679907936,6.787606327690599e-12,3057,38
"DecisionTreeRegressor(ccp_alpha=1.2332351286004073e-12, random_state=0)",1.2332351286004073e-12,0.9999496272831526,-1.3729580679907936,8.020841456291007e-12,3055,38
"DecisionTreeRegressor(ccp_alpha=1.4505301994260921e-12, random_state=0)",1.4505301994260921e-12,0.9999496219531518,-1.3729580679907936,9.4713716557171e-12,3053,38
"DecisionTreeRegressor(ccp_alpha=2.058927802556232e-12, random_state=0)",2.058927802556232e-12,0.9999496143875828,-1.3729469935411656,1.1530299458273332e-11,3051,38
"DecisionTreeRegressor(ccp_alpha=2.2759110915315793e-12, random_state=0)",2.2759110915315793e-12,0.9999496060247045,-1.3729469935411656,1.3806210549804912e-11,3049,38
"DecisionTreeRegressor(ccp_alpha=2.9737507595273273e-12, random_state=0)",2.9737507595273273e-12,0.9999495950976012,-1.3729469935411656,1.6779961309332238e-11,3047,38
"DecisionTreeRegressor(ccp_alpha=3.035259127370793e-12, random_state=0)",3.035259127370793e-12,0.9999495839444834,-1.3729299168647793,1.981522043670303e-11,3045,38
"DecisionTreeRegressor(ccp_alpha=3.6167050257440714e-12, random_state=0)",3.6167050257440714e-12,0.9999495706548321,-1.3729299168647793,2.3431925462447102e-11,3043,38
"DecisionTreeRegressor(ccp_alpha=3.755170167873966e-12, random_state=0)",3.755170167873966e-12,0.9999495568563888,-1.3729299168647793,2.718709563032107e-11,3041,38
"DecisionTreeRegressor(ccp_alpha=3.801903167288678e-12, random_state=0)",3.801903167288678e-12,0.9999495428862241,-1.3729299168647793,3.098899879760975e-11,3039,38
"DecisionTreeRegressor(ccp_alpha=4.774050009481723e-12, random_state=0)",4.774050009481723e-12,0.9999495253438873,-1.3729299168647793,3.5763048807091474e-11,3037,38
"DecisionTreeRegressor(ccp_alpha=5.068131921082131e-12, random_state=0)",5.068131921082131e-12,0.9999495067209406,-1.3729443551959055,4.0831180728173606e-11,3035,38
"DecisionTreeRegressor(ccp_alpha=5.168112396369828e-12, random_state=0)",5.168112396369828e-12,0.9999494877306138,-1.3729521304809964,4.5999293124543436e-11,3033,38
"DecisionTreeRegressor(ccp_alpha=5.550278986410362e-12, random_state=0)",5.550278986410362e-12,0.9999494673360088,-1.3729521304809964,5.15495721109538e-11,3031,38
"DecisionTreeRegressor(ccp_alpha=5.786802044493999e-12, random_state=0)",5.786802044493999e-12,0.9999494460722957,-1.3729061834330123,5.7336374155447794e-11,3029,38
"DecisionTreeRegressor(ccp_alpha=6.408200151075682e-12, random_state=0)",6.408200151075682e-12,0.999949422525244,-1.3729061834330123,6.374457430652348e-11,3027,38
"DecisionTreeRegressor(ccp_alpha=8.154741083787888e-12, random_state=0)",8.154741083787888e-12,0.999949392560494,-1.3729061834330123,7.189931539031137e-11,3025,38
"DecisionTreeRegressor(ccp_alpha=8.573940533246338e-12, random_state=0)",8.573940533246338e-12,0.9999493610553879,-1.3729061834330123,8.04732559235577e-11,3023,38
