models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9999821589651916,-1.4865402285960276,-1.5763432226201252e-16,3099,39
"DecisionTreeRegressor(ccp_alpha=2.0469737016526323e-18, random_state=0)",2.0469737016526323e-18,0.9999821589651869,-1.4865402285960276,-1.5558734856035987e-16,3097,39
"DecisionTreeRegressor(ccp_alpha=2.463307335887066e-18, random_state=0)",2.463307335887066e-18,0.9999821589651869,-1.4865402285960276,-1.531240412244728e-16,3095,39
"DecisionTreeRegressor(ccp_alpha=3.027092465579528e-18, random_state=0)",3.027092465579528e-18,0.9999821589651869,-1.486540228596028,-1.4101567136215468e-16,3087,39
"DecisionTreeRegressor(ccp_alpha=6.639133687258437e-16, random_state=0)",6.639133687258437e-16,0.9999821589636678,-1.486540194774912,5.22897697363689e-16,3085,39
"DecisionTreeRegressor(ccp_alpha=1.2960413992013642e-14, random_state=0)",1.2960413992013642e-14,0.9999821589340072,-1.486540194774912,1.3483311689377331e-14,3083,39
"DecisionTreeRegressor(ccp_alpha=2.940304250076409e-14, random_state=0)",2.940304250076409e-14,0.999982158866717,-1.486540194774912,4.288635419014142e-14,3081,39
"DecisionTreeRegressor(ccp_alpha=9.063166883649387e-14, random_state=0)",9.063166883649387e-14,0.9999821586593035,-1.4865382889819778,1.3351802302663528e-13,3079,39
"DecisionTreeRegressor(ccp_alpha=1.5401249719992902e-13, random_state=0)",1.5401249719992902e-13,0.9999821583068403,-1.4865382889819778,2.8753052022656433e-13,3077,39
"DecisionTreeRegressor(ccp_alpha=2.591999878620577e-13, random_state=0)",2.591999878620577e-13,0.9999821577136517,-1.486541049325552,5.467305080886221e-13,3075,39
"DecisionTreeRegressor(ccp_alpha=4.1587198962300676e-13, random_state=0)",4.1587198962300676e-13,0.9999821567619136,-1.486541049325552,9.626024977116289e-13,3073,39
"DecisionTreeRegressor(ccp_alpha=6.118945281019528e-13, random_state=0)",6.118945281019528e-13,0.9999821553615708,-1.486541049325552,1.5744970258135815e-12,3071,39
"DecisionTreeRegressor(ccp_alpha=7.931701129226809e-13, random_state=0)",7.931701129226809e-13,0.9999821535463721,-1.4865398588403558,2.3676671387362623e-12,3069,39
"DecisionTreeRegressor(ccp_alpha=9.979312862173905e-13, random_state=0)",9.979312862173905e-13,0.9999821512625702,-1.4865320643861692,3.365598424953653e-12,3067,39
"DecisionTreeRegressor(ccp_alpha=1.0749445604474328e-12, random_state=0)",1.0749445604474328e-12,0.9999821488025206,-1.4865320643861692,4.440542985401086e-12,3065,39
"DecisionTreeRegressor(ccp_alpha=1.1280019973636257e-12, random_state=0)",1.1280019973636257e-12,0.9999821462210471,-1.4865320643861692,5.568544982764711e-12,3063,39
"DecisionTreeRegressor(ccp_alpha=1.2304882113234328e-12, random_state=0)",1.2304882113234328e-12,0.99998214340503,-1.4865320643861692,6.799033194088144e-12,3061,39
"DecisionTreeRegressor(ccp_alpha=1.252153034037029e-12, random_state=0)",1.252153034037029e-12,0.9999821405394321,-1.4865263502780994,8.051186228125174e-12,3059,39
"DecisionTreeRegressor(ccp_alpha=1.4658999361594205e-12, random_state=0)",1.4658999361594205e-12,0.9999821371846667,-1.4865263502780994,9.517086164284595e-12,3057,39
"DecisionTreeRegressor(ccp_alpha=1.4680412441236968e-12, random_state=0)",1.4680412441236968e-12,0.9999821338250013,-1.4865263502780994,1.0985127408408292e-11,3055,39
