models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.6291598996213913,-1.1903163304054738,0.00031156803181470443,3105,36
"DecisionTreeRegressor(ccp_alpha=2.1528161198158815e-14, random_state=0)",2.1528161198158815e-14,0.6291598995957677,-1.1903163304054738,0.00031156803183623257,3103,36
"DecisionTreeRegressor(ccp_alpha=3.1878145956287796e-14, random_state=0)",3.1878145956287796e-14,0.6291598995578251,-1.1903163749504913,0.0003115680318681107,3101,36
"DecisionTreeRegressor(ccp_alpha=4.3070998156924386e-14, random_state=0)",4.3070998156924386e-14,0.6291598995065603,-1.1903163749504913,0.00031156803191118173,3099,36
"DecisionTreeRegressor(ccp_alpha=1.0328512350943342e-13, random_state=0)",1.0328512350943342e-13,0.6291598993836264,-1.1903177412837511,0.00031156803201446684,3097,36
"DecisionTreeRegressor(ccp_alpha=1.2090894258021122e-13, random_state=0)",1.2090894258021122e-13,0.6291598992397158,-1.1903177412837511,0.00031156803213537576,3095,36
"DecisionTreeRegressor(ccp_alpha=1.4878513351912483e-13, random_state=0)",1.4878513351912483e-13,0.6291598990626261,-1.1903177412837511,0.0003115680322841609,3093,36
"DecisionTreeRegressor(ccp_alpha=1.516626234321361e-13, random_state=0)",1.516626234321361e-13,0.6291598988821114,-1.1903177412837511,0.0003115680324358235,3091,36
"DecisionTreeRegressor(ccp_alpha=1.6373504982403198e-13, random_state=0)",1.6373504982403198e-13,0.6291598986872278,-1.1903177412837511,0.0003115680325995586,3089,36
"DecisionTreeRegressor(ccp_alpha=1.716980030375126e-13, random_state=0)",1.716980030375126e-13,0.6291598984828661,-1.1903177412837511,0.0003115680327712566,3087,36
"DecisionTreeRegressor(ccp_alpha=1.727250287242299e-13, random_state=0)",1.727250287242299e-13,0.6291598982772824,-1.1903177412837511,0.0003115680329439816,3085,36
"DecisionTreeRegressor(ccp_alpha=2.649920734232314e-13, random_state=0)",2.649920734232314e-13,0.6291598979618789,-1.1903177412837511,0.0003115680332089737,3083,36
"DecisionTreeRegressor(ccp_alpha=3.5175078128002466e-13, random_state=0)",3.5175078128002466e-13,0.6291598975432117,-1.1903177412837511,0.0003115680335607245,3081,36
"DecisionTreeRegressor(ccp_alpha=4.252725255282641e-13, random_state=0)",4.252725255282641e-13,0.6291598970370361,-1.1903177412837511,0.000311568033985997,3079,36
"DecisionTreeRegressor(ccp_alpha=4.40860438433166e-13, random_state=0)",4.40860438433166e-13,0.6291598965123073,-1.1903165262514843,0.00031156803442685744,3077,36
"DecisionTreeRegressor(ccp_alpha=4.714204547562329e-13, random_state=0)",4.714204547562329e-13,0.6291598959512046,-1.1903165262514843,0.00031156803489827787,3075,36
"DecisionTreeRegressor(ccp_alpha=4.925281363310497e-13, random_state=0)",4.925281363310497e-13,0.6291598953649791,-1.1903165262514843,0.000311568035390806,3073,36
"DecisionTreeRegressor(ccp_alpha=6.572311271602072e-13, random_state=0)",6.572311271602072e-13,0.6291598945827175,-1.1903165262514843,0.0003115680360480371,3071,36
"DecisionTreeRegressor(ccp_alpha=6.699030739854006e-13, random_state=0)",6.699030739854006e-13,0.6291598937853734,-1.1903165262514843,0.0003115680367179402,3069,36
"DecisionTreeRegressor(ccp_alpha=6.82988283984276e-13, random_state=0)",6.82988283984276e-13,0.6291598929724549,-1.1903165262514843,0.00031156803740092846,3067,36
"DecisionTreeRegressor(ccp_alpha=6.926644501026313e-13, random_state=0)",6.926644501026313e-13,0.6291598921480193,-1.1903165262514843,0.0003115680380935929,3065,36
"DecisionTreeRegressor(ccp_alpha=7.558351340641867e-13, random_state=0)",7.558351340641867e-13,0.6291598912483956,-1.1903165262514843,0.00031156803884942804,3063,36
"DecisionTreeRegressor(ccp_alpha=8.600161208183188e-13, random_state=0)",8.600161208183188e-13,0.6291598902247717,-1.1903180072320518,0.00031156803970944414,3061,36
"DecisionTreeRegressor(ccp_alpha=8.96125760402322e-13, random_state=0)",8.96125760402322e-13,0.6291598891581689,-1.1903134250298577,0.00031156804060556993,3059,36
"DecisionTreeRegressor(ccp_alpha=9.768525051356836e-13, random_state=0)",9.768525051356836e-13,0.6291598879954818,-1.1903134250298577,0.0003115680415824224,3057,36
"DecisionTreeRegressor(ccp_alpha=1.0199490731166438e-12, random_state=0)",1.0199490731166438e-12,0.6291598867814998,-1.1903134250298577,0.0003115680426023715,3055,36
"DecisionTreeRegressor(ccp_alpha=1.0274611370042486e-12, random_state=0)",1.0274611370042486e-12,0.6291598855585765,-1.1903134250298577,0.0003115680436298327,3053,36
"DecisionTreeRegressor(ccp_alpha=1.129128960469794e-12, random_state=0)",1.129128960469794e-12,0.6291598842146446,-1.1903134250298577,0.00031156804475896164,3051,36
"DecisionTreeRegressor(ccp_alpha=1.2569051875688242e-12, random_state=0)",1.2569051875688242e-12,0.6291598827186284,-1.1903134250298577,0.0003115680460158668,3049,36
"DecisionTreeRegressor(ccp_alpha=1.2740070456929154e-12, random_state=0)",1.2740070456929154e-12,0.629159881202257,-1.1903134250298577,0.00031156804728987386,3047,36
"DecisionTreeRegressor(ccp_alpha=1.2860070994213935e-12, random_state=0)",1.2860070994213935e-12,0.6291598796716025,-1.1903137858471933,0.00031156804857588097,3045,36
"DecisionTreeRegressor(ccp_alpha=1.498613282080452e-12, random_state=0)",1.498613282080452e-12,0.6291598778878962,-1.1903137858471933,0.00031156805007449427,3043,36
"DecisionTreeRegressor(ccp_alpha=1.5312500226127846e-12, random_state=0)",1.5312500226127846e-12,0.6291598760653442,-1.1903041950196886,0.0003115680516057443,3041,36
"DecisionTreeRegressor(ccp_alpha=1.5496801585024312e-12, random_state=0)",1.5496801585024312e-12,0.6291598742208561,-1.1903041950196886,0.0003115680531554244,3039,36
"DecisionTreeRegressor(ccp_alpha=1.711249978525453e-12, random_state=0)",1.711249978525453e-12,0.6291598721840613,-1.1903041950196886,0.0003115680548666744,3037,36
"DecisionTreeRegressor(ccp_alpha=1.7507883164069593e-12, random_state=0)",1.7507883164069593e-12,0.6291598701002067,-1.1903050483819873,0.0003115680566174627,3035,36
"DecisionTreeRegressor(ccp_alpha=1.8173710973623524e-12, random_state=0)",1.8173710973623524e-12,0.6291598679371027,-1.1903500411116843,0.0003115680584348338,3033,36
"DecisionTreeRegressor(ccp_alpha=2.0250781260222618e-12, random_state=0)",2.0250781260222618e-12,0.6291598655267777,-1.1903500411116843,0.00031156806045991195,3031,36
"DecisionTreeRegressor(ccp_alpha=2.1022751421628795e-12, random_state=0)",2.1022751421628795e-12,0.62915986302457,-1.1903500411116843,0.0003115680625621871,3029,36
"DecisionTreeRegressor(ccp_alpha=2.280714037766751e-12, random_state=0)",2.280714037766751e-12,0.6291598603099775,-1.1903500411116843,0.00031156806484290115,3027,36
"DecisionTreeRegressor(ccp_alpha=2.4725319708318592e-12, random_state=0)",2.4725319708318592e-12,0.629159857367076,-1.1903500411116843,0.0003115680673154331,3025,36
"DecisionTreeRegressor(ccp_alpha=2.491470016408037e-12, random_state=0)",2.491470016408037e-12,0.6291598514361916,-1.1903500411116843,0.0003115680698069031,3021,36
"DecisionTreeRegressor(ccp_alpha=2.491470016408037e-12, random_state=0)",2.491470016408037e-12,0.6291598514361916,-1.1903500411116843,0.00031156807229837315,3021,36
"DecisionTreeRegressor(ccp_alpha=2.5809920693731223e-12, random_state=0)",2.5809920693731223e-12,0.6291598483641969,-1.1903500411116843,0.0003115680748793652,3019,36
"DecisionTreeRegressor(ccp_alpha=2.636956139556723e-12, random_state=0)",2.636956139556723e-12,0.6291598452255917,-1.1903500411116843,0.00031156807751632135,3017,36
"DecisionTreeRegressor(ccp_alpha=2.8793999649889824e-12, random_state=0)",2.8793999649889824e-12,0.6291598417984204,-1.190351970260196,0.0003115680803957213,3015,36
"DecisionTreeRegressor(ccp_alpha=2.9470041684742654e-12, random_state=0)",2.9470041684742654e-12,0.6291598382907841,-1.1903513080767238,0.0003115680833427255,3013,36
"DecisionTreeRegressor(ccp_alpha=3.0264151081038638e-12, random_state=0)",3.0264151081038638e-12,0.6291598346886301,-1.1903513080767238,0.0003115680863691406,3011,36
"DecisionTreeRegressor(ccp_alpha=3.184657017263337e-12, random_state=0)",3.184657017263337e-12,0.6291598308981304,-1.1903513080767238,0.0003115680895537976,3009,36
"DecisionTreeRegressor(ccp_alpha=3.79983529016914e-12, random_state=0)",3.79983529016914e-12,0.6291598263754221,-1.1903513080767238,0.0003115680933536329,3007,36
"DecisionTreeRegressor(ccp_alpha=4.0742679369154545e-12, random_state=0)",4.0742679369154545e-12,0.6291598215260736,-1.190351692261078,0.00031156809742790084,3005,36
"DecisionTreeRegressor(ccp_alpha=4.588935256094606e-12, random_state=0)",4.588935256094606e-12,0.629159816064149,-1.190351692261078,0.0003115681020168361,3003,36
