models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9999787679425791,-1.3096442092185199,1.9523121227299487e-11,3091,83
"DecisionTreeRegressor(ccp_alpha=2.4756238725665015e-16, random_state=0)",2.4756238725665015e-16,0.9999787679381532,-1.3096442092185199,1.9523368789686745e-11,3089,83
"DecisionTreeRegressor(ccp_alpha=7.411085634068116e-16, random_state=0)",7.411085634068116e-16,0.9999787679249016,-1.3096432788872763,1.9524109898250153e-11,3087,83
"DecisionTreeRegressor(ccp_alpha=1.3132724074882417e-15, random_state=0)",1.3132724074882417e-15,0.9999787679014197,-1.3096432788872763,1.9525423170657642e-11,3085,83
"DecisionTreeRegressor(ccp_alpha=1.4044841678551023e-15, random_state=0)",1.4044841678551023e-15,0.9999787678763068,-1.3096432788872763,1.95268276548255e-11,3083,83
"DecisionTreeRegressor(ccp_alpha=1.7117557371548903e-15, random_state=0)",1.7117557371548903e-15,0.9999787678456955,-1.3096433008102117,1.9528539410562653e-11,3081,83
"DecisionTreeRegressor(ccp_alpha=2.5740173881239058e-15, random_state=0)",2.5740173881239058e-15,0.999978767799671,-1.3096434307121005,1.9531113427950778e-11,3079,83
"DecisionTreeRegressor(ccp_alpha=4.6320239310837505e-15, random_state=0)",4.6320239310837505e-15,0.9999787677168487,-1.3096434307121005,1.953574545188186e-11,3077,83
"DecisionTreeRegressor(ccp_alpha=5.330354213572974e-15, random_state=0)",5.330354213572974e-15,0.9999787676215415,-1.3096433678713728,1.9541075806095434e-11,3075,83
"DecisionTreeRegressor(ccp_alpha=6.077534309145705e-15, random_state=0)",6.077534309145705e-15,0.9999787675128732,-1.3096433678713728,1.954715334040458e-11,3073,83
"DecisionTreeRegressor(ccp_alpha=6.328184504189594e-15, random_state=0)",6.328184504189594e-15,0.9999787673997242,-1.3096436954766872,1.955348152490877e-11,3071,83
"DecisionTreeRegressor(ccp_alpha=7.668483903433554e-15, random_state=0)",7.668483903433554e-15,0.999978767262611,-1.3096454234601898,1.9561150008812204e-11,3069,83
"DecisionTreeRegressor(ccp_alpha=9.248019017249477e-15, random_state=0)",9.248019017249477e-15,0.9999787670972538,-1.3096450444752636,1.9570398027829452e-11,3067,83
"DecisionTreeRegressor(ccp_alpha=1.2481890521165439e-14, random_state=0)",1.2481890521165439e-14,0.9999787668740714,-1.3096446589221653,1.9582879918350618e-11,3065,83
"DecisionTreeRegressor(ccp_alpha=2.6680515435861808e-14, random_state=0)",2.6680515435861808e-14,0.9999787663970151,-1.3096446589221653,1.960956043378648e-11,3063,83
"DecisionTreeRegressor(ccp_alpha=3.313353064138298e-14, random_state=0)",3.313353064138298e-14,0.9999787652123212,-1.309644657862754,1.9675827495069243e-11,3059,83
"DecisionTreeRegressor(ccp_alpha=4.054128560637693e-14, random_state=0)",4.054128560637693e-14,0.9999787644874294,-1.3096449841965532,1.971636878067562e-11,3057,83
"DecisionTreeRegressor(ccp_alpha=4.977006654027782e-14, random_state=0)",4.977006654027782e-14,0.9999787635975228,-1.3096449841965532,1.97661388472159e-11,3055,83
"DecisionTreeRegressor(ccp_alpha=6.283494558001478e-14, random_state=0)",6.283494558001478e-14,0.9999787624740097,-1.3096444266585459,1.9828973792795916e-11,3053,83
"DecisionTreeRegressor(ccp_alpha=6.520827280920294e-14, random_state=0)",6.520827280920294e-14,0.9999787613080621,-1.3096440364932072,1.989418206560512e-11,3051,83
"DecisionTreeRegressor(ccp_alpha=7.430505863381675e-14, random_state=0)",7.430505863381675e-14,0.9999787599794614,-1.3096440364932072,1.9968487124238934e-11,3049,83
"DecisionTreeRegressor(ccp_alpha=8.272271756482042e-14, random_state=0)",8.272271756482042e-14,0.9999787585003502,-1.3096431239645931,2.0051209841803755e-11,3047,83
"DecisionTreeRegressor(ccp_alpha=8.369358157900368e-14, random_state=0)",8.369358157900368e-14,0.999978755507422,-1.3096431329878704,2.0218597004961762e-11,3043,82
"DecisionTreeRegressor(ccp_alpha=8.642399296210357e-14, random_state=0)",8.642399296210357e-14,0.9999787539621312,-1.309655182344982,2.0305020997923864e-11,3041,82
"DecisionTreeRegressor(ccp_alpha=1.0046404680386089e-13, random_state=0)",1.0046404680386089e-13,0.9999787521658006,-1.3096568626931484,2.0405485044727725e-11,3039,82
"DecisionTreeRegressor(ccp_alpha=1.0603014993781912e-13, random_state=0)",1.0603014993781912e-13,0.9999787502699463,-1.3096568626931484,2.0511515194665546e-11,3037,82
"DecisionTreeRegressor(ccp_alpha=1.0846160775068725e-13, random_state=0)",1.0846160775068725e-13,0.9999787483306176,-1.3096568626931484,2.0619976802416232e-11,3035,82
"DecisionTreeRegressor(ccp_alpha=1.1021510093467413e-13, random_state=0)",1.1021510093467413e-13,0.9999787463599341,-1.3096572910176665,2.0730191903350905e-11,3033,82
"DecisionTreeRegressor(ccp_alpha=1.1642679875745187e-13, random_state=0)",1.1642679875745187e-13,0.9999787442781802,-1.3096572910176665,2.0846618702108358e-11,3031,82
"DecisionTreeRegressor(ccp_alpha=1.272602509483356e-13, random_state=0)",1.272602509483356e-13,0.9999787420027264,-1.3096565000267133,2.0973878953056692e-11,3029,82
"DecisionTreeRegressor(ccp_alpha=1.280177873430599e-13, random_state=0)",1.280177873430599e-13,0.9999787397137215,-1.309654139767329,2.1101896740399753e-11,3027,82
"DecisionTreeRegressor(ccp_alpha=1.3222652139877055e-13, random_state=0)",1.3222652139877055e-13,0.9999787373494667,-1.309655117254438,2.1234123261798524e-11,3025,82
"DecisionTreeRegressor(ccp_alpha=1.346251235490037e-13, random_state=0)",1.346251235490037e-13,0.9999787349423218,-1.3096547740626558,2.1368748385347527e-11,3023,82
"DecisionTreeRegressor(ccp_alpha=1.4257810210249743e-13, random_state=0)",1.4257810210249743e-13,0.9999787323929792,-1.3096547740626558,2.1511326487450024e-11,3021,82
"DecisionTreeRegressor(ccp_alpha=1.6316326761911526e-13, random_state=0)",1.6316326761911526e-13,0.9999787294755649,-1.3096547740626558,2.167448975506914e-11,3019,82
"DecisionTreeRegressor(ccp_alpha=1.7199110191601363e-13, random_state=0)",1.7199110191601363e-13,0.9999787264003057,-1.3096547740626558,2.1846480856985153e-11,3017,82
"DecisionTreeRegressor(ccp_alpha=1.810515626310405e-13, random_state=0)",1.810515626310405e-13,0.9999787231630435,-1.3096593714451745,2.2027532419616192e-11,3015,82
"DecisionTreeRegressor(ccp_alpha=1.9955405383687009e-13, random_state=0)",1.9955405383687009e-13,0.9999787195949503,-1.3096593714451745,2.2227086473453062e-11,3013,82
"DecisionTreeRegressor(ccp_alpha=2.0319865581819305e-13, random_state=0)",2.0319865581819305e-13,0.9999787159616892,-1.3096607531228757,2.2430285129271256e-11,3011,82
"DecisionTreeRegressor(ccp_alpha=2.1206326625278217e-13, random_state=0)",2.1206326625278217e-13,0.9999787121699265,-1.3096607531228757,2.264234839552404e-11,3009,82
