models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.8679797529409736,-0.45594679051171805,4.704675924095508e-05,3101,35
"DecisionTreeRegressor(ccp_alpha=1.6198847818671424e-16, random_state=0)",1.6198847818671424e-16,0.867979752940519,-0.45594679051171805,4.704675924111707e-05,3099,35
"DecisionTreeRegressor(ccp_alpha=9.453167415518493e-15, random_state=0)",9.453167415518493e-15,0.8679797529139921,-0.45594679051171805,4.7046759250570235e-05,3097,35
"DecisionTreeRegressor(ccp_alpha=2.2102528141054736e-14, random_state=0)",2.2102528141054736e-14,0.8679797528519692,-0.4559468083045439,4.704675927267276e-05,3095,35
"DecisionTreeRegressor(ccp_alpha=2.420015576820589e-14, random_state=0)",2.420015576820589e-14,0.8679797527840603,-0.45594338266209444,4.704675929687292e-05,3093,35
"DecisionTreeRegressor(ccp_alpha=3.9199823942404066e-14, random_state=0)",3.9199823942404066e-14,0.8679797526740592,-0.4559441444103982,4.704675933607274e-05,3091,35
"DecisionTreeRegressor(ccp_alpha=5.0403119178366044e-14, random_state=0)",5.0403119178366044e-14,0.8679797525326205,-0.4559441444103982,4.7046759386475865e-05,3089,34
"DecisionTreeRegressor(ccp_alpha=5.611254516590947e-14, random_state=0)",5.611254516590947e-14,0.8679797523751605,-0.45594012977556075,4.704675944258841e-05,3087,34
"DecisionTreeRegressor(ccp_alpha=5.951263787329354e-14, random_state=0)",5.951263787329354e-14,0.8679797522081595,-0.45594012977556075,4.7046759502101046e-05,3085,34
"DecisionTreeRegressor(ccp_alpha=8.704873627474186e-14, random_state=0)",8.704873627474186e-14,0.8679797519638875,-0.45593958279646873,4.704675958914978e-05,3083,34
"DecisionTreeRegressor(ccp_alpha=8.746642299328755e-14, random_state=0)",8.746642299328755e-14,0.8679797517184433,-0.45593958279646873,4.7046759676616206e-05,3081,34
"DecisionTreeRegressor(ccp_alpha=1.520761294671047e-13, random_state=0)",1.520761294671047e-13,0.867979751291695,-0.45593958279646873,4.704675982869234e-05,3079,34
"DecisionTreeRegressor(ccp_alpha=1.526281184771605e-13, random_state=0)",1.526281184771605e-13,0.8679797508633976,-0.455939988031977,4.704675998132046e-05,3077,34
"DecisionTreeRegressor(ccp_alpha=3.2361021848337223e-13, random_state=0)",3.2361021848337223e-13,0.8679797499552993,-0.4559477010056794,4.704676030493068e-05,3075,34
"DecisionTreeRegressor(ccp_alpha=3.655124813928268e-13, random_state=0)",3.655124813928268e-13,0.8679797489296164,-0.4559483690415911,4.704676067044316e-05,3073,34
"DecisionTreeRegressor(ccp_alpha=3.6551258547623534e-13, random_state=0)",3.6551258547623534e-13,0.8679797479039336,-0.4559483690415911,4.704676103595575e-05,3071,34
"DecisionTreeRegressor(ccp_alpha=3.6572640749188425e-13, random_state=0)",3.6572640749188425e-13,0.867979746877651,-0.4559483690415911,4.704676140168216e-05,3069,34
"DecisionTreeRegressor(ccp_alpha=4.140501483340664e-13, random_state=0)",4.140501483340664e-13,0.8679797457157648,-0.4559564661813358,4.7046761815732307e-05,3067,34
"DecisionTreeRegressor(ccp_alpha=5.18925839798623e-13, random_state=0)",5.18925839798623e-13,0.8679797442595814,-0.4559507831595735,4.7046762334658144e-05,3065,34
"DecisionTreeRegressor(ccp_alpha=5.319961485228398e-13, random_state=0)",5.319961485228398e-13,0.8679797427667206,-0.4559507831595735,4.704676286665429e-05,3063,34
"DecisionTreeRegressor(ccp_alpha=5.538781239211588e-13, random_state=0)",5.538781239211588e-13,0.8679797412124557,-0.4559518363878079,4.7046763420532414e-05,3061,34
"DecisionTreeRegressor(ccp_alpha=8.874451520868299e-13, random_state=0)",8.874451520868299e-13,0.8679797387221521,-0.4559518363878079,4.704676430797757e-05,3059,34
"DecisionTreeRegressor(ccp_alpha=9.611911613860435e-13, random_state=0)",9.611911613860435e-13,0.867979736024906,-0.4559518363878079,4.704676526916873e-05,3057,34
"DecisionTreeRegressor(ccp_alpha=1.0025279911785035e-12, random_state=0)",1.0025279911785035e-12,0.8679797332116623,-0.4559518363878079,4.704676627169672e-05,3055,34
"DecisionTreeRegressor(ccp_alpha=1.0153125215572877e-12, random_state=0)",1.0153125215572877e-12,0.8679797303625435,-0.4559518363878079,4.704676728700924e-05,3053,34
"DecisionTreeRegressor(ccp_alpha=1.091503103178848e-12, random_state=0)",1.091503103178848e-12,0.8679797272996225,-0.4559518363878079,4.704676837851234e-05,3051,34
"DecisionTreeRegressor(ccp_alpha=1.1212530903748075e-12, random_state=0)",1.1212530903748075e-12,0.8679797241532183,-0.4559518363878079,4.704676949976543e-05,3049,34
"DecisionTreeRegressor(ccp_alpha=1.1325124865679825e-12, random_state=0)",1.1325124865679825e-12,0.8679797209752188,-0.4559535436936326,4.704677063227792e-05,3047,34
"DecisionTreeRegressor(ccp_alpha=1.282401095037411e-12, random_state=0)",1.282401095037411e-12,0.8679797173766094,-0.4559535436936326,4.704677191467901e-05,3045,34
"DecisionTreeRegressor(ccp_alpha=1.3456201083950069e-12, random_state=0)",1.3456201083950069e-12,0.8679797136005979,-0.45596175563070673,4.704677326029912e-05,3043,34
"DecisionTreeRegressor(ccp_alpha=1.7344531019758412e-12, random_state=0)",1.7344531019758412e-12,0.8679797087334629,-0.4559546688125533,4.704677499475222e-05,3041,34
"DecisionTreeRegressor(ccp_alpha=1.867278102973824e-12, random_state=0)",1.867278102973824e-12,0.867979703493601,-0.45595666992077755,4.704677686203032e-05,3039,34
"DecisionTreeRegressor(ccp_alpha=2.0782508006189638e-12, random_state=0)",2.0782508006189638e-12,0.8679796976617182,-0.45595666992077755,4.704677894028112e-05,3037,34
"DecisionTreeRegressor(ccp_alpha=2.2339695024409245e-12, random_state=0)",2.2339695024409245e-12,0.8679796913928655,-0.4559558910022452,4.704678117425062e-05,3035,34
"DecisionTreeRegressor(ccp_alpha=2.365312321006563e-12, random_state=0)",2.365312321006563e-12,0.8679796847554446,-0.45596218991236603,4.704678353956294e-05,3033,34
"DecisionTreeRegressor(ccp_alpha=2.5329378178229334e-12, random_state=0)",2.5329378178229334e-12,0.8679796776476422,-0.45596218991236603,4.7046786072500755e-05,3031,34
"DecisionTreeRegressor(ccp_alpha=2.664009013386703e-12, random_state=0)",2.664009013386703e-12,0.8679796701720341,-0.45596218991236603,4.704678873650977e-05,3029,34
"DecisionTreeRegressor(ccp_alpha=2.948806129832171e-12, random_state=0)",2.948806129832171e-12,0.8679796618972428,-0.45596218991236603,4.70467916853159e-05,3027,34
"DecisionTreeRegressor(ccp_alpha=3.075199990487665e-12, random_state=0)",3.075199990487665e-12,0.8679796532677715,-0.45596218991236603,4.704679476051589e-05,3025,34
"DecisionTreeRegressor(ccp_alpha=3.5086004587792096e-12, random_state=0)",3.5086004587792096e-12,0.8679796434221134,-0.45596218991236603,4.704679826911635e-05,3023,34
"DecisionTreeRegressor(ccp_alpha=3.765453851500844e-12, random_state=0)",3.765453851500844e-12,0.8679796328556859,-0.45595093309199974,4.7046802034570203e-05,3021,34
"DecisionTreeRegressor(ccp_alpha=3.865590174345623e-12, random_state=0)",3.865590174345623e-12,0.8679796220082615,-0.45595093309199974,4.704680590016038e-05,3019,34
"DecisionTreeRegressor(ccp_alpha=3.9340124907694115e-12, random_state=0)",3.9340124907694115e-12,0.8679796109688337,-0.45595093309199974,4.704680983417287e-05,3017,34
"DecisionTreeRegressor(ccp_alpha=4.414163271015958e-12, random_state=0)",4.414163271015958e-12,0.8679795985820309,-0.45595093309199974,4.704681424833614e-05,3015,34
"DecisionTreeRegressor(ccp_alpha=5.01969615179787e-12, random_state=0)",5.01969615179787e-12,0.8679795844960124,-0.45595093309199974,4.704681926803229e-05,3013,34
"DecisionTreeRegressor(ccp_alpha=5.019696221186809e-12, random_state=0)",5.019696221186809e-12,0.8679795704099939,-0.45595093309199974,4.704682428772851e-05,3011,34
"DecisionTreeRegressor(ccp_alpha=5.15124755351426e-12, random_state=0)",5.15124755351426e-12,0.8679795559548223,-0.45593316897580327,4.704682943897606e-05,3009,34
"DecisionTreeRegressor(ccp_alpha=5.682663159478629e-12, random_state=0)",5.682663159478629e-12,0.8679795400084188,-0.45592370046617314,4.7046835121639224e-05,3007,34
"DecisionTreeRegressor(ccp_alpha=5.696156255008411e-12, random_state=0)",5.696156255008411e-12,0.8679795240241518,-0.45592370046617314,4.704684081779548e-05,3005,34
"DecisionTreeRegressor(ccp_alpha=5.83452799962636e-12, random_state=0)",5.83452799962636e-12,0.867979507651593,-0.45592370046617314,4.7046846652323475e-05,3003,34
"DecisionTreeRegressor(ccp_alpha=6.026523863278399e-12, random_state=0)",6.026523863278399e-12,0.8679794907402648,-0.45593314586589595,4.704685267884734e-05,3001,34
"DecisionTreeRegressor(ccp_alpha=6.79882809773158e-12, random_state=0)",6.79882809773158e-12,0.8679794716617356,-0.45593314586589595,4.7046859477675435e-05,2999,34
"DecisionTreeRegressor(ccp_alpha=6.807127535257695e-12, random_state=0)",6.807127535257695e-12,0.867979452559917,-0.45593314586589595,4.704686628480297e-05,2997,34
"DecisionTreeRegressor(ccp_alpha=7.093261152057995e-12, random_state=0)",7.093261152057995e-12,0.8679794326551649,-0.4559320240107503,4.704687337806412e-05,2995,34
"DecisionTreeRegressor(ccp_alpha=7.276158807412169e-12, random_state=0)",7.276158807412169e-12,0.8679794122371745,-0.4558859905245205,4.704688065422293e-05,2993,34
"DecisionTreeRegressor(ccp_alpha=7.299065206411992e-12, random_state=0)",7.299065206411992e-12,0.8679793917549049,-0.4558859905245205,4.704688795328814e-05,2991,34
"DecisionTreeRegressor(ccp_alpha=7.686140161833334e-12, random_state=0)",7.686140161833334e-12,0.8679793701864451,-0.4558820005149242,4.70468956394283e-05,2989,34
"DecisionTreeRegressor(ccp_alpha=7.7224500058537e-12, random_state=0)",7.7224500058537e-12,0.8679793485160947,-0.4558820005149242,4.7046903361878306e-05,2987,34
