models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9997348928641656,-1.2457070081305752,7.214744193823068e-08,3107,31
"DecisionTreeRegressor(ccp_alpha=9.453306193396571e-15, random_state=0)",9.453306193396571e-15,0.99973489282943,-1.2457070081305752,7.214745139153688e-08,3105,31
"DecisionTreeRegressor(ccp_alpha=1.296044868648316e-14, random_state=0)",1.296044868648316e-14,0.9997348927818064,-1.2457070081305752,7.214746435198557e-08,3103,31
"DecisionTreeRegressor(ccp_alpha=4.945517953491851e-14, random_state=0)",4.945517953491851e-14,0.9997348926000825,-1.2457070070022755,7.21475138071651e-08,3101,31
"DecisionTreeRegressor(ccp_alpha=5.3219616213961985e-14, random_state=0)",5.3219616213961985e-14,0.9997348924045264,-1.2457068332382715,7.214756702678131e-08,3099,31
"DecisionTreeRegressor(ccp_alpha=1.1448113290679627e-13, random_state=0)",1.1448113290679627e-13,0.9997348919838633,-1.2457068332382715,7.214768150791421e-08,3097,31
"DecisionTreeRegressor(ccp_alpha=1.397881289888492e-13, random_state=0)",1.397881289888492e-13,0.9997348914702087,-1.2457068332382715,7.214782129604321e-08,3095,31
"DecisionTreeRegressor(ccp_alpha=2.047999617116325e-13, random_state=0)",2.047999617116325e-13,0.9997348907176672,-1.2457068332382715,7.214802609600492e-08,3093,31
"DecisionTreeRegressor(ccp_alpha=3.106690425747072e-13, random_state=0)",3.106690425747072e-13,0.999734889576108,-1.2457068332382715,7.21483367650475e-08,3091,31
"DecisionTreeRegressor(ccp_alpha=4.488781568667832e-13, random_state=0)",4.488781568667832e-13,0.9997348879266968,-1.2457068332382715,7.214878564320436e-08,3089,31
"DecisionTreeRegressor(ccp_alpha=4.545811470302308e-13, random_state=0)",4.545811470302308e-13,0.9997348862563299,-1.2457068332382715,7.21492402243514e-08,3087,31
"DecisionTreeRegressor(ccp_alpha=4.689961266568511e-13, random_state=0)",4.689961266568511e-13,0.9997348845329949,-1.2457068332382715,7.214970922047805e-08,3085,31
"DecisionTreeRegressor(ccp_alpha=4.694804961458132e-13, random_state=0)",4.694804961458132e-13,0.9997348828078799,-1.2457020340990383,7.21501787009742e-08,3083,31
"DecisionTreeRegressor(ccp_alpha=5.219866205941059e-13, random_state=0)",5.219866205941059e-13,0.9997348808898305,-1.2457020340990383,7.21507006875948e-08,3081,31
"DecisionTreeRegressor(ccp_alpha=5.853619672313569e-13, random_state=0)",5.853619672313569e-13,0.9997348787389068,-1.2457020340990383,7.215128604956203e-08,3079,31
"DecisionTreeRegressor(ccp_alpha=6.583781436697578e-13, random_state=0)",6.583781436697578e-13,0.9997348763196839,-1.2457020340990383,7.21519444277057e-08,3077,31
