models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9961132467251914,-1.4880073223164838,1.1328035585085605e-06,3091,33
"DecisionTreeRegressor(ccp_alpha=1.5265566588595903e-18, random_state=0)",1.5265566588595903e-18,0.9961132467251879,-1.4880073189508702,1.132803558510087e-06,3089,33
"DecisionTreeRegressor(ccp_alpha=1.2012613126444193e-14, random_state=0)",1.2012613126444193e-14,0.9961132466976969,-1.4880073189508702,1.1328035705227002e-06,3087,33
"DecisionTreeRegressor(ccp_alpha=9.2235091092574e-14, random_state=0)",9.2235091092574e-14,0.9961132464866134,-1.4880073189508702,1.1328036627577914e-06,3085,33
"DecisionTreeRegressor(ccp_alpha=1.4351402011225647e-13, random_state=0)",1.4351402011225647e-13,0.9961132461581763,-1.4880073189508702,1.1328038062718114e-06,3083,33
"DecisionTreeRegressor(ccp_alpha=2.0224801000612301e-13, random_state=0)",2.0224801000612301e-13,0.9961132456953244,-1.4880113568434679,1.1328040085198215e-06,3081,33
"DecisionTreeRegressor(ccp_alpha=2.3804996168719227e-13, random_state=0)",2.3804996168719227e-13,0.9961132451505383,-1.4880113568434679,1.132804246569783e-06,3079,33
"DecisionTreeRegressor(ccp_alpha=2.695615085313019e-13, random_state=0)",2.695615085313019e-13,0.996113244533637,-1.488016549131577,1.1328045161312916e-06,3077,33
"DecisionTreeRegressor(ccp_alpha=3.096845176131513e-13, random_state=0)",3.096845176131513e-13,0.9961132438249128,-1.488016549131577,1.1328048258158092e-06,3075,33
"DecisionTreeRegressor(ccp_alpha=4.186124190341811e-13, random_state=0)",4.186124190341811e-13,0.996113242866903,-1.488016549131577,1.1328052444282282e-06,3073,33
"DecisionTreeRegressor(ccp_alpha=4.1861257515929396e-13, random_state=0)",4.1861257515929396e-13,0.996113241908893,-1.488016549131577,1.1328056630408034e-06,3071,33
"DecisionTreeRegressor(ccp_alpha=4.550580572082463e-13, random_state=0)",4.550580572082463e-13,0.9961132408674763,-1.4880078208451142,1.1328061180988605e-06,3069,33
"DecisionTreeRegressor(ccp_alpha=5.115661019794438e-13, random_state=0)",5.115661019794438e-13,0.9961132396967386,-1.4880024261346194,1.1328066296649626e-06,3067,33
"DecisionTreeRegressor(ccp_alpha=5.361300466077967e-13, random_state=0)",5.361300466077967e-13,0.9961132384697854,-1.4880024261346194,1.1328071657950093e-06,3065,33
"DecisionTreeRegressor(ccp_alpha=5.848211151460171e-13, random_state=0)",5.848211151460171e-13,0.996113237131401,-1.4880024261346194,1.1328077506161245e-06,3063,33
"DecisionTreeRegressor(ccp_alpha=6.515111193594602e-13, random_state=0)",6.515111193594602e-13,0.9961132356403941,-1.4880024261346194,1.1328084021272438e-06,3061,33
"DecisionTreeRegressor(ccp_alpha=6.566579918709792e-13, random_state=0)",6.566579918709792e-13,0.9961132341376085,-1.4880024261346194,1.1328090587852358e-06,3059,33
"DecisionTreeRegressor(ccp_alpha=6.911940117482195e-13, random_state=0)",6.911940117482195e-13,0.9961132325557859,-1.4880024261346194,1.1328097499792475e-06,3057,33
"DecisionTreeRegressor(ccp_alpha=9.051851802832633e-13, random_state=0)",9.051851802832633e-13,0.9961132304842368,-1.4880024261346194,1.1328106551644277e-06,3055,33
"DecisionTreeRegressor(ccp_alpha=1.0833913974273024e-12, random_state=0)",1.0833913974273024e-12,0.9961132280048549,-1.4880024261346194,1.1328117385558251e-06,3053,33
"DecisionTreeRegressor(ccp_alpha=1.1551999461179018e-12, random_state=0)",1.1551999461179018e-12,0.9961132253611379,-1.4879927106267838,1.1328128937557713e-06,3051,33
"DecisionTreeRegressor(ccp_alpha=1.2616661881903469e-12, random_state=0)",1.2616661881903469e-12,0.9961132224737691,-1.4879927106267838,1.1328141554219596e-06,3049,33
"DecisionTreeRegressor(ccp_alpha=1.7098627375089493e-12, random_state=0)",1.7098627375089493e-12,0.9961132185606861,-1.4879927106267838,1.1328158652846971e-06,3047,33
"DecisionTreeRegressor(ccp_alpha=1.7653205112988512e-12, random_state=0)",1.7653205112988512e-12,0.996113214520686,-1.4879927106267838,1.1328176306052084e-06,3045,33
"DecisionTreeRegressor(ccp_alpha=1.909058015836518e-12, random_state=0)",1.909058015836518e-12,0.9961132101517376,-1.4879927106267838,1.1328195396632243e-06,3043,33
"DecisionTreeRegressor(ccp_alpha=1.9830360964423477e-12, random_state=0)",1.9830360964423477e-12,0.9961132056134874,-1.4879927106267838,1.1328215226993207e-06,3041,33
"DecisionTreeRegressor(ccp_alpha=1.9845300402998588e-12, random_state=0)",1.9845300402998588e-12,0.9961132010718184,-1.48799286257908,1.132823507229361e-06,3039,33
