models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.999497106665444,-1.5951683856759864,2.501790780177689e-08,3097,52
"DecisionTreeRegressor(ccp_alpha=3.469446951953614e-19, random_state=0)",3.469446951953614e-19,0.999497106665439,-1.595168391118181,2.5017907802123836e-08,3095,52
"DecisionTreeRegressor(ccp_alpha=3.4453342956375363e-16, random_state=0)",3.4453342956375363e-16,0.9994971066592786,-1.5951684315337427,2.5017908146657266e-08,3093,52
"DecisionTreeRegressor(ccp_alpha=5.119862866997948e-16, random_state=0)",5.119862866997948e-16,0.9994971066501239,-1.5951680249173608,2.5017908658643552e-08,3091,52
"DecisionTreeRegressor(ccp_alpha=6.12426775958852e-16, random_state=0)",6.12426775958852e-16,0.9994971066391722,-1.5951680249173608,2.501790927107033e-08,3089,52
"DecisionTreeRegressor(ccp_alpha=1.653208819840657e-15, random_state=0)",1.653208819840657e-15,0.9994971066096138,-1.5951680249173608,2.501791092427915e-08,3087,52
"DecisionTreeRegressor(ccp_alpha=3.100662088195705e-15, random_state=0)",3.100662088195705e-15,0.9994971065541708,-1.5951680249173608,2.5017914024941238e-08,3085,52
"DecisionTreeRegressor(ccp_alpha=3.222526412383132e-15, random_state=0)",3.222526412383132e-15,0.9994971064965497,-1.5951680199825407,2.501791724746765e-08,3083,52
"DecisionTreeRegressor(ccp_alpha=3.784507429660522e-15, random_state=0)",3.784507429660522e-15,0.9994971064288816,-1.5951680259824057,2.501792103197508e-08,3081,52
"DecisionTreeRegressor(ccp_alpha=4.656153934634588e-15, random_state=0)",4.656153934634588e-15,0.9994971063456284,-1.5951680259824057,2.5017925688129016e-08,3079,52
"DecisionTreeRegressor(ccp_alpha=5.591499485646523e-15, random_state=0)",5.591499485646523e-15,0.99949710624565,-1.5951680280953373,2.5017931279628503e-08,3077,52
"DecisionTreeRegressor(ccp_alpha=7.472460150648175e-15, random_state=0)",7.472460150648175e-15,0.9994971061120386,-1.5951676979391727,2.5017938752088653e-08,3075,52
"DecisionTreeRegressor(ccp_alpha=1.2481994604573998e-14, random_state=0)",1.2481994604573998e-14,0.9994971058888562,-1.5951676979391727,2.5017951234083256e-08,3073,52
"DecisionTreeRegressor(ccp_alpha=1.3081601774045381e-14, random_state=0)",1.3081601774045381e-14,0.9994971056549541,-1.5951676979391727,2.501796431568503e-08,3071,52
"DecisionTreeRegressor(ccp_alpha=3.498019582326428e-14, random_state=0)",3.498019582326428e-14,0.9994971050294976,-1.5951676979391727,2.5017999295880853e-08,3069,52
"DecisionTreeRegressor(ccp_alpha=4.641656850545863e-14, random_state=0)",4.641656850545863e-14,0.9994971041995611,-1.5951676970617963,2.501804571244936e-08,3067,52
"DecisionTreeRegressor(ccp_alpha=4.6512585449853817e-14, random_state=0)",4.6512585449853817e-14,0.9994971033679019,-1.5951676970617963,2.501809222503481e-08,3065,52
"DecisionTreeRegressor(ccp_alpha=4.7124509156004635e-14, random_state=0)",4.7124509156004635e-14,0.9994971025253,-1.5951678262839581,2.5018139349543965e-08,3063,52
"DecisionTreeRegressor(ccp_alpha=5.321952947778818e-14, random_state=0)",5.321952947778818e-14,0.9994971015737169,-1.5951678262839581,2.5018192569073442e-08,3061,52
"DecisionTreeRegressor(ccp_alpha=5.899610661108668e-14, random_state=0)",5.899610661108668e-14,0.9994971005188463,-1.5951678262839581,2.5018251565180054e-08,3059,52
"DecisionTreeRegressor(ccp_alpha=6.12499634344843e-14, random_state=0)",6.12499634344843e-14,0.9994970994236757,-1.5951703412213933,2.501831281514349e-08,3057,52
"DecisionTreeRegressor(ccp_alpha=7.411255636968762e-14, random_state=0)",7.411255636968762e-14,0.9994970980985193,-1.5951703412213933,2.501838692769986e-08,3055,52
"DecisionTreeRegressor(ccp_alpha=7.542601959675924e-14, random_state=0)",7.542601959675924e-14,0.9994970967498722,-1.59517033993427,2.5018462353719454e-08,3053,52
"DecisionTreeRegressor(ccp_alpha=1.0362625688098426e-13, random_state=0)",1.0362625688098426e-13,0.9994970948969994,-1.59516999780294,2.5018565979976334e-08,3051,52
"DecisionTreeRegressor(ccp_alpha=1.0776404074652745e-13, random_state=0)",1.0776404074652745e-13,0.9994970929701423,-1.5951710760498612,2.501867374401708e-08,3049,52
"DecisionTreeRegressor(ccp_alpha=1.088015962047433e-13, random_state=0)",1.088015962047433e-13,0.9994970913961342,-1.5951710760498612,2.5018782545613286e-08,3047,52
"DecisionTreeRegressor(ccp_alpha=1.1436154107036245e-13, random_state=0)",1.1436154107036245e-13,0.9994970893513115,-1.5951740977548075,2.5018896907154357e-08,3045,52
"DecisionTreeRegressor(ccp_alpha=1.1980519007415145e-13, random_state=0)",1.1980519007415145e-13,0.9994970872091556,-1.5951733635408196,2.501901671234443e-08,3043,52
"DecisionTreeRegressor(ccp_alpha=1.2607732566283226e-13, random_state=0)",1.2607732566283226e-13,0.9994970849548473,-1.5951728456920882,2.5019142789670092e-08,3041,52
"DecisionTreeRegressor(ccp_alpha=1.2903197607605498e-13, random_state=0)",1.2903197607605498e-13,0.9994970826477118,-1.5951728456920882,2.501927182164617e-08,3039,52
