models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9997378738510729,-1.0170787507344148,2.6610658121484273e-17,3097,40
"DecisionTreeRegressor(ccp_alpha=8.449838051483027e-15, random_state=0)",8.449838051483027e-15,0.9997378738200232,-1.0170787507344148,8.476448709604512e-15,3095,40
"DecisionTreeRegressor(ccp_alpha=9.453132721048973e-15, random_state=0)",9.453132721048973e-15,0.9997378737852876,-1.0170787507344148,1.7929581430653486e-14,3093,40
"DecisionTreeRegressor(ccp_alpha=6.661235799065856e-14, random_state=0)",6.661235799065856e-14,0.9997378735405187,-1.0170787507344148,8.454193942131205e-14,3091,40
"DecisionTreeRegressor(ccp_alpha=9.493916069969188e-14, random_state=0)",9.493916069969188e-14,0.9997378731916634,-1.0170787507344148,1.7948110012100393e-13,3089,40
"DecisionTreeRegressor(ccp_alpha=1.0534049327270978e-13, random_state=0)",1.0534049327270978e-13,0.9997378728045878,-1.0170787507344148,2.848215933937137e-13,3087,40
"DecisionTreeRegressor(ccp_alpha=1.0927805535465573e-13, random_state=0)",1.0927805535465573e-13,0.9997378724030432,-1.0170776948126812,3.940996487483694e-13,3085,40
"DecisionTreeRegressor(ccp_alpha=1.860500295491896e-13, random_state=0)",1.860500295491896e-13,0.999737871719399,-1.0170776948126812,5.801496782975591e-13,3083,40
"DecisionTreeRegressor(ccp_alpha=2.3856777664477134e-13, random_state=0)",2.3856777664477134e-13,0.9997378708427772,-1.0170776948126812,8.187174549423304e-13,3081,40
"DecisionTreeRegressor(ccp_alpha=4.0906032033882767e-13, random_state=0)",4.0906032033882767e-13,0.999737869339678,-1.0170776948126812,1.227777775281158e-12,3079,40
"DecisionTreeRegressor(ccp_alpha=4.694804614513437e-13, random_state=0)",4.694804614513437e-13,0.9997378676145631,-1.0170776948126812,1.6972582367325018e-12,3077,40
"DecisionTreeRegressor(ccp_alpha=6.230070105639473e-13, random_state=0)",6.230070105639473e-13,0.9997378653253121,-1.0170697816442376,2.3202652472964493e-12,3075,40
