models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9286175940803885,-1.1647961237059383,6.779559144969594e-05,3159,39
"DecisionTreeRegressor(ccp_alpha=4.050041552128292e-15, random_state=0)",4.050041552128292e-15,0.9286175940761242,-1.1647961512021583,6.779559145374598e-05,3157,39
"DecisionTreeRegressor(ccp_alpha=5.434108024671147e-15, random_state=0)",5.434108024671147e-15,0.9286175940704027,-1.1647961512021583,6.779559145918008e-05,3155,39
"DecisionTreeRegressor(ccp_alpha=1.8769551884956215e-14, random_state=0)",1.8769551884956215e-14,0.92861759405064,-1.1647961512021583,6.779559147794962e-05,3153,39
"DecisionTreeRegressor(ccp_alpha=4.836049963263811e-14, random_state=0)",4.836049963263811e-14,0.928617593999721,-1.1647961512021583,6.779559152631012e-05,3151,39
"DecisionTreeRegressor(ccp_alpha=5.232607749872109e-14, random_state=0)",5.232607749872109e-14,0.9286175939446265,-1.1647961512021583,6.77955915786362e-05,3149,39
"DecisionTreeRegressor(ccp_alpha=6.390308421311275e-14, random_state=0)",6.390308421311275e-14,0.9286175938773424,-1.1647961512021583,6.779559164253928e-05,3147,39
"DecisionTreeRegressor(ccp_alpha=8.946439075674384e-14, random_state=0)",8.946439075674384e-14,0.9286175937831448,-1.164796201988314,6.779559173200367e-05,3145,39
"DecisionTreeRegressor(ccp_alpha=1.1044999984055615e-13, random_state=0)",1.1044999984055615e-13,0.9286175936668513,-1.1647962123528202,6.779559184245368e-05,3143,39
"DecisionTreeRegressor(ccp_alpha=1.8666051343485536e-13, random_state=0)",1.8666051343485536e-13,0.9286175934703153,-1.1647962123528202,6.779559202911419e-05,3141,39
"DecisionTreeRegressor(ccp_alpha=2.0528028929489572e-13, random_state=0)",2.0528028929489572e-13,0.9286175932541744,-1.1647962123528202,6.779559223439448e-05,3139,39
"DecisionTreeRegressor(ccp_alpha=2.0962804408997115e-13, random_state=0)",2.0962804408997115e-13,0.9286175930334556,-1.1647962123528202,6.779559244402253e-05,3137,39
"DecisionTreeRegressor(ccp_alpha=2.6010081241589767e-13, random_state=0)",2.6010081241589767e-13,0.9286175927595938,-1.1647962123528202,6.779559270412334e-05,3135,39
"DecisionTreeRegressor(ccp_alpha=2.69745129011234e-13, random_state=0)",2.69745129011234e-13,0.9286175924755775,-1.164796599084982,6.779559297386846e-05,3133,39
"DecisionTreeRegressor(ccp_alpha=2.9876452006805113e-13, random_state=0)",2.9876452006805113e-13,0.9286175921610065,-1.164796599084982,6.779559327263299e-05,3131,39
"DecisionTreeRegressor(ccp_alpha=3.591281091952503e-13, random_state=0)",3.591281091952503e-13,0.9286175917828782,-1.164796599084982,6.77955936317611e-05,3129,39
"DecisionTreeRegressor(ccp_alpha=3.8940314514568365e-13, random_state=0)",3.8940314514568365e-13,0.9286175913728731,-1.1647973129669604,6.779559402116425e-05,3127,39
"DecisionTreeRegressor(ccp_alpha=3.894032145346227e-13, random_state=0)",3.894032145346227e-13,0.9286175909628681,-1.1647973129669604,6.779559441056746e-05,3125,39
"DecisionTreeRegressor(ccp_alpha=4.02753299461045e-13, random_state=0)",4.02753299461045e-13,0.9286175905388069,-1.1647973129669604,6.779559481332076e-05,3123,39
"DecisionTreeRegressor(ccp_alpha=4.199859210407553e-13, random_state=0)",4.199859210407553e-13,0.9286175900966008,-1.1647973129669604,6.779559523330668e-05,3121,39
"DecisionTreeRegressor(ccp_alpha=4.231998605719323e-13, random_state=0)",4.231998605719323e-13,0.9286175896510108,-1.1647973129669604,6.779559565650654e-05,3119,39
"DecisionTreeRegressor(ccp_alpha=5.072762869484659e-13, random_state=0)",5.072762869484659e-13,0.9286175891168964,-1.1647973129669604,6.779559616378282e-05,3117,39
"DecisionTreeRegressor(ccp_alpha=5.673788695814696e-13, random_state=0)",5.673788695814696e-13,0.9286175885194997,-1.1647982710998481,6.779559673116169e-05,3115,39
"DecisionTreeRegressor(ccp_alpha=6.566580092182139e-13, random_state=0)",6.566580092182139e-13,0.9286175878281004,-1.1647982710998481,6.77955973878197e-05,3113,39
"DecisionTreeRegressor(ccp_alpha=7.592199785522169e-13, random_state=0)",7.592199785522169e-13,0.9286175870287128,-1.1647999596244247,6.779559814703968e-05,3111,39
"DecisionTreeRegressor(ccp_alpha=8.623127906171036e-13, random_state=0)",8.623127906171036e-13,0.9286175861207783,-1.1647999596244247,6.779559900935247e-05,3109,39
"DecisionTreeRegressor(ccp_alpha=8.871119984432685e-13, random_state=0)",8.871119984432685e-13,0.9286175851867324,-1.1647999596244247,6.779559989646446e-05,3107,39
"DecisionTreeRegressor(ccp_alpha=9.092261492316123e-13, random_state=0)",9.092261492316123e-13,0.9286175842294025,-1.1647999596244247,6.779560080569061e-05,3105,39
"DecisionTreeRegressor(ccp_alpha=9.954605022233221e-13, random_state=0)",9.954605022233221e-13,0.9286175831812759,-1.1647999596244247,6.77956018011511e-05,3103,39
"DecisionTreeRegressor(ccp_alpha=1.0106865171166657e-12, random_state=0)",1.0106865171166657e-12,0.9286175821171176,-1.1647999596244247,6.779560281183762e-05,3101,39
"DecisionTreeRegressor(ccp_alpha=1.071037546845899e-12, random_state=0)",1.071037546845899e-12,0.9286175809894155,-1.1647999596244247,6.779560388287517e-05,3099,39
"DecisionTreeRegressor(ccp_alpha=1.2055162423862954e-12, random_state=0)",1.2055162423862954e-12,0.9286175797201198,-1.1647994365247611,6.77956050883914e-05,3097,39
"DecisionTreeRegressor(ccp_alpha=1.2055162770807647e-12, random_state=0)",1.2055162770807647e-12,0.9286175784508242,-1.1647994365247611,6.779560629390768e-05,3095,39
"DecisionTreeRegressor(ccp_alpha=1.2359849775600561e-12, random_state=0)",1.2359849775600561e-12,0.9286175771494477,-1.1647994365247611,6.779560752989266e-05,3093,39
"DecisionTreeRegressor(ccp_alpha=1.2545280092535194e-12, random_state=0)",1.2545280092535194e-12,0.9286175758285473,-1.1647994365247611,6.779560878442066e-05,3091,39
