models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.8785942762127591,-1.1804709778862188,7.98186515382259e-05,3161,34
"DecisionTreeRegressor(ccp_alpha=3.1225022567582527e-19, random_state=0)",3.1225022567582527e-19,0.8785942762127591,-1.1804709778862188,7.981865153822622e-05,3159,34
"DecisionTreeRegressor(ccp_alpha=1.6427831317500364e-17, random_state=0)",1.6427831317500364e-17,0.8785942762127394,-1.1804709778862188,7.981865153824264e-05,3157,34
"DecisionTreeRegressor(ccp_alpha=2.5740347353586655e-15, random_state=0)",2.5740347353586655e-15,0.8785942762096757,-1.1804709778862188,7.981865154081667e-05,3155,34
"DecisionTreeRegressor(ccp_alpha=4.6803533271244645e-15, random_state=0)",4.6803533271244645e-15,0.878594276204105,-1.1804709778862188,7.981865154549703e-05,3153,34
"DecisionTreeRegressor(ccp_alpha=6.78620354355175e-15, random_state=0)",6.78620354355175e-15,0.8785942761960279,-1.1804709778862188,7.981865155228322e-05,3151,34
"DecisionTreeRegressor(ccp_alpha=7.29034888014013e-15, random_state=0)",7.29034888014013e-15,0.8785942761873508,-1.1804709778862188,7.981865155957357e-05,3149,34
"DecisionTreeRegressor(ccp_alpha=9.011437429595759e-15, random_state=0)",9.011437429595759e-15,0.8785942761766249,-1.1804709778862188,7.981865156858502e-05,3147,34
"DecisionTreeRegressor(ccp_alpha=5.670040825744849e-14, random_state=0)",5.670040825744849e-14,0.8785942761091381,-1.1804709778862188,7.981865162528543e-05,3145,33
"DecisionTreeRegressor(ccp_alpha=6.283511905236239e-14, random_state=0)",6.283511905236239e-14,0.8785942760343494,-1.1804709778862188,7.981865168812054e-05,3143,33
"DecisionTreeRegressor(ccp_alpha=7.566046747453648e-14, random_state=0)",7.566046747453648e-14,0.8785942759442953,-1.1804709778862188,7.981865176378101e-05,3141,33
"DecisionTreeRegressor(ccp_alpha=7.58812630785588e-14, random_state=0)",7.58812630785588e-14,0.8785942758539786,-1.1804709778862188,7.981865183966227e-05,3139,33
"DecisionTreeRegressor(ccp_alpha=8.988799288234262e-14, random_state=0)",8.988799288234262e-14,0.8785942757469904,-1.1804709778862188,7.981865192955026e-05,3137,33
"DecisionTreeRegressor(ccp_alpha=1.0294447586045586e-13, random_state=0)",1.0294447586045586e-13,0.878594275624462,-1.1804709778862188,7.981865203249474e-05,3135,33
"DecisionTreeRegressor(ccp_alpha=1.0706876357735594e-13, random_state=0)",1.0706876357735594e-13,0.8785942754970246,-1.1804709778862188,7.98186521395635e-05,3133,33
"DecisionTreeRegressor(ccp_alpha=1.0811252934561645e-13, random_state=0)",1.0811252934561645e-13,0.8785942753683451,-1.1804709778862188,7.981865224767604e-05,3131,33
"DecisionTreeRegressor(ccp_alpha=1.3833800424634114e-13, random_state=0)",1.3833800424634114e-13,0.8785942752036899,-1.1804694897089378,7.981865238601404e-05,3129,33
"DecisionTreeRegressor(ccp_alpha=1.415119410541621e-13, random_state=0)",1.415119410541621e-13,0.878594275035257,-1.1804694897089378,7.981865252752598e-05,3127,33
"DecisionTreeRegressor(ccp_alpha=1.4593503488979918e-13, random_state=0)",1.4593503488979918e-13,0.8785942748615595,-1.1804695433997967,7.981865267346101e-05,3125,33
"DecisionTreeRegressor(ccp_alpha=1.5401253189439855e-13, random_state=0)",1.5401253189439855e-13,0.878594274678248,-1.1804695433997967,7.981865282747354e-05,3123,33
