models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9999991223447106,-1.8553077230829218,6.385525302965439e-12,3099,74
"DecisionTreeRegressor(ccp_alpha=1.2805728699660791e-16, random_state=0)",1.2805728699660791e-16,0.9999991223424218,-1.8553079219932185,6.385653360252435e-12,3097,74
"DecisionTreeRegressor(ccp_alpha=3.3152300349392763e-16, random_state=0)",3.3152300349392763e-16,0.9999991223364939,-1.8553079219932185,6.385984883255929e-12,3095,74
"DecisionTreeRegressor(ccp_alpha=1.0695090646439808e-15, random_state=0)",1.0695090646439808e-15,0.9999991223173704,-1.8553079219932185,6.387054392320572e-12,3093,74
"DecisionTreeRegressor(ccp_alpha=3.74124342616966e-15, random_state=0)",3.74124342616966e-15,0.9999991222504778,-1.8553079233061536,6.390795635746742e-12,3091,74
"DecisionTreeRegressor(ccp_alpha=3.96947232028655e-15, random_state=0)",3.96947232028655e-15,0.9999991221085286,-1.8553079229689753,6.398734580387316e-12,3087,73
"DecisionTreeRegressor(ccp_alpha=4.5367182233135815e-15, random_state=0)",4.5367182233135815e-15,0.9999991220274148,-1.8553079867451503,6.40327129861063e-12,3085,73
"DecisionTreeRegressor(ccp_alpha=6.2440157211351985e-15, random_state=0)",6.2440157211351985e-15,0.9999991219157695,-1.8553084735706635,6.409515314331765e-12,3083,73
"DecisionTreeRegressor(ccp_alpha=6.244102457308998e-15, random_state=0)",6.244102457308998e-15,0.999999121804124,-1.8553084735706635,6.415759416789074e-12,3081,73
"DecisionTreeRegressor(ccp_alpha=6.497892501844405e-15, random_state=0)",6.497892501844405e-15,0.9999991216879376,-1.8553084735706635,6.422257309290918e-12,3079,73
"DecisionTreeRegressor(ccp_alpha=6.757094883624859e-15, random_state=0)",6.757094883624859e-15,0.9999991215671196,-1.8553084735706635,6.4290144041745435e-12,3077,73
"DecisionTreeRegressor(ccp_alpha=1.0153301810422733e-14, random_state=0)",1.0153301810422733e-14,0.9999991213855783,-1.8553084735706635,6.439167705984966e-12,3075,73
"DecisionTreeRegressor(ccp_alpha=1.6562046872836687e-14, random_state=0)",1.6562046872836687e-14,0.9999991210894442,-1.8553084735706635,6.455729752857803e-12,3073,73
"DecisionTreeRegressor(ccp_alpha=2.0910096570903037e-14, random_state=0)",2.0910096570903037e-14,0.9999991207155642,-1.8553095396305648,6.476639849428706e-12,3071,73
"DecisionTreeRegressor(ccp_alpha=2.126961801129923e-14, random_state=0)",2.126961801129923e-14,0.9999991203352577,-1.8553095396305648,6.497909467440006e-12,3069,73
