models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.89309771038819,-1.6655152766603942,3.809571935907075e-05,3145,34
"DecisionTreeRegressor(ccp_alpha=1.0168949016176044e-16, random_state=0)",1.0168949016176044e-16,0.8930977103879051,-1.6655152766603942,3.809571935917244e-05,3143,34
"DecisionTreeRegressor(ccp_alpha=2.8690591569180414e-15, random_state=0)",2.8690591569180414e-15,0.8930977103798541,-1.6655152766603942,3.80957193620415e-05,3141,34
"DecisionTreeRegressor(ccp_alpha=4.704448636205782e-15, random_state=0)",4.704448636205782e-15,0.8930977103666526,-1.6655152766603942,3.809571936674595e-05,3139,34
"DecisionTreeRegressor(ccp_alpha=1.5312508205855834e-14, random_state=0)",1.5312508205855834e-14,0.8930977103236835,-1.665517957646911,3.809571938205845e-05,3137,34
"DecisionTreeRegressor(ccp_alpha=2.14244247342954e-14, random_state=0)",2.14244247342954e-14,0.8930977102635631,-1.665517957646911,3.809571940348288e-05,3135,34
"DecisionTreeRegressor(ccp_alpha=2.419998229585829e-14, random_state=0)",2.419998229585829e-14,0.8930977101956542,-1.665517957646911,3.809571942768286e-05,3133,34
"DecisionTreeRegressor(ccp_alpha=3.219452482383645e-14, random_state=0)",3.219452482383645e-14,0.8930977101053116,-1.665517957646911,3.809571945987738e-05,3131,34
"DecisionTreeRegressor(ccp_alpha=1.391281534424138e-13, random_state=0)",1.391281534424138e-13,0.8930977097148972,-1.665517957646911,3.809571959900554e-05,3129,34
"DecisionTreeRegressor(ccp_alpha=1.5750078324883177e-13, random_state=0)",1.5750078324883177e-13,0.8930977092729264,-1.665517957646911,3.809571975650632e-05,3127,34
"DecisionTreeRegressor(ccp_alpha=1.6459448387573516e-13, random_state=0)",1.6459448387573516e-13,0.8930977088110496,-1.665517957646911,3.809571992110081e-05,3125,34
"DecisionTreeRegressor(ccp_alpha=1.6965314569850066e-13, random_state=0)",1.6965314569850066e-13,0.8930977083349776,-1.665517957646911,3.809572009075395e-05,3123,34
"DecisionTreeRegressor(ccp_alpha=1.8120192846193817e-13, random_state=0)",1.8120192846193817e-13,0.8930977078264977,-1.665517957646911,3.809572027195588e-05,3121,34
"DecisionTreeRegressor(ccp_alpha=2.032030446685873e-13, random_state=0)",2.032030446685873e-13,0.8930977072562792,-1.6655203806468655,3.8095720475158924e-05,3119,34
"DecisionTreeRegressor(ccp_alpha=2.583007766010503e-13, random_state=0)",2.583007766010503e-13,0.8930977065314486,-1.6655203806468655,3.80957207334597e-05,3117,34
"DecisionTreeRegressor(ccp_alpha=3.4113815938763283e-13, random_state=0)",3.4113815938763283e-13,0.8930977055741642,-1.6655203806468655,3.8095721074597866e-05,3115,34
"DecisionTreeRegressor(ccp_alpha=3.57435157860575e-13, random_state=0)",3.57435157860575e-13,0.8930977045711479,-1.6655203806468655,3.809572143203302e-05,3113,34
"DecisionTreeRegressor(ccp_alpha=3.6551255078176583e-13, random_state=0)",3.6551255078176583e-13,0.893097703545465,-1.6655203806468655,3.8095721797545575e-05,3111,34
"DecisionTreeRegressor(ccp_alpha=3.938281298299096e-13, random_state=0)",3.938281298299096e-13,0.8930977024403244,-1.6655203806468655,3.8095722191373707e-05,3109,34
"DecisionTreeRegressor(ccp_alpha=4.576852785653784e-13, random_state=0)",4.576852785653784e-13,0.8930977011559911,-1.6655203806468655,3.809572264905899e-05,3107,34
"DecisionTreeRegressor(ccp_alpha=4.826532229440517e-13, random_state=0)",4.826532229440517e-13,0.8930976998015941,-1.6655135341133147,3.809572313171221e-05,3105,34
"DecisionTreeRegressor(ccp_alpha=4.940182984913832e-13, random_state=0)",4.940182984913832e-13,0.8930976984153056,-1.6655135341133147,3.809572362573051e-05,3103,34
"DecisionTreeRegressor(ccp_alpha=6.34782677810808e-13, random_state=0)",6.34782677810808e-13,0.8930976966340102,-1.6655154374223402,3.809572426051319e-05,3101,34
"DecisionTreeRegressor(ccp_alpha=6.678787384251095e-13, random_state=0)",6.678787384251095e-13,0.8930976947598417,-1.6655154374223402,3.8095724928391926e-05,3099,34
"DecisionTreeRegressor(ccp_alpha=7.332603274567972e-13, random_state=0)",7.332603274567972e-13,0.893097692702203,-1.6655154374223402,3.8095725661652255e-05,3097,34
"DecisionTreeRegressor(ccp_alpha=7.429805035097381e-13, random_state=0)",7.429805035097381e-13,0.8930976906172885,-1.6655154374223402,3.809572640463276e-05,3095,34
"DecisionTreeRegressor(ccp_alpha=9.166579995056878e-13, random_state=0)",9.166579995056878e-13,0.893097688045009,-1.6655154374223402,3.809572732129076e-05,3093,34
"DecisionTreeRegressor(ccp_alpha=9.695281383281794e-13, random_state=0)",9.695281383281794e-13,0.893097685324368,-1.6655154374223402,3.80957282908189e-05,3091,34
"DecisionTreeRegressor(ccp_alpha=1.0163815275521238e-12, random_state=0)",1.0163815275521238e-12,0.8930976824722493,-1.6655117277896156,3.8095729307200426e-05,3089,34
"DecisionTreeRegressor(ccp_alpha=1.1280019973636257e-12, random_state=0)",1.1280019973636257e-12,0.8930976793069069,-1.6655117277896156,3.809573043520242e-05,3087,34
"DecisionTreeRegressor(ccp_alpha=1.1287531326287237e-12, random_state=0)",1.1287531326287237e-12,0.8930976761394567,-1.6655117277896156,3.809573156395555e-05,3085,34
"DecisionTreeRegressor(ccp_alpha=1.1731291632566255e-12, random_state=0)",1.1731291632566255e-12,0.8930976728474811,-1.6655008267301716,3.809573273708472e-05,3083,34
"DecisionTreeRegressor(ccp_alpha=1.2876113369975073e-12, random_state=0)",1.2876113369975073e-12,0.8930976692342512,-1.6655053733418175,3.8095734024696053e-05,3081,34
"DecisionTreeRegressor(ccp_alpha=1.3337527610124411e-12, random_state=0)",1.3337527610124411e-12,0.8930976654915412,-1.6655053733418175,3.8095735358448816e-05,3079,34
"DecisionTreeRegressor(ccp_alpha=1.3378842478317665e-12, random_state=0)",1.3378842478317665e-12,0.8930976617372377,-1.6655053733418175,3.809573669633307e-05,3077,34
"DecisionTreeRegressor(ccp_alpha=1.46034049436361e-12, random_state=0)",1.46034049436361e-12,0.8930976576393038,-1.6655053733418175,3.809573815667356e-05,3075,34
"DecisionTreeRegressor(ccp_alpha=1.5739815353854602e-12, random_state=0)",1.5739815353854602e-12,0.893097653222476,-1.6655025042366636,3.8095739730655095e-05,3073,34
"DecisionTreeRegressor(ccp_alpha=1.7592190898474414e-12, random_state=0)",1.7592190898474414e-12,0.8930976482858441,-1.6655025042366636,3.809574148987419e-05,3071,34
"DecisionTreeRegressor(ccp_alpha=1.8078511604402436e-12, random_state=0)",1.8078511604402436e-12,0.8930976432127433,-1.6654990058591128,3.8095743297725345e-05,3069,34
"DecisionTreeRegressor(ccp_alpha=1.993505274050511e-12, random_state=0)",1.993505274050511e-12,0.8930976376186692,-1.665490009088749,3.809574529123062e-05,3067,34
"DecisionTreeRegressor(ccp_alpha=2.0472760986489648e-12, random_state=0)",2.0472760986489648e-12,0.893097631873706,-1.6654871678190712,3.809574733850672e-05,3065,34
"DecisionTreeRegressor(ccp_alpha=2.1424500368238954e-12, random_state=0)",2.1424500368238954e-12,0.8930976258616707,-1.6654871678190712,3.8095749480956755e-05,3063,34
"DecisionTreeRegressor(ccp_alpha=2.2207778324623284e-12, random_state=0)",2.2207778324623284e-12,0.8930976196298349,-1.6654871678190712,3.809575170173459e-05,3061,34
"DecisionTreeRegressor(ccp_alpha=2.3740204593836187e-12, random_state=0)",2.3740204593836187e-12,0.8930976129679782,-1.6654871678190712,3.809575407575505e-05,3059,34
"DecisionTreeRegressor(ccp_alpha=2.4780944657409875e-12, random_state=0)",2.4780944657409875e-12,0.8930976060140741,-1.6654871678190712,3.8095756553849516e-05,3057,34
"DecisionTreeRegressor(ccp_alpha=2.4920281116447283e-12, random_state=0)",2.4920281116447283e-12,0.8930975990210702,-1.6654871678190712,3.8095759045877625e-05,3055,34
"DecisionTreeRegressor(ccp_alpha=2.596350842654083e-12, random_state=0)",2.596350842654083e-12,0.8930975917353213,-1.6654871678190712,3.809576164222847e-05,3053,34
"DecisionTreeRegressor(ccp_alpha=2.9403123338878066e-12, random_state=0)",2.9403123338878066e-12,0.8930975834843644,-1.6654871678190712,3.80957645825408e-05,3051,34
"DecisionTreeRegressor(ccp_alpha=2.992069543517051e-12, random_state=0)",2.992069543517051e-12,0.8930975750881696,-1.665483917589551,3.8095767574610345e-05,3049,34
"DecisionTreeRegressor(ccp_alpha=3.276799977192102e-12, random_state=0)",3.276799977192102e-12,0.8930975658929784,-1.665483917589551,3.809577085141032e-05,3047,34
"DecisionTreeRegressor(ccp_alpha=3.3696078566292086e-12, random_state=0)",3.3696078566292086e-12,0.8930975564373541,-1.665483917589551,3.8095774221018175e-05,3045,34
"DecisionTreeRegressor(ccp_alpha=3.4217280744930355e-12, random_state=0)",3.4217280744930355e-12,0.8930975468354733,-1.665483917589551,3.809577764274625e-05,3043,34
"DecisionTreeRegressor(ccp_alpha=3.720937516438206e-12, random_state=0)",3.720937516438206e-12,0.8930975363939658,-1.665483917589551,3.809578136368377e-05,3041,34
"DecisionTreeRegressor(ccp_alpha=3.770319195739447e-12, random_state=0)",3.770319195739447e-12,0.8930975258138865,-1.665483917589551,3.8095785134002965e-05,3039,34
"DecisionTreeRegressor(ccp_alpha=3.845457875739644e-12, random_state=0)",3.845457875739644e-12,0.8930975150229564,-1.665483917589551,3.809578897946084e-05,3037,34
"DecisionTreeRegressor(ccp_alpha=3.880897998798094e-12, random_state=0)",3.880897998798094e-12,0.8930975041325758,-1.665483917589551,3.8095792860358836e-05,3035,34
"DecisionTreeRegressor(ccp_alpha=3.997378088260728e-12, random_state=0)",3.997378088260728e-12,0.8930974929153346,-1.6654764963178676,3.809579685773692e-05,3033,34
"DecisionTreeRegressor(ccp_alpha=4.1695500350991125e-12, random_state=0)",4.1695500350991125e-12,0.8930974812149532,-1.6654764963178676,3.8095801027286954e-05,3031,34
"DecisionTreeRegressor(ccp_alpha=4.6071301981753794e-12, random_state=0)",4.6071301981753794e-12,0.8930974682866566,-1.6654747132832144,3.809580563441715e-05,3029,34
"DecisionTreeRegressor(ccp_alpha=4.8329404714331226e-12, random_state=0)",4.8329404714331226e-12,0.8930974547247024,-1.6654747132832144,3.809581046735762e-05,3027,34
"DecisionTreeRegressor(ccp_alpha=5.305653104359376e-12, random_state=0)",5.305653104359376e-12,0.8930974398362457,-1.6654747132832144,3.809581577301073e-05,3025,34
"DecisionTreeRegressor(ccp_alpha=5.334194475015152e-12, random_state=0)",5.334194475015152e-12,0.8930974248676975,-1.6654747132832144,3.8095821107205206e-05,3023,34
"DecisionTreeRegressor(ccp_alpha=5.363631309929229e-12, random_state=0)",5.363631309929229e-12,0.8930974098165455,-1.6654758365327362,3.809582647083652e-05,3021,34
"DecisionTreeRegressor(ccp_alpha=5.43757754101204e-12, random_state=0)",5.43757754101204e-12,0.8930973945578892,-1.6654758365327362,3.809583190841406e-05,3019,34
"DecisionTreeRegressor(ccp_alpha=5.616276072678561e-12, random_state=0)",5.616276072678561e-12,0.893097378797778,-1.6654758365327362,3.809583752469013e-05,3017,34
"DecisionTreeRegressor(ccp_alpha=5.6448000093634046e-12, random_state=0)",5.6448000093634046e-12,0.8930973629576243,-1.6654758365327362,3.809584316949014e-05,3015,34
"DecisionTreeRegressor(ccp_alpha=5.8055281415558826e-12, random_state=0)",5.8055281415558826e-12,0.8930973466664436,-1.6654758365327362,3.8095848975018284e-05,3013,34
"DecisionTreeRegressor(ccp_alpha=5.946076096774444e-12, random_state=0)",5.946076096774444e-12,0.8930973299808642,-1.6654758365327362,3.809585492109438e-05,3011,34
"DecisionTreeRegressor(ccp_alpha=6.54767578697757e-12, random_state=0)",6.54767578697757e-12,0.893097311607106,-1.6654758365327362,3.8095861468770167e-05,3009,34
"DecisionTreeRegressor(ccp_alpha=6.5811919802705175e-12, random_state=0)",6.5811919802705175e-12,0.8930972931392964,-1.6654758365327362,3.8095868049962145e-05,3007,34
"DecisionTreeRegressor(ccp_alpha=6.9326889368115375e-12, random_state=0)",6.9326889368115375e-12,0.8930972736851336,-1.6654899206305602,3.809587498265108e-05,3005,34
"DecisionTreeRegressor(ccp_alpha=7.556328271429713e-12, random_state=0)",7.556328271429713e-12,0.8930972524809461,-1.6654864593671141,3.809588253897935e-05,3003,34
"DecisionTreeRegressor(ccp_alpha=7.900537689342624e-12, random_state=0)",7.900537689342624e-12,0.8930972303108555,-1.6654909194607521,3.8095890439517036e-05,3001,34
"DecisionTreeRegressor(ccp_alpha=8.012319280270574e-12, random_state=0)",8.012319280270574e-12,0.8930972078270888,-1.6654907403887718,3.809589845183632e-05,2999,34
"DecisionTreeRegressor(ccp_alpha=8.381441513050092e-12, random_state=0)",8.381441513050092e-12,0.8930971843075095,-1.6654907403887718,3.809590683327783e-05,2997,34
"DecisionTreeRegressor(ccp_alpha=8.425512509901978e-12, random_state=0)",8.425512509901978e-12,0.8930971606642606,-1.6654907403887718,3.809591525879034e-05,2995,34
"DecisionTreeRegressor(ccp_alpha=8.535679003884854e-12, random_state=0)",8.535679003884854e-12,0.8930971367118679,-1.6654907403887718,3.809592379446935e-05,2993,34
"DecisionTreeRegressor(ccp_alpha=8.538778087374688e-12, random_state=0)",8.538778087374688e-12,0.8930971127507786,-1.6654907403887718,3.809593233324744e-05,2991,34
"DecisionTreeRegressor(ccp_alpha=8.728886502495926e-12, random_state=0)",8.728886502495926e-12,0.8930970882562167,-1.6654907403887718,3.809594106213394e-05,2989,34
"DecisionTreeRegressor(ccp_alpha=8.767578225932214e-12, random_state=0)",8.767578225932214e-12,0.8930970636530804,-1.6654907403887718,3.809594982971216e-05,2987,34
"DecisionTreeRegressor(ccp_alpha=8.904200016202068e-12, random_state=0)",8.904200016202068e-12,0.8930970386665626,-1.6654907403887718,3.809595873391218e-05,2985,34
"DecisionTreeRegressor(ccp_alpha=8.999403097731395e-12, random_state=0)",8.999403097731395e-12,0.8930970134128907,-1.6654907403887718,3.8095967733315276e-05,2983,34
"DecisionTreeRegressor(ccp_alpha=9.425396504947337e-12, random_state=0)",9.425396504947337e-12,0.8930969869638176,-1.6654907403887718,3.809597715871178e-05,2981,34
"DecisionTreeRegressor(ccp_alpha=9.64812629095091e-12, random_state=0)",9.64812629095091e-12,0.8930969598897314,-1.6654907403887718,3.8095986806838074e-05,2979,34
"DecisionTreeRegressor(ccp_alpha=9.665705302114302e-12, random_state=0)",9.665705302114302e-12,0.8930969327663159,-1.6655018574995237,3.8095996472543376e-05,2977,34
"DecisionTreeRegressor(ccp_alpha=9.795844552185073e-12, random_state=0)",9.795844552185073e-12,0.8930969052777101,-1.6655018574995237,3.809600626838793e-05,2975,34
"DecisionTreeRegressor(ccp_alpha=9.912378105825238e-12, random_state=0)",9.912378105825238e-12,0.8930968774620937,-1.6655018574995237,3.809601618076604e-05,2973,34
"DecisionTreeRegressor(ccp_alpha=9.912378140519706e-12, random_state=0)",9.912378140519706e-12,0.8930968496464773,-1.6654796634195117,3.809602609314418e-05,2971,34
"DecisionTreeRegressor(ccp_alpha=1.0128375291240665e-11, random_state=0)",1.0128375291240665e-11,0.8930968212247405,-1.6654767089981393,3.809603622151947e-05,2969,34
"DecisionTreeRegressor(ccp_alpha=1.0310340428643094e-11, random_state=0)",1.0310340428643094e-11,0.893096792292382,-1.6654767089981393,3.8096046531859904e-05,2967,34
"DecisionTreeRegressor(ccp_alpha=1.0374034860316517e-11, random_state=0)",1.0374034860316517e-11,0.8930967631812873,-1.6654397888189765,3.809605690589477e-05,2965,34
"DecisionTreeRegressor(ccp_alpha=1.1388378122478838e-11, random_state=0)",1.1388378122478838e-11,0.893096731223794,-1.6654274989829485,3.809606829427289e-05,2963,34
"DecisionTreeRegressor(ccp_alpha=1.2417636155448441e-11, random_state=0)",1.2417636155448441e-11,0.8930966963780487,-1.6654274989829485,3.809608071190904e-05,2961,34
"DecisionTreeRegressor(ccp_alpha=1.2517506510489884e-11, random_state=0)",1.2517506510489884e-11,0.8930966612520532,-1.6654170844098681,3.809609322941555e-05,2959,34
"DecisionTreeRegressor(ccp_alpha=1.3356696061672667e-11, random_state=0)",1.3356696061672667e-11,0.893096623771165,-1.6654170844098681,3.809610658611161e-05,2957,34
"DecisionTreeRegressor(ccp_alpha=1.443725108213334e-11, random_state=0)",1.443725108213334e-11,0.8930965832580778,-1.6654116492529822,3.8096121023362693e-05,2955,34
"DecisionTreeRegressor(ccp_alpha=1.4585400179289997e-11, random_state=0)",1.4585400179289997e-11,0.8930965423292613,-1.6654116492529822,3.8096135608762876e-05,2953,34
"DecisionTreeRegressor(ccp_alpha=1.5028903260771996e-11, random_state=0)",1.5028903260771996e-11,0.89309650015591,-1.6654116492529822,3.8096150637666135e-05,2951,34
"DecisionTreeRegressor(ccp_alpha=1.5118125813728955e-11, random_state=0)",1.5118125813728955e-11,0.8930964577321866,-1.6654146314008949,3.809616575579195e-05,2949,34
"DecisionTreeRegressor(ccp_alpha=1.5290450051941295e-11, random_state=0)",1.5290450051941295e-11,0.8930964148248957,-1.6654146314008949,3.8096181046242e-05,2947,34
"DecisionTreeRegressor(ccp_alpha=1.5480438979309508e-11, random_state=0)",1.5480438979309508e-11,0.8930963713844671,-1.6654146314008949,3.809619652668098e-05,2945,34
"DecisionTreeRegressor(ccp_alpha=1.5575175905946372e-11, random_state=0)",1.5575175905946372e-11,0.893096327678193,-1.6654146314008949,3.809621210185689e-05,2943,34
"DecisionTreeRegressor(ccp_alpha=1.580906457826492e-11, random_state=0)",1.580906457826492e-11,0.8930962833155922,-1.6653936973142334,3.809622791092147e-05,2941,34
"DecisionTreeRegressor(ccp_alpha=1.5873826836321215e-11, random_state=0)",1.5873826836321215e-11,0.8930962387712588,-1.6653936973142334,3.8096243784748304e-05,2939,34
"DecisionTreeRegressor(ccp_alpha=1.6186837425991027e-11, random_state=0)",1.6186837425991027e-11,0.8930961933485703,-1.6653936973142334,3.809625997158573e-05,2937,34
"DecisionTreeRegressor(ccp_alpha=1.6344902861731292e-11, random_state=0)",1.6344902861731292e-11,0.8930961474823261,-1.66540806542706,3.809627631648859e-05,2935,34
"DecisionTreeRegressor(ccp_alpha=1.7814096794910307e-11, random_state=0)",1.7814096794910307e-11,0.8930960974933039,-1.6654129166888767,3.809629413058539e-05,2933,34
"DecisionTreeRegressor(ccp_alpha=1.807658127350731e-11, random_state=0)",1.807658127350731e-11,0.8930960467677116,-1.6654129166888767,3.8096312207166664e-05,2931,34
"DecisionTreeRegressor(ccp_alpha=1.8296712825383032e-11, random_state=0)",1.8296712825383032e-11,0.8930959954243974,-1.6654129166888767,3.809633050387949e-05,2929,34
"DecisionTreeRegressor(ccp_alpha=1.866605026795698e-11, random_state=0)",1.866605026795698e-11,0.8930959430446677,-1.6654129166888767,3.8096349169929755e-05,2927,34
"DecisionTreeRegressor(ccp_alpha=1.9303791100322434e-11, random_state=0)",1.9303791100322434e-11,0.893095888875341,-1.6654129166888767,3.809636847372086e-05,2925,34
"DecisionTreeRegressor(ccp_alpha=2.1098437753830358e-11, random_state=0)",2.1098437753830358e-11,0.8930958296699671,-1.6654129166888767,3.809638957215861e-05,2923,34
"DecisionTreeRegressor(ccp_alpha=2.1120125405504895e-11, random_state=0)",2.1120125405504895e-11,0.893095770403735,-1.6654129166888767,3.8096410692284016e-05,2921,34
"DecisionTreeRegressor(ccp_alpha=2.1319349861881333e-11, random_state=0)",2.1319349861881333e-11,0.8930957105784484,-1.665355194786899,3.809643201163388e-05,2919,34
"DecisionTreeRegressor(ccp_alpha=2.2119563264366704e-11, random_state=0)",2.2119563264366704e-11,0.8930956485076436,-1.665355194786899,3.809645413119714e-05,2917,34
"DecisionTreeRegressor(ccp_alpha=2.2445000025239636e-11, random_state=0)",2.2445000025239636e-11,0.8930955855236147,-1.6653541970669483,3.809647657619717e-05,2915,34
"DecisionTreeRegressor(ccp_alpha=2.3472926172218855e-11, random_state=0)",2.3472926172218855e-11,0.8930955196550714,-1.6653541970669483,3.809650004912334e-05,2913,34
"DecisionTreeRegressor(ccp_alpha=2.4194707071156783e-11, random_state=0)",2.4194707071156783e-11,0.8930954517611027,-1.6653541970669483,3.809652424383041e-05,2911,34
"DecisionTreeRegressor(ccp_alpha=2.473506115208135e-11, random_state=0)",2.473506115208135e-11,0.8930953823508195,-1.6653541970669483,3.8096548978891564e-05,2909,34
"DecisionTreeRegressor(ccp_alpha=2.5293828143091444e-11, random_state=0)",2.5293828143091444e-11,0.8930953113725526,-1.6653541970669483,3.8096574272719706e-05,2907,34
