models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9985152934438887,-1.1371021828769514,1.8388068845354164e-18,3153,34
"DecisionTreeRegressor(ccp_alpha=3.527872438624513e-15, random_state=0)",3.527872438624513e-15,0.998515293430925,-1.1371022772954982,3.5297112455090485e-15,3151,34
"DecisionTreeRegressor(ccp_alpha=3.8711533978386115e-14, random_state=0)",3.8711533978386115e-14,0.9985152932886787,-1.1371022772954982,4.2241245223895166e-14,3149,34
"DecisionTreeRegressor(ccp_alpha=4.945511014597947e-14, random_state=0)",4.945511014597947e-14,0.998515293106955,-1.137104648324514,9.169635536987464e-14,3147,34
"DecisionTreeRegressor(ccp_alpha=8.302816767447042e-14, random_state=0)",8.302816767447042e-14,0.9985152928018666,-1.137104648324514,1.7472452304434505e-13,3145,34
"DecisionTreeRegressor(ccp_alpha=1.6287780152390852e-13, random_state=0)",1.6287780152390852e-13,0.9985152922033691,-1.137104648324514,3.3760232456825355e-13,3143,34
"DecisionTreeRegressor(ccp_alpha=1.7140511232582868e-13, random_state=0)",1.7140511232582868e-13,0.9985152915735377,-1.137104648324514,5.090074368940822e-13,3141,34
"DecisionTreeRegressor(ccp_alpha=2.493945328030378e-13, random_state=0)",2.493945328030378e-13,0.9985152906571328,-1.137104648324514,7.5840196969712e-13,3139,34
"DecisionTreeRegressor(ccp_alpha=4.034264936003673e-13, random_state=0)",4.034264936003673e-13,0.9985152891747344,-1.137096014420202,1.1618284632974874e-12,3137,34
"DecisionTreeRegressor(ccp_alpha=7.104320777495677e-13, random_state=0)",7.104320777495677e-13,0.9985152865642386,-1.137096014420202,1.872260541047055e-12,3135,34
"DecisionTreeRegressor(ccp_alpha=7.375051264135734e-13, random_state=0)",7.375051264135734e-13,0.9985152838542621,-1.137096014420202,2.6097656674606284e-12,3133,34
"DecisionTreeRegressor(ccp_alpha=7.65703160598985e-13, random_state=0)",7.65703160598985e-13,0.9985152810406716,-1.137096014420202,3.3754688280596135e-12,3131,34
"DecisionTreeRegressor(ccp_alpha=9.23780166944832e-13, random_state=0)",9.23780166944832e-13,0.9985152776462235,-1.1370883181655005,4.2992489950044456e-12,3129,34
