models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,1.0,-1.8061742439474195,5.0766682524461224e-17,3181,39
"DecisionTreeRegressor(ccp_alpha=9.4617022550203e-16, random_state=0)",9.4617022550203e-16,0.9999999999990038,-1.8061742439474195,9.969369080264912e-16,3179,39
"DecisionTreeRegressor(ccp_alpha=5.408069825296735e-15, random_state=0)",5.408069825296735e-15,0.9999999999933097,-1.8061741044069608,6.4050067333232266e-15,3177,39
"DecisionTreeRegressor(ccp_alpha=7.472529539587214e-15, random_state=0)",7.472529539587214e-15,0.9999999999854419,-1.806174084874364,1.387753627291044e-14,3175,39
"DecisionTreeRegressor(ccp_alpha=9.55653958745195e-15, random_state=0)",9.55653958745195e-15,0.9999999999753797,-1.806174084874364,2.343407586036239e-14,3173,39
"DecisionTreeRegressor(ccp_alpha=1.1781062236870809e-14, random_state=0)",1.1781062236870809e-14,0.9999999999629753,-1.806174084874364,3.5215138097233195e-14,3171,39
"DecisionTreeRegressor(ccp_alpha=1.5931214680797722e-14, random_state=0)",1.5931214680797722e-14,0.9999999999462013,-1.806174084874364,5.114635277803092e-14,3169,39
"DecisionTreeRegressor(ccp_alpha=2.236610202599465e-14, random_state=0)",2.236610202599465e-14,0.9999999999226519,-1.806174084874364,7.351245480402557e-14,3167,38
"DecisionTreeRegressor(ccp_alpha=5.420277074397184e-14, random_state=0)",5.420277074397184e-14,0.9999999998655814,-1.806174084874364,1.2771522554799742e-13,3165,38
"DecisionTreeRegressor(ccp_alpha=5.420282278567612e-14, random_state=0)",5.420282278567612e-14,0.999999999808511,-1.8061737640667106,1.8191804833367354e-13,3163,38
"DecisionTreeRegressor(ccp_alpha=6.679512845608749e-14, random_state=0)",6.679512845608749e-14,0.999999999738182,-1.8061738392916373,2.4871317678976103e-13,3161,38
"DecisionTreeRegressor(ccp_alpha=7.031252316491709e-14, random_state=0)",7.031252316491709e-14,0.9999999996641494,-1.8061739107098256,3.1902569995467813e-13,3159,38
"DecisionTreeRegressor(ccp_alpha=7.219993700124938e-14, random_state=0)",7.219993700124938e-14,0.9999999995881297,-1.8061739107098256,3.912256369559275e-13,3157,38
"DecisionTreeRegressor(ccp_alpha=7.220000639018842e-14, random_state=0)",7.220000639018842e-14,0.9999999995121098,-1.8061739107098256,4.634256433461159e-13,3155,38
"DecisionTreeRegressor(ccp_alpha=7.732285298156504e-14, random_state=0)",7.732285298156504e-14,0.9999999994306962,-1.8061739107098256,5.40748496327681e-13,3153,38
"DecisionTreeRegressor(ccp_alpha=1.2078595068576448e-13, random_state=0)",1.2078595068576448e-13,0.9999999993035197,-1.8061739107098256,6.615344470134455e-13,3151,38
"DecisionTreeRegressor(ccp_alpha=3.049804159216407e-13, random_state=0)",3.049804159216407e-13,0.9999999989824038,-1.8061745561250175,9.665148629350862e-13,3149,38
"DecisionTreeRegressor(ccp_alpha=3.532201094114118e-13, random_state=0)",3.532201094114118e-13,0.999999998610496,-1.8061745561250175,1.319734972346498e-12,3147,38
"DecisionTreeRegressor(ccp_alpha=3.878602647389151e-13, random_state=0)",3.878602647389151e-13,0.9999999982021156,-1.8061745561250175,1.707595237085413e-12,3145,38
"DecisionTreeRegressor(ccp_alpha=4.095125107073105e-13, random_state=0)",4.095125107073105e-13,0.9999999977709373,-1.8061751979472493,2.1171077477927234e-12,3143,38
"DecisionTreeRegressor(ccp_alpha=5.22241954542535e-13, random_state=0)",5.22241954542535e-13,0.9999999972210654,-1.8061751979472493,2.6393497023352584e-12,3141,38
"DecisionTreeRegressor(ccp_alpha=5.599465335848207e-13, random_state=0)",5.599465335848207e-13,0.9999999966314941,-1.8061751979472493,3.199296235920079e-12,3139,38
"DecisionTreeRegressor(ccp_alpha=6.498000575116958e-13, random_state=0)",6.498000575116958e-13,0.9999999959473156,-1.8061731577891282,3.849096293431775e-12,3137,38
"DecisionTreeRegressor(ccp_alpha=6.739605748484756e-13, random_state=0)",6.739605748484756e-13,0.9999999952376983,-1.8061731577891282,4.52305686828025e-12,3135,38
"DecisionTreeRegressor(ccp_alpha=7.215007757910286e-13, random_state=0)",7.215007757910286e-13,0.9999999944780257,-1.8061731577891282,5.2445576440712786e-12,3133,38
"DecisionTreeRegressor(ccp_alpha=8.914463785203441e-13, random_state=0)",8.914463785203441e-13,0.9999999935394163,-1.8061761282952022,6.136004022591623e-12,3131,38
"DecisionTreeRegressor(ccp_alpha=8.986139610200894e-13, random_state=0)",8.986139610200894e-13,0.9999999925932599,-1.8061761282952022,7.0346179836117125e-12,3129,38
"DecisionTreeRegressor(ccp_alpha=1.0188780548425757e-12, random_state=0)",1.0188780548425757e-12,0.9999999915204767,-1.8061761282952022,8.053496038454288e-12,3127,38
"DecisionTreeRegressor(ccp_alpha=1.0577851095039392e-12, random_state=0)",1.0577851095039392e-12,0.999999990406728,-1.8061761282952022,9.111281147958227e-12,3125,38
"DecisionTreeRegressor(ccp_alpha=1.1126589927190622e-12, random_state=0)",1.1126589927190622e-12,0.9999999892352023,-1.8061761282952022,1.022394014067729e-11,3123,38
"DecisionTreeRegressor(ccp_alpha=1.1574811248360463e-12, random_state=0)",1.1574811248360463e-12,0.9999999880164832,-1.8061761282952022,1.1381421265513336e-11,3121,38
"DecisionTreeRegressor(ccp_alpha=1.172746049576956e-12, random_state=0)",1.172746049576956e-12,0.9999999867816913,-1.8061707513714098,1.2554167315090293e-11,3119,38
"DecisionTreeRegressor(ccp_alpha=1.1777288519421169e-12, random_state=0)",1.1777288519421169e-12,0.9999999855416533,-1.8061707513714098,1.373189616703241e-11,3117,38
"DecisionTreeRegressor(ccp_alpha=1.2074579877618952e-12, random_state=0)",1.2074579877618952e-12,0.9999999842703131,-1.8061707513714098,1.4939354154794306e-11,3115,38
"DecisionTreeRegressor(ccp_alpha=1.2074580744980689e-12, random_state=0)",1.2074580744980689e-12,0.999999982998973,-1.8061707513714098,1.6146812229292374e-11,3113,38
"DecisionTreeRegressor(ccp_alpha=1.5993661256485937e-12, random_state=0)",1.5993661256485937e-12,0.9999999813149903,-1.8061707513714098,1.774617835494097e-11,3111,38
"DecisionTreeRegressor(ccp_alpha=1.619999846075304e-12, random_state=0)",1.619999846075304e-12,0.9999999796092821,-1.806172138140091,1.9366178201016273e-11,3109,38
"DecisionTreeRegressor(ccp_alpha=1.6443910816343888e-12, random_state=0)",1.6443910816343888e-12,0.9999999778778923,-1.806172138140091,2.101056928265066e-11,3107,38
"DecisionTreeRegressor(ccp_alpha=1.6689645325473902e-12, random_state=0)",1.6689645325473902e-12,0.9999999761206291,-1.806172138140091,2.2679533815198053e-11,3105,38
"DecisionTreeRegressor(ccp_alpha=1.6712490245873734e-12, random_state=0)",1.6712490245873734e-12,0.9999999743609604,-1.806172138140091,2.4350782839785428e-11,3103,38
"DecisionTreeRegressor(ccp_alpha=1.7010901541547607e-12, random_state=0)",1.7010901541547607e-12,0.9999999725698718,-1.806172138140091,2.605187299394019e-11,3101,38
"DecisionTreeRegressor(ccp_alpha=1.726545365010601e-12, random_state=0)",1.726545365010601e-12,0.9999999707519801,-1.806172138140091,2.7778418358950792e-11,3099,38
"DecisionTreeRegressor(ccp_alpha=1.78227198624481e-12, random_state=0)",1.78227198624481e-12,0.9999999688754148,-1.806172138140091,2.9560690345195604e-11,3097,38
"DecisionTreeRegressor(ccp_alpha=1.879375717550591e-12, random_state=0)",1.879375717550591e-12,0.9999999668966081,-1.806172138140091,3.1440066062746195e-11,3095,38
"DecisionTreeRegressor(ccp_alpha=1.9198200321146606e-12, random_state=0)",1.9198200321146606e-12,0.9999999648752174,-1.806172138140091,3.3359886094860853e-11,3093,38
"DecisionTreeRegressor(ccp_alpha=1.9820253771563043e-12, random_state=0)",1.9820253771563043e-12,0.9999999627883304,-1.8061702725614999,3.534191147201716e-11,3091,38
"DecisionTreeRegressor(ccp_alpha=2.068577999864152e-12, random_state=0)",2.068577999864152e-12,0.9999999606103115,-1.8061702725614999,3.741048947188131e-11,3089,38
"DecisionTreeRegressor(ccp_alpha=2.0741752586317384e-12, random_state=0)",2.0741752586317384e-12,0.9999999584263993,-1.8061702458403075,3.948466473051305e-11,3087,38
"DecisionTreeRegressor(ccp_alpha=2.0856510962730113e-12, random_state=0)",2.0856510962730113e-12,0.9999999562304042,-1.8061702458403075,4.157031582678606e-11,3085,37
"DecisionTreeRegressor(ccp_alpha=2.086413802143694e-12, random_state=0)",2.086413802143694e-12,0.9999999540336059,-1.8061702458403075,4.3656729628929757e-11,3083,37
"DecisionTreeRegressor(ccp_alpha=2.089990108061768e-12, random_state=0)",2.089990108061768e-12,0.9999999518330421,-1.8061702458403075,4.5746719736991524e-11,3081,37
"DecisionTreeRegressor(ccp_alpha=2.1176820193258284e-12, random_state=0)",2.1176820193258284e-12,0.9999999496033214,-1.806169447569995,4.786440175631735e-11,3079,37
"DecisionTreeRegressor(ccp_alpha=2.154369026924341e-12, random_state=0)",2.154369026924341e-12,0.9999999473349727,-1.8061721613098496,5.0018770783241696e-11,3077,37
"DecisionTreeRegressor(ccp_alpha=2.2387280224078766e-12, random_state=0)",2.2387280224078766e-12,0.9999999449778019,-1.8061721613098496,5.225749880564957e-11,3075,37
"DecisionTreeRegressor(ccp_alpha=2.3560777807907216e-12, random_state=0)",2.3560777807907216e-12,0.9999999424970727,-1.8061721613098496,5.4613576586440296e-11,3073,37
"DecisionTreeRegressor(ccp_alpha=2.877000807727237e-12, random_state=0)",2.877000807727237e-12,0.9999999394678604,-1.8061721613098496,5.7490577394167534e-11,3071,37
"DecisionTreeRegressor(ccp_alpha=2.892012618965767e-12, random_state=0)",2.892012618965767e-12,0.9999999364228421,-1.8061721613098496,6.03825900131333e-11,3069,37
"DecisionTreeRegressor(ccp_alpha=3.1450319952497363e-12, random_state=0)",3.1450319952497363e-12,0.9999999331114181,-1.8061721613098496,6.352762200838303e-11,3067,37
"DecisionTreeRegressor(ccp_alpha=3.291536453120525e-12, random_state=0)",3.291536453120525e-12,0.9999999296457386,-1.8061721613098496,6.681915846150355e-11,3065,37
"DecisionTreeRegressor(ccp_alpha=3.4119249786579432e-12, random_state=0)",3.4119249786579432e-12,0.9999999260533011,-1.8061677125579907,7.02310834401615e-11,3063,37
"DecisionTreeRegressor(ccp_alpha=3.4158445516574433e-12, random_state=0)",3.4158445516574433e-12,0.999999922456737,-1.8061677125579907,7.364692799181895e-11,3061,37
"DecisionTreeRegressor(ccp_alpha=3.4197662757140535e-12, random_state=0)",3.4197662757140535e-12,0.9999999188560434,-1.8061677125579907,7.7066694267533e-11,3059,37
"DecisionTreeRegressor(ccp_alpha=3.514563275824889e-12, random_state=0)",3.514563275824889e-12,0.9999999151555375,-1.8061677125579907,8.058125754335789e-11,3057,37
"DecisionTreeRegressor(ccp_alpha=3.750375721783828e-12, random_state=0)",3.750375721783828e-12,0.9999999112067433,-1.8061677125579907,8.433163326514172e-11,3055,37
"DecisionTreeRegressor(ccp_alpha=3.839913387260196e-12, random_state=0)",3.839913387260196e-12,0.9999999071636744,-1.8061677125579907,8.817154665240192e-11,3053,37
"DecisionTreeRegressor(ccp_alpha=4.199926587067359e-12, random_state=0)",4.199926587067359e-12,0.9999999027415452,-1.8061684658323602,9.237147323946928e-11,3051,37
"DecisionTreeRegressor(ccp_alpha=4.702477747475786e-12, random_state=0)",4.702477747475786e-12,0.9999998977902766,-1.8061684658323602,9.707395098694507e-11,3049,37
"DecisionTreeRegressor(ccp_alpha=5.472259034799976e-12, random_state=0)",5.472259034799976e-12,0.9999998920285006,-1.8061684658323602,1.0254621002174505e-10,3047,37
"DecisionTreeRegressor(ccp_alpha=5.61460048592588e-12, random_state=0)",5.61460048592588e-12,0.9999998861168523,-1.8061656564165491,1.0816081050767093e-10,3045,37
"DecisionTreeRegressor(ccp_alpha=5.684349050488758e-12, random_state=0)",5.684349050488758e-12,0.9999998801317654,-1.8061567427654368,1.1384515955815969e-10,3043,37
"DecisionTreeRegressor(ccp_alpha=5.975524779849862e-12, random_state=0)",5.975524779849862e-12,0.9999998738400974,-1.8061567427654368,1.1982068433800956e-10,3041,37
"DecisionTreeRegressor(ccp_alpha=5.98147571403973e-12, random_state=0)",5.98147571403973e-12,0.9999998675421639,-1.8061567427654368,1.2580216005204928e-10,3039,37
"DecisionTreeRegressor(ccp_alpha=6.21545644813315e-12, random_state=0)",6.21545644813315e-12,0.9999998609978704,-1.8061567427654368,1.3201761650018244e-10,3037,37
"DecisionTreeRegressor(ccp_alpha=6.262260501821437e-12, random_state=0)",6.262260501821437e-12,0.9999998544042968,-1.8061567427654368,1.3827987700200388e-10,3035,37
"DecisionTreeRegressor(ccp_alpha=6.80620507870211e-12, random_state=0)",6.80620507870211e-12,0.9999998472380005,-1.8061567427654368,1.4508608208070598e-10,3033,37
"DecisionTreeRegressor(ccp_alpha=7.1064500638262645e-12, random_state=0)",7.1064500638262645e-12,0.9999998397555745,-1.806151127549986,1.5219253214453224e-10,3031,37
"DecisionTreeRegressor(ccp_alpha=7.292380640316897e-12, random_state=0)",7.292380640316897e-12,0.9999998320773811,-1.806151127549986,1.5948491278484915e-10,3029,37
"DecisionTreeRegressor(ccp_alpha=7.308620323526195e-12, random_state=0)",7.308620323526195e-12,0.9999998243820887,-1.8061503709936617,1.6679353310837533e-10,3027,37
"DecisionTreeRegressor(ccp_alpha=8.093270307402146e-12, random_state=0)",8.093270307402146e-12,0.9999998158606334,-1.8061503709936617,1.7488680341577747e-10,3025,37
"DecisionTreeRegressor(ccp_alpha=8.317081121034243e-12, random_state=0)",8.317081121034243e-12,0.9999998071035262,-1.8061503709936617,1.8320388453681172e-10,3023,37
"DecisionTreeRegressor(ccp_alpha=9.135302046076045e-12, random_state=0)",9.135302046076045e-12,0.999999797484909,-1.8061503709936617,1.9233918658288777e-10,3021,37
"DecisionTreeRegressor(ccp_alpha=9.407528020477508e-12, random_state=0)",9.407528020477508e-12,0.9999997875796632,-1.8061503709936617,2.017467146033653e-10,3019,37
"DecisionTreeRegressor(ccp_alpha=9.563751162539048e-12, random_state=0)",9.563751162539048e-12,0.9999997775099294,-1.8061503709936617,2.1131046576590433e-10,3017,37
"DecisionTreeRegressor(ccp_alpha=9.713028506497245e-12, random_state=0)",9.713028506497245e-12,0.9999997672830208,-1.806152403356338,2.2102349427240158e-10,3015,37
"DecisionTreeRegressor(ccp_alpha=9.799164448626163e-12, random_state=0)",9.799164448626163e-12,0.9999997569654187,-1.806152403356338,2.3082265872102773e-10,3013,37
"DecisionTreeRegressor(ccp_alpha=1.0107639690504211e-11, random_state=0)",1.0107639690504211e-11,0.9999997463230211,-1.806152403356338,2.4093029841153194e-10,3011,37
"DecisionTreeRegressor(ccp_alpha=1.0580000001092495e-11, random_state=0)",1.0580000001092495e-11,0.9999997351832723,-1.806152403356338,2.515102984126244e-10,3009,37
"DecisionTreeRegressor(ccp_alpha=1.0897446122565267e-11, random_state=0)",1.0897446122565267e-11,0.9999997237092826,-1.806152403356338,2.624077445351897e-10,3007,37
