models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9965903044516721,-1.5697409708417878,2.4633073358870617e-18,3153,34
"DecisionTreeRegressor(ccp_alpha=3.612284082965545e-15, random_state=0)",3.612284082965545e-15,0.9965903044434048,-1.5697409708417878,3.614747390301432e-15,3151,34
"DecisionTreeRegressor(ccp_alpha=3.885079757903753e-14, random_state=0)",3.885079757903753e-14,0.9965903043544934,-1.5697395836910357,4.2465544969338966e-14,3149,34
"DecisionTreeRegressor(ccp_alpha=1.1834103141872278e-13, random_state=0)",1.1834103141872278e-13,0.9965903040836654,-1.5697410601449588,1.6080657638806174e-13,3147,34
"DecisionTreeRegressor(ccp_alpha=2.2899527760134043e-13, random_state=0)",2.2899527760134043e-13,0.9965903035596014,-1.5697410601449588,3.898018539894022e-13,3145,34
"DecisionTreeRegressor(ccp_alpha=3.0498048531057975e-13, random_state=0)",3.0498048531057975e-13,0.9965903028616424,-1.5697410601449588,6.947823392999819e-13,3143,34
"DecisionTreeRegressor(ccp_alpha=5.73788308533274e-13, random_state=0)",5.73788308533274e-13,0.9965903015485071,-1.5697410601449588,1.2685706478332558e-12,3141,34
"DecisionTreeRegressor(ccp_alpha=6.141090067024457e-13, random_state=0)",6.141090067024457e-13,0.9965903001430964,-1.5697410601449588,1.8826796545357015e-12,3139,34
"DecisionTreeRegressor(ccp_alpha=7.411530243695008e-13, random_state=0)",7.411530243695008e-13,0.9965902984469405,-1.5697438430844453,2.6238326789052025e-12,3137,34
"DecisionTreeRegressor(ccp_alpha=9.810502757390262e-13, random_state=0)",9.810502757390262e-13,0.9965902962017713,-1.569744748938939,3.6048829546442285e-12,3135,34
"DecisionTreeRegressor(ccp_alpha=1.0454581297891786e-12, random_state=0)",1.0454581297891786e-12,0.9965902938092027,-1.569744748938939,4.650341084433407e-12,3133,34
"DecisionTreeRegressor(ccp_alpha=1.2355919759565737e-12, random_state=0)",1.2355919759565737e-12,0.9965902909815056,-1.569744748938939,5.885933060389981e-12,3131,34
"DecisionTreeRegressor(ccp_alpha=1.5120605115215292e-12, random_state=0)",1.5120605115215292e-12,0.9965902875211003,-1.569744748938939,7.39799357191151e-12,3129,34
"DecisionTreeRegressor(ccp_alpha=1.5748687076655443e-12, random_state=0)",1.5748687076655443e-12,0.9965902839169559,-1.569744748938939,8.972862279577055e-12,3127,34
"DecisionTreeRegressor(ccp_alpha=1.716547633201504e-12, random_state=0)",1.716547633201504e-12,0.9965902799885745,-1.569744748938939,1.0689409912778558e-11,3125,34
"DecisionTreeRegressor(ccp_alpha=2.1751765492961093e-12, random_state=0)",2.1751765492961093e-12,0.996590275010604,-1.569744748938939,1.2864586462074668e-11,3123,34
"DecisionTreeRegressor(ccp_alpha=2.2029004662083017e-12, random_state=0)",2.2029004662083017e-12,0.9965902699691863,-1.569744748938939,1.506748692828297e-11,3121,34
