models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,0.9822524849828165,-1.9915790280555634,7.121039868884797e-18,3189,39
"DecisionTreeRegressor(ccp_alpha=3.003187976080568e-15, random_state=0)",3.003187976080568e-15,0.982252484979242,-1.9915793868811247,3.010309015949453e-15,3187,39
"DecisionTreeRegressor(ccp_alpha=3.120524671995639e-15, random_state=0)",3.120524671995639e-15,0.9822524849755279,-1.9915793868811247,6.130833687945092e-15,3185,39
"DecisionTreeRegressor(ccp_alpha=2.8084513881143637e-14, random_state=0)",2.8084513881143637e-14,0.9822524849421006,-1.9915793868811247,3.421534756908873e-14,3183,39
"DecisionTreeRegressor(ccp_alpha=2.850081282090855e-14, random_state=0)",2.850081282090855e-14,0.982252484908178,-1.9915793868811247,6.271616038999728e-14,3181,39
"DecisionTreeRegressor(ccp_alpha=3.5178786966794104e-14, random_state=0)",3.5178786966794104e-14,0.9822524848663068,-1.9915794004667249,9.789494735679139e-14,3179,39
"DecisionTreeRegressor(ccp_alpha=4.797254607447065e-14, random_state=0)",4.797254607447065e-14,0.982252484809208,-1.9915794004667249,1.4586749343126203e-13,3177,39
"DecisionTreeRegressor(ccp_alpha=5.420285748014564e-14, random_state=0)",5.420285748014564e-14,0.9822524847446938,-1.9915794004667249,2.0007035091140766e-13,3175,39
"DecisionTreeRegressor(ccp_alpha=5.670026947957041e-14, random_state=0)",5.670026947957041e-14,0.982252484677207,-1.9915794004667249,2.567706203909781e-13,3173,39
"DecisionTreeRegressor(ccp_alpha=7.106435231940544e-14, random_state=0)",7.106435231940544e-14,0.9822524845926234,-1.9915794004667249,3.278349727103835e-13,3171,39
"DecisionTreeRegressor(ccp_alpha=1.9266513731630574e-13, random_state=0)",1.9266513731630574e-13,0.9822524843633058,-1.9915794004667249,5.205001100266893e-13,3169,39
"DecisionTreeRegressor(ccp_alpha=2.436019962137603e-13, random_state=0)",2.436019962137603e-13,0.9822524840733615,-1.9915794004667249,7.641021062404496e-13,3167,38
"DecisionTreeRegressor(ccp_alpha=2.949120114781323e-13, random_state=0)",2.949120114781323e-13,0.9822524837223461,-1.9915792405318729,1.0590141177185818e-12,3165,38
"DecisionTreeRegressor(ccp_alpha=3.6316501889066544e-13, random_state=0)",3.6316501889066544e-13,0.9822524832900932,-1.9915750768992386,1.4221791366092473e-12,3163,38
"DecisionTreeRegressor(ccp_alpha=3.665820598464098e-13, random_state=0)",3.665820598464098e-13,0.9822524828537733,-1.9915750768992386,1.7887611964556571e-12,3161,38
"DecisionTreeRegressor(ccp_alpha=3.736801493237074e-13, random_state=0)",3.736801493237074e-13,0.9822524824090051,-1.9915750768992386,2.1624413457793644e-12,3159,38
"DecisionTreeRegressor(ccp_alpha=4.3921876552444057e-13, random_state=0)",4.3921876552444057e-13,0.9822524818862303,-1.9915750768992386,2.601660111303805e-12,3157,38
"DecisionTreeRegressor(ccp_alpha=4.550579531248377e-13, random_state=0)",4.550579531248377e-13,0.982252481344603,-1.9915757334761688,3.0567180644286427e-12,3155,38
"DecisionTreeRegressor(ccp_alpha=4.794652869177795e-13, random_state=0)",4.794652869177795e-13,0.9822524807739251,-1.9915757334761688,3.536183351346422e-12,3153,38
"DecisionTreeRegressor(ccp_alpha=4.836361346127749e-13, random_state=0)",4.836361346127749e-13,0.982252480198283,-1.9915757334761688,4.0198194859591974e-12,3151,38
"DecisionTreeRegressor(ccp_alpha=6.014302424139917e-13, random_state=0)",6.014302424139917e-13,0.9822524794824379,-1.9915638823727742,4.621249728373189e-12,3149,38
"DecisionTreeRegressor(ccp_alpha=6.51225757347662e-13, random_state=0)",6.51225757347662e-13,0.9822524787073242,-1.9915638823727742,5.272475485720851e-12,3147,38
"DecisionTreeRegressor(ccp_alpha=6.549401299071889e-13, random_state=0)",6.549401299071889e-13,0.9822524779277897,-1.9915621181715015,5.92741561562804e-12,3145,38
"DecisionTreeRegressor(ccp_alpha=7.853177830252633e-13, random_state=0)",7.853177830252633e-13,0.9822524769930746,-1.9915616159417189,6.712733398653303e-12,3143,38
"DecisionTreeRegressor(ccp_alpha=8.230444277501636e-13, random_state=0)",8.230444277501636e-13,0.9822524760134558,-1.9915616159417189,7.535777826403466e-12,3141,38
"DecisionTreeRegressor(ccp_alpha=9.93345093680542e-13, random_state=0)",9.93345093680542e-13,0.9822524748311388,-1.991562898527718,8.529122920084008e-12,3139,38
"DecisionTreeRegressor(ccp_alpha=1.0501628559811405e-12, random_state=0)",1.0501628559811405e-12,0.9822524735811952,-1.991562898527718,9.579285776065148e-12,3137,38
"DecisionTreeRegressor(ccp_alpha=1.1574811074888113e-12, random_state=0)",1.1574811074888113e-12,0.9822524722035171,-1.991562898527718,1.0736766883553959e-11,3135,38
"DecisionTreeRegressor(ccp_alpha=1.4535124492898177e-12, random_state=0)",1.4535124492898177e-12,0.9822524704734914,-1.991562715440907,1.2190279332843777e-11,3133,38
"DecisionTreeRegressor(ccp_alpha=1.538258079941679e-12, random_state=0)",1.538258079941679e-12,0.9822524686425983,-1.991562715440907,1.3728537412785456e-11,3131,38
"DecisionTreeRegressor(ccp_alpha=1.7043195327248738e-12, random_state=0)",1.7043195327248738e-12,0.9822524666140525,-1.991562715440907,1.543285694551033e-11,3129,38
"DecisionTreeRegressor(ccp_alpha=1.8173710973623524e-12, random_state=0)",1.8173710973623524e-12,0.9822524644509484,-1.991562715440907,1.7250228042872682e-11,3127,38
"DecisionTreeRegressor(ccp_alpha=1.883255287826735e-12, random_state=0)",1.883255287826735e-12,0.9822524622094264,-1.991562715440907,1.9133483330699416e-11,3125,38
"DecisionTreeRegressor(ccp_alpha=1.9562420780494528e-12, random_state=0)",1.9562420780494528e-12,0.9822524598810329,-1.991562715440907,2.1089725408748868e-11,3123,38
"DecisionTreeRegressor(ccp_alpha=2.0381805791724885e-12, random_state=0)",2.0381805791724885e-12,0.9822524574551131,-1.991562715440907,2.3127905987921355e-11,3121,38
"DecisionTreeRegressor(ccp_alpha=2.061972762673614e-12, random_state=0)",2.061972762673614e-12,0.9822524550008749,-1.9915669687347703,2.518987875059497e-11,3119,38
"DecisionTreeRegressor(ccp_alpha=2.08947904117851e-12, random_state=0)",2.08947904117851e-12,0.9822524525138976,-1.9915669687347703,2.727935779177348e-11,3117,38
"DecisionTreeRegressor(ccp_alpha=2.092546465964906e-12, random_state=0)",2.092546465964906e-12,0.9822524500232692,-1.9915665888429879,2.937190425773839e-11,3115,38
"DecisionTreeRegressor(ccp_alpha=2.152207041056231e-12, random_state=0)",2.152207041056231e-12,0.9822524474616308,-1.9915665888429879,3.152411129879462e-11,3113,37
"DecisionTreeRegressor(ccp_alpha=2.2732450991047594e-12, random_state=0)",2.2732450991047594e-12,0.9822524447559282,-1.991566000572797,3.3797356397899376e-11,3111,37
"DecisionTreeRegressor(ccp_alpha=2.412306118748653e-12, random_state=0)",2.412306118748653e-12,0.9822524418847098,-1.991566000572797,3.620966251664803e-11,3109,37
