models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeRegressor(random_state=0),0.0,1.0,-1.1076375746106994,-1.0852430065710892e-16,3183,41
"DecisionTreeRegressor(ccp_alpha=1.557594331291767e-14, random_state=0)",1.557594331291767e-14,0.9999999999562911,-1.1076375746106994,1.546741901226056e-14,3181,41
"DecisionTreeRegressor(ccp_alpha=2.189276537833962e-14, random_state=0)",2.189276537833962e-14,0.9999999998948567,-1.1076371467499713,3.736018439060018e-14,3179,41
"DecisionTreeRegressor(ccp_alpha=6.283529252470999e-14, random_state=0)",6.283529252470999e-14,0.9999999997185319,-1.1076370217624927,1.0019547691531017e-13,3177,41
"DecisionTreeRegressor(ccp_alpha=8.746642299328755e-14, random_state=0)",8.746642299328755e-14,0.9999999994730877,-1.1076370217624927,1.8766189990859772e-13,3175,41
"DecisionTreeRegressor(ccp_alpha=1.628778015239085e-13, random_state=0)",1.628778015239085e-13,0.9999999990160283,-1.1076370217624927,3.5053970143250624e-13,3173,41
"DecisionTreeRegressor(ccp_alpha=1.9127113087824555e-13, random_state=0)",1.9127113087824555e-13,0.9999999984792929,-1.1076370217624927,5.418108323107518e-13,3171,41
"DecisionTreeRegressor(ccp_alpha=1.9620405994347224e-13, random_state=0)",1.9620405994347224e-13,0.9999999979287146,-1.1076370217624927,7.38014892254224e-13,3169,40
"DecisionTreeRegressor(ccp_alpha=2.406445875902108e-13, random_state=0)",2.406445875902108e-13,0.99999999725343,-1.107635232927894,9.786594798444348e-13,3167,40
"DecisionTreeRegressor(ccp_alpha=2.4273014154196914e-13, random_state=0)",2.4273014154196914e-13,0.9999999965722925,-1.107635232927894,1.221389621386404e-12,3165,40
"DecisionTreeRegressor(ccp_alpha=3.02253153061649e-13, random_state=0)",3.02253153061649e-13,0.999999995724125,-1.107635232927894,1.523642774448053e-12,3163,40
"DecisionTreeRegressor(ccp_alpha=3.3068773414024477e-13, random_state=0)",3.3068773414024477e-13,0.9999999947961656,-1.107635232927894,1.8543305085882977e-12,3161,40
"DecisionTreeRegressor(ccp_alpha=4.371125336688486e-13, random_state=0)",4.371125336688486e-13,0.9999999935695626,-1.107635232927894,2.2914430422571463e-12,3159,40
"DecisionTreeRegressor(ccp_alpha=5.523004970031664e-13, random_state=0)",5.523004970031664e-13,0.9999999920197247,-1.107635232927894,2.843743539260313e-12,3157,40
"DecisionTreeRegressor(ccp_alpha=5.842804885747288e-13, random_state=0)",5.842804885747288e-13,0.9999999903801462,-1.107635232927894,3.4280240278350417e-12,3155,40
"DecisionTreeRegressor(ccp_alpha=6.555124845708527e-13, random_state=0)",6.555124845708527e-13,0.9999999885406801,-1.107617596499844,4.083536512405895e-12,3153,40
"DecisionTreeRegressor(ccp_alpha=7.332606744014925e-13, random_state=0)",7.332606744014925e-13,0.9999999864830413,-1.107617596499844,4.816797186807387e-12,3151,40
"DecisionTreeRegressor(ccp_alpha=7.536849963574177e-13, random_state=0)",7.536849963574177e-13,0.9999999843680883,-1.107617596499844,5.5704821831648045e-12,3149,40
