         123270638918 function calls (121949207503 primitive calls) in 58061.602 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40 1397.736   34.943 56402.229 1410.056 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/decision_tree_regression/decision_tree_regression.py:190(run_model)
       40    0.514    0.013 52917.035 1322.926 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/decision_tree_regression/decision_tree_regression.py:175(plotter)
      160    0.008    0.000 46254.222  289.089 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1218(savefig)
      160    0.028    0.000 46254.202  289.089 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3232(savefig)
      160    0.049    0.000 46254.172  289.089 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2077(print_figure)
      240    0.004    0.000 32739.758  136.416 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:93(draw_wrapper)
37243838/240   76.956    0.000 32739.754  136.416 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
      240    0.043    0.000 32739.750  136.416 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3135(draw)
  560/240   60.602    0.108 32719.121  136.330 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
      320    0.868    0.003 32707.351  102.210 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:3044(draw)
 12407024   41.693    0.000 32605.991    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1975(draw)
 18610296  104.811    0.000 27532.273    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:4413(_get_path_in_displaycoord)
 18610296   97.485    0.000 26268.816    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2810(__call__)
