         3593875782 function calls (3006807937 primitive calls) in 19495.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.620    0.015 10605.926  252.522 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/regression/random_forest_regression/random_forest_regression.py:159(calculate_shap_values)
       42    0.079    0.002 9921.395  236.224 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/explainers/_tree.py:252(__call__)
       42    0.146    0.003 9919.267  236.173 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/explainers/_tree.py:369(shap_values)
       42 9915.876  236.092 9915.876  236.092 {built-in method shap._cext.dense_tree_shap}
       42 1912.020   45.524 8430.820  200.734 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/regression/random_forest_regression/random_forest_regression.py:102(run_model)
       84    0.001    0.000 3913.909   46.594 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/parallel.py:44(__call__)
       84    0.014    0.000 3913.908   46.594 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/joblib/parallel.py:1902(__call__)
     8568    0.066    0.000 3913.884    0.457 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/joblib/parallel.py:1819(_get_sequential_output)
     8400    0.181    0.000 3913.573    0.466 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/parallel.py:115(__call__)
       42    0.040    0.001 3898.138   92.813 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:1456(wrapper)
       42    0.013    0.000 3898.075   92.811 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/ensemble/_forest.py:331(fit)
     4200    1.676    0.000 3893.768    0.927 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/ensemble/_forest.py:154(_parallel_build_trees)
     4200 3885.144    0.925 3886.897    0.925 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:231(_fit)
  1512418 2499.018    0.002 2499.018    0.002 {method 'reduce' of 'numpy.ufunc' objects}
      336    0.483    0.001 2498.446    7.436 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3385(mean)
      672    0.787    0.001 2497.981    3.717 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/core/_methods.py:101(_mean)
       42    0.023    0.001  680.136   16.194 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/npyio.py:475(save)
  1273053    1.173    0.000  666.876    0.001 {built-in method numpy.asanyarray}
   462546    2.061    0.000  666.433    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:285(__getitem__)
   883848    4.430    0.000  544.463    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:71(_init_slicer)
30936024/17677632   25.511    0.000  539.807    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:148(__setattr__)
1763401/1300393    1.475    0.000  538.188    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/copy.py:66(copy)
   463008    1.909    0.000  535.754    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:403(__copy__)
   463344    2.554    0.000  532.909    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:72(__init__)
   463344    0.599    0.000  515.606    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:13(__init__)
  7791252    4.743    0.000  484.957    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:212(__init__)
 15447096    3.741    0.000  481.145    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:31(__init__)
  6908202    3.040    0.000  480.876    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:241(__init__)
437331300/7791252   91.624    0.000  477.404    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:592(max_dim)
43138536/1054536   27.452    0.000  454.749    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:476(max_dim)
42588084/504084   94.516    0.000  451.987    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:479(<listcomp>)
497465010  124.923    0.000  243.280    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:607(_type_name)
       42    0.003    0.000  227.202    5.410 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/regression/random_forest_regression/random_forest_regression.py:17(__init__)
       42    0.018    0.000  227.180    5.409 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:868(read_csv)
       42    0.164    0.004  227.160    5.409 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:583(_read)
       42    0.004    0.000  226.736    5.398 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1907(read)
       42   15.900    0.379  225.349    5.365 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
 37800042   31.983    0.000  208.571    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:54(literal_eval)
       42    0.033    0.001  165.445    3.939 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/regression/random_forest_regression/random_forest_regression.py:175(plot_shap_values)
   462546    4.817    0.000  125.724    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:102(__getitem__)
 37800042    9.844    0.000  121.143    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:33(parse)
497465010   96.626    0.000  118.355    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:621(_handle_module_aliases)
 37800042  109.271    0.000  109.273    0.000 {built-in method builtins.compile}
      630    0.062    0.000  100.853    0.160 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3232(savefig)
      630    0.040    0.000  100.787    0.160 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2077(print_figure)
      504    0.005    0.000   81.037    0.161 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1218(savefig)
9001650/2691612    5.325    0.000   78.727    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:53(__getitem__)
     1260    0.003    0.000   62.654    0.050 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2068(<lambda>)
     1260    0.001    0.000   62.650    0.050 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:449(print_png)
     1260    0.031    0.000   62.649    0.050 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:439(_print_pil)
9001650/2691612    7.230    0.000   61.013    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:576(slice)
 56011326   19.508    0.000   52.551    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:611(_safe_isinstance)
  9464196    6.721    0.000   52.433    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:72(unify_slice)
75600378/37800042   43.632    0.000   50.606    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/ast.py:84(_convert)
     1260    0.005    0.000   50.120    0.040 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:93(draw_wrapper)
219184/1260    0.384    0.000   50.114    0.040 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
     1260    0.027    0.000   50.110    0.040 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3135(draw)
3528/1260    0.041    0.000   49.608    0.039 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
     2268    0.027    0.000   49.596    0.022 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:3044(draw)
       84    0.237    0.003   42.776    0.509 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/regression/random_forest_regression/random_forest_regression.py:86(plotter)
