learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,target,model
2.007865587253299e-06,-1.2063743028232535e-05,0.0008956643924754436,4.559838646719167e-05,-0.0003287997339052991,-3.302940394286285e-05,1.6809131871046437e-06,8.864938402366143e-05,-0.00038681593312414543,career aspirations,LinearRegression
2.007865587253299e-06,7.992468520627254e-06,-0.0005232098926341701,1.3722293939314685e-05,-0.00015144945970124588,6.653191054073017e-05,8.582720820238403e-05,-1.4375716140350013e-05,-0.00027942609675600706,career aspirations,LinearRegression
-7.376968870959513e-06,4.308674562673415e-06,-0.0008779284639115736,1.3722293939314685e-05,4.250599152666925e-06,-0.00029830713547657385,3.504916752503592e-05,-2.0854252247332987e-05,-6.037351724474345e-05,career aspirations,LinearRegression
-2.891581358816908e-05,7.173847641081956e-06,0.001250382963752847,5.973081972900313e-05,-0.00036322211752138185,-0.00012114418534633731,-7.026857387233477e-05,3.063954935226135e-05,0.0011348485827927944,career aspirations,LinearRegression
-7.376968870959513e-06,1.2494883358126392e-05,-0.0005232098926341701,1.3722293939314685e-05,7.218201980428532e-06,0.0002608477945192535,-0.00018524101233296987,-1.519790197737212e-06,-0.0012366889314244795,career aspirations,LinearRegression
2.0296267801591153e-06,-1.2609490281262734e-05,0.0005409458211980402,-1.4636836433431198e-05,-0.0003142878230895356,-0.0002484346041615859,-5.269493059125516e-06,1.5410766116596737e-05,0.0005164925293364869,career aspirations,LinearRegression
2.007865587253299e-06,8.947526213430105e-06,-0.0008779284639115736,1.3722293939314685e-05,-3.9328925374051115e-05,9.800255321536477e-05,-6.80872081781316e-05,4.723581743880078e-05,-0.0003944473142758621,career aspirations,LinearRegression
-7.376968870959513e-06,1.2358446544868845e-05,-0.0008779284639115736,-2.387718689268726e-05,3.420400986460348e-05,3.079733443063369e-05,-6.415601800472713e-05,-4.6485378182812424e-05,-2.9463413615107238e-05,career aspirations,LinearRegression
-1.1699893845225212e-05,2.1557016494692887e-07,-0.001232647035188977,1.3722293939314685e-05,-2.4055426563637907e-06,-0.00032839922321724417,-6.2710226580130405e-06,1.6135349185248886e-05,-7.724673530070868e-05,career aspirations,LinearRegression
-3.2289014820432124e-06,1.3040630611156591e-05,-0.0007005691782728718,1.3722293939314685e-05,9.960096636419262e-06,0.0003635310521469133,4.9089487663901865e-05,7.133748914987651e-05,0.00029913473435441826,career aspirations,LinearRegression
2.0296267801591153e-06,-1.029006445588439e-05,0.001250382963752847,5.466550432884908e-05,0.00011768039734626934,-0.0001238338321266968,6.4891548392488064e-06,5.6969543877331887e-05,-0.0005038024589036377,career aspirations,LinearRegression
2.0296267801591153e-06,2.1557016494692887e-07,-0.001232647035188977,1.3722293939314685e-05,-2.4055426563637907e-06,-0.00032839922321724417,-6.2710226580130405e-06,1.6135349185248886e-05,6.63351960812812e-05,career aspirations,LinearRegression
1.790825721552687e-05,5.400169068733812e-06,0.0005409458211980402,-3.0450292355586478e-05,-5.930771694768027e-05,9.468265916963684e-05,-7.390045852680742e-06,3.3809714718987926e-05,-0.00037686389369078274,career aspirations,LinearRegression
-7.376968870959513e-06,6.355226761536664e-06,-0.0005232098926341701,4.0626855445920365e-05,0.00010199003169813671,-0.00010360600176119428,4.8046087486997377e-05,1.8876528575440562e-05,-0.0003783930057560936,career aspirations,LinearRegression
