learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,target,model
-7.416516884174196e-05,1.8152408667428695e-05,0.0005765381563123149,-0.00039385198536369566,-6.22986678535992e-05,-4.437172957356304e-05,3.7615677506398556e-05,5.1037050093638e-06,-7.049019393222759e-06,future topics,LinearRegression
-7.416516884174196e-05,-1.2026330012870085e-05,-0.0003367896160636295,-2.2300677228407227e-05,-1.1259286618079805e-05,-2.9559912658585224e-05,1.3983851868333185e-06,2.7860119104421367e-06,-1.046704316204428e-06,future topics,LinearRegression
6.739853405292205e-05,-6.483296377713165e-06,-0.0005651215591576156,-2.2300677228407227e-05,-5.153647311148569e-06,2.2612195853587935e-05,1.4121815140995428e-06,4.8339644692497294e-06,-1.454822401790138e-06,future topics,LinearRegression
2.94580477843326e-05,-1.079454476061299e-05,0.0008048700994063011,0.0003442110976878089,3.0298424039780083e-06,2.3149064298403903e-05,-0.00048815822453376694,5.852188750855662e-06,-4.8478673398331806e-06,future topics,LinearRegression
6.739853405292205e-05,-1.88011489002841e-05,-0.0003367896160636295,-2.2300677228407227e-05,1.984220885819721e-05,1.722433753240923e-05,1.437137927755282e-06,6.636230296919264e-06,-1.2370068002941378e-06,future topics,LinearRegression
1.4328159810183013e-05,1.897359883560009e-05,0.00034820621321832884,0.0003937862893422297,-5.61164665381682e-05,-6.339700508668463e-05,-3.7321842098019636e-05,6.444845642898407e-06,-1.899960002811454e-06,future topics,LinearRegression
-7.416516884174196e-05,-1.3463412807170032e-05,-0.0005651215591576156,-2.2300677228407227e-05,-3.849052791790511e-06,1.8159063842573555e-05,1.4192114897772706e-06,7.158656502555839e-06,-1.7853391237661718e-06,future topics,LinearRegression
6.739853405292205e-05,-1.8595851358241254e-05,-0.0005651215591576156,-0.00036652656140502516,1.676492063742739e-05,1.935902872965157e-05,1.449088886406639e-06,5.763294239425197e-06,-2.414701684435217e-06,future topics,LinearRegression
2.0455285938872125e-05,-3.2437011642770196e-07,-0.0007934535022516018,-2.2300677228407227e-05,4.14050319581509e-06,9.810439961157967e-06,1.445046650392238e-06,5.800460994430558e-06,-1.3607850303567068e-06,future topics,LinearRegression
-3.252324701285995e-05,-1.9622339068455495e-05,-0.0004509555876106226,-2.2300677228407227e-05,-2.7580901005520817e-05,1.221676102631146e-05,1.5000562100691914e-06,-6.752972522448813e-06,-1.5205253687306142e-06,future topics,LinearRegression
1.4328159810183013e-05,1.5483540620871662e-05,0.0008048700994063011,0.0001444889998755163,6.0765363366699345e-05,-1.5435159527152075e-05,-3.59129470975476e-05,5.793220717481271e-06,-4.001120353388569e-06,future topics,LinearRegression
1.4328159810183013e-05,-3.2437011642770196e-07,-0.0007934535022516018,-2.2300677228407227e-05,4.14050319581509e-06,9.810439961157967e-06,1.445046650392238e-06,5.800460994430558e-06,-1.5957757980544944e-06,future topics,LinearRegression
-8.309384023395686e-05,-8.125676714055958e-06,0.00034820621321832884,-0.0004068360080115781,-6.4846254504404964e-06,2.023623342073227e-05,7.466308692889024e-06,5.527824343536594e-06,-9.951417159549629e-06,future topics,LinearRegression
