Model_Target,MSE,MAE,R2,RMSE,MAPE,MedAE,Explained Variance,MBD,Training Time
Linear Regression_Ethnoracial Group,1.5271041896560282,0.9798384872088716,4.626201655411055e-05,1.2357605713308821,491913850865.83356,0.9164617505646546,5.6715438836341114e-05,-0.003995522931943853,0.016700029373168945
Decision Tree_Ethnoracial Group,3.1678301755470675,1.2584869741257285,-1.0743074682078824,1.7798399297540966,533434016159.2543,1.0,-1.0705672176962637,-0.07557788351136095,1.063119888305664
Random Forest_Ethnoracial Group,1.7250264326421216,1.0491775645051482,-0.12955398925941863,1.3134026163527015,527268938619.1099,0.9,-0.1260978668910835,-0.07265055487979889,6.362890005111694
Linear Regression_Gender,0.3508254752768035,0.5507679159111265,0.00012671995644109035,0.5923052213823575,276357378402.623,0.5012999757262552,0.00013752221926732755,-0.0019468408467808904,0.01415705680847168
Decision Tree_Gender,0.7202024754166998,0.6053905725451817,-1.0526194992601776,0.8486474388205621,290124506588.00244,1.0,-1.0507686546190431,-0.02548344057534433,1.419719934463501
Random Forest_Gender,0.39354543154415966,0.5514055759410892,-0.12162767305808209,0.6273319946759927,284982646614.0306,0.5,-0.12052891229251683,-0.01963471724118438,7.339797019958496
Linear Regression_International Status,0.05464311547437622,0.10973185982054377,0.0008800424713543142,0.2337586693031431,55127937505.41907,0.05938087278364701,0.0008849837646969227,-0.0005198514116756869,0.013923168182373047
Decision Tree_International Status,0.11909908541349543,0.12041127383497235,-1.1776626776676387,0.345107353461927,67169763184.30328,0.0,-1.1741155612239669,-0.013928252522985936,0.9356381893157959
Random Forest_International Status,0.06287197267130679,0.12170911571207328,-0.14958018260424422,0.2507428417149865,68085808434.57686,0.1,-0.14575573254417784,-0.0144625011463558,6.085376977920532
Linear Regression_Career Aspirations,0.00035308721078388164,0.013533931767493247,0.0026292796855944545,0.018790614965558783,2.765442064424342,0.009834452999411741,0.0026435609187076547,-7.1104246816693e-05,0.00692296028137207
Decision Tree_Career Aspirations,0.0007289913704578287,0.01976715630530495,-1.0591928171013238,0.026999840193190565,4.027936322949742,0.015047485,-1.0591473510193001,-0.00012686927319036055,0.8394789695739746
Random Forest_Career Aspirations,0.00038577961925426456,0.014320983993241432,-0.08971745502770667,0.019641273361324225,2.923508290661284,0.010823802500000007,-0.08970837866567871,5.6685057491866435e-05,5.541950225830078
Linear Regression_Future Topics,0.0007763558044298464,0.014621532193891888,-7.576121962427074e-05,0.027863162139819063,3.160221696505214,0.007780547757859385,-4.553167561138771e-05,-0.00015318976487740718,0.014941930770874023
Decision Tree_Future Topics,0.0014316591901438623,0.0224200363911856,-0.844215817310312,0.037837272498739416,4.795900056654608,0.012578530000000004,-0.8441488370458963,-0.0002280275810888852,1.605255126953125
Random Forest_Future Topics,0.0008801108211816872,0.01654797316149524,-0.1337295276581394,0.0296666617802153,3.574406809715108,0.009385891500000021,-0.1335199818620767,-0.00040332340746196405,9.000880002975464
Linear Regression_Private Columns,0.6441909268024043,0.5467794209801814,0.00035100814811287834,0.8026150551805045,274466388924.62515,0.4979123506537818,0.00035974047426475436,-0.002154071730133477,0.01623392105102539
Decision Tree_Private Columns,1.307459248371644,0.6489278131109265,-1.0170207945334788,1.1434418430211675,283997056607.4638,0.0,-1.0159715054202831,-0.02520135296577439,1.1475389003753662
Random Forest_Private Columns,0.7320653434023844,0.5740506990557636,-0.12241650920317808,0.8556081716547501,289567461295.0892,0.4,-0.12098371791095941,-0.02941077296656461,7.036169052124023
Linear Regression_Utility Columns,0.0005647215076068631,0.014077731980692527,0.0012767592329863686,0.023763869794435063,2.962831880464778,0.008677196891806682,0.0012990146215482445,-0.00011214700584705012,0.015872955322265625
Decision Tree_Utility Columns,0.0010851151602356726,0.021013997801451693,-0.9626030968958419,0.03294108620303333,4.394475821562307,0.013650444999999983,-0.9624105437210662,-0.00027263674457907026,1.032252311706543
Random Forest_Utility Columns,0.0006330789598361,0.015407390455546836,-0.11117128283141486,0.025161060387751944,3.2434892430387894,0.00999999300000004,-0.11101549728533855,-0.00019164832845003,7.116560935974121
Linear Regression_All Columns,0.3867404446844853,0.3336987453803858,0.0007213085820622744,0.6218845911296447,164679833355.96024,0.05989761814036307,0.0007354501331781505,-0.0013373018404189063,0.018619775772094727
Decision Tree_All Columns,0.7881286004370959,0.39879832942744586,-0.9532158663841311,0.8877660730378786,171453113442.78613,0.010689439999999967,-0.9524708179777301,-0.015878735987669323,1.2603888511657715
Random Forest_All Columns,0.43888006105960314,0.3504738044804267,-0.11643165348295051,0.6624802344671146,173747415665.5415,0.06634555527856048,-0.11553206257230797,-0.018102136584492976,7.711361885070801
