Model_Target,MSE,MAE,R2
LinearRegression_ethnoracial group,1.5278846529396464,0.9801622003076077,-0.00046478836435581705
DecisionTree_ethnoracial group,3.1789111535377836,1.2668957168679806,-1.0815633355137177
RandomForest_ethnoracial group,1.7209022515298429,1.0484297616260743,-0.1268534594938151
LinearRegression_gender,0.35086971507797216,0.5507798963131585,6.339158875601214e-07
DecisionTree_gender,0.7154820342028261,0.5983568081567917,-1.0391659636067456
RandomForest_gender,0.39427107400096456,0.5507629846200648,-0.12369579682489773
LinearRegression_international status,0.05468372068416216,0.10976284377983263,0.00013759806413904396
DecisionTree_international status,0.1184263440030489,0.12005933694472262,-1.1653619630469962
RandomForest_international status,0.06317663463137461,0.12159704319110097,-0.15515076257504212
LinearRegression_career aspirations,0.00014816947349470023,0.004444525259303949,0.0003074726863978583
DecisionTree_career aspirations,0.00035231189417312786,0.0074102004482972305,-1.3770319187992137
RandomForest_career aspirations,0.0001675210812781479,0.005208769481329428,-0.1302569225046828
LinearRegression_future topics,0.0006781673597442992,0.01454193128850822,0.0009129945081313151
DecisionTree_future topics,0.0012868934483333593,0.02214153490058247,-0.895872019212568
RandomForest_future topics,0.0007700727643382269,0.016313492489346992,-0.13448351808558412
LinearRegression_private_columns,0.6444793629005914,0.5469016468002021,-0.00010885212810773925
DecisionTree_private_columns,1.3160452320966942,0.6528514203992201,-1.0392831564683438
RandomForest_private_columns,0.7281017227845569,0.5734627766203008,-0.12492914859205222
LinearRegression_utility_colums,0.0004131684166194978,0.009493228273906112,0.000610233597268639
DecisionTree_utility_colums,0.0007810312020060985,0.014589541517840966,-0.9641238468961215
RandomForest_utility_colums,0.00046110190154732855,0.010660719130373742,-0.12036691390196452
LinearRegression_all_columns,0.3868528851070026,0.33193827938968373,0.00017878216204281205
DecisionTree_all_columns,0.7881052116624518,0.3974996428885047,-0.9527443375655638
RandomForest_all_columns,0.4367248578101769,0.34768094677968625,-0.11681204707148703
