         39365548 function calls (39331711 primitive calls) in 172.578 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  172.578  172.578 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:812(generate_synthetic_dataset)
       10    0.001    0.000  172.553   17.255 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:796(generate_batch_samples)
      100    0.017    0.000  159.620    1.596 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:686(generate_single_sample)
      703    1.156    0.002   77.866    0.111 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:186(generate_previous_courses)
    16243    0.065    0.000   72.311    0.004 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:121(get_random_value)
     1868   68.119    0.036   69.456    0.037 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:302(pick_classes)
26118/21603    0.035    0.000   67.738    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
25928/21603    0.049    0.000   67.667    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/util/dispatch.py:1246(op_dispatch_handler)
    19583    0.167    0.000   66.432    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/random_ops.py:211(random_uniform)
    22493   65.951    0.003   65.951    0.003 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
    17032    0.020    0.000   62.695    0.004 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/gen_random_ops.py:717(random_uniform)
      703    0.044    0.000   38.180    0.054 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:556(generate_subjects_of_interest)
      703    0.096    0.000   31.407    0.045 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/data_generation/data_generation.py:476(generate_extracurricular_activities)
      100    0.000    0.000   12.911    0.129 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/random_seed.py:210(set_seed)
      100    0.000    0.000   12.911    0.129 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/random_seed.py:96(set_random_seed)
      100    0.000    0.000   12.911    0.129 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/context.py:2315(set_global_seed)
      100    0.001    0.000   12.910    0.129 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/context.py:520(_set_global_seed)
       99   12.909    0.130   12.909    0.130 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextClearCaches}
    20088    0.012    0.000   11.334    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:371(_numpy)
    20088   11.322    0.001   11.322    0.001 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
    19988    0.020    0.000   11.300    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:383(numpy)
