learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,career aspirations,future topics,ethnoracial group,gender,international status
0.4942758,3.54,13,0.5049348,0.28574783,0.5026398,0.52299374,0.52886325,0.5079998,0.5019907,0.5014149,1.0,1.0,0.0
0.49401695,3.71,14,0.5072917,0.47474062,0.50005007,0.5030829,0.5294748,0.51853263,0.48786464,0.5034266,0.0,0.0,1.0
0.49435246,3.17,9,0.4977433,0.5835016,0.50078416,0.515992,0.5288784,0.4974351,0.46602458,0.50380796,,,
0.49401695,2.11,11,0.53014994,0.3740264,0.5034045,0.4771422,0.52331185,0.49666882,0.5007257,0.49625063,0.0,0.0,0.0
0.49435246,2.26,14,0.50491387,0.39730155,0.5011611,0.5128324,0.5288737,0.5213868,0.4746759,0.50525594,0.0,1.0,0.0
0.49435246,2.29,13,0.51443636,0.33161426,0.5010493,0.49540424,0.5300052,0.5190712,0.47497946,0.5014149,,,
0.49401695,3.68,6,0.49609226,0.29429448,0.5026461,0.47751772,0.5289272,0.54485214,0.4622587,0.50525594,1.0,1.0,0.0
0.49418193,2.99,7,0.52207035,0.34914637,0.50295776,0.4712718,0.5288738,0.51485837,0.52554375,0.50380796,0.0,1.0,0.0
0.4942758,2.25,3,0.5063946,0.42064878,0.50257134,0.5019818,0.529188,0.5693391,0.48400253,0.49643153,,,
0.4942758,2.38,1,0.47657186,0.6191747,0.50252175,0.5443237,0.52887285,0.6040767,0.46553707,0.50240064,0.0,0.0,0.0
0.49401695,2.39,4,0.58430606,0.4757599,0.5033326,0.5080267,0.52886504,0.5796888,0.49341753,0.49643153,3.0,0.0,0.0
0.49401695,2.73,5,0.5133263,0.34156257,0.50278234,0.54052144,0.5289017,0.535725,0.47301155,0.50525594,0.0,0.0,0.0
0.49401695,2.22,13,0.5151593,0.52906036,0.5085316,0.49304968,0.52887076,0.584875,0.49408725,0.5034266,0.0,1.0,0.0
0.49401695,3.58,4,0.5063946,0.69099677,0.50224864,0.47751904,0.5288763,0.50920206,0.47397065,0.5034266,0.0,0.0,0.0
0.49435246,3.1,3,0.5063946,0.42938042,0.5038988,0.5067064,0.5288767,0.56075585,0.46918613,0.49643153,0.0,0.0,0.0
0.49418193,3.93,7,0.5104745,0.7322087,0.5027908,0.48902798,0.5287261,0.5203047,0.4883482,0.5049128,0.0,0.0,0.0
0.49401712,3.16,9,0.5072917,0.6208053,0.5017657,0.4958371,0.5288732,0.5275229,0.45484066,0.50525594,0.0,0.0,0.0
0.49418193,3.4,8,0.49548596,0.38124293,0.5015005,0.484236,0.5288611,0.5348578,0.4832735,0.5014149,2.0,0.0,0.0
0.49435246,3.82,13,0.5198472,0.9989096,0.49134678,0.5071416,0.529911,0.5335512,0.48429632,0.50380796,0.0,1.0,0.0
0.49401695,3.05,6,0.5254459,0.62060785,0.502324,0.47232205,0.5288761,0.5584667,0.48828202,0.50525594,4.0,1.0,0.0
0.4942758,3.41,5,0.5118944,0.6749433,0.50246125,0.49142283,0.5289706,0.5122549,0.46621612,0.5034266,2.0,0.0,0.0
0.49435246,2.02,2,0.5063946,0.28931832,0.5017995,0.4470216,0.5288732,0.5669741,0.50082195,0.5032651,0.0,0.0,0.0
0.4942758,3.25,12,0.51235944,0.25787732,0.5037972,0.47352782,0.52921206,0.52792794,0.48458195,0.50380796,,,
0.49435246,3.72,4,0.5063946,0.58264804,0.50336325,0.54717004,0.53232,0.5852227,0.4683274,0.5032651,6.0,0.0,0.0
0.49435246,2.44,3,0.5063946,0.697587,0.5027908,0.4930871,0.52887386,0.5035178,0.48092026,0.5028387,1.0,1.0,0.0
0.49401695,3.14,6,0.5288301,0.51912796,0.50312734,0.4761073,0.52886504,0.5651875,0.49269688,0.4960026,0.0,0.0,0.0
0.49418193,2.15,13,0.5093843,0.66757643,0.5028573,0.438156,0.54365826,0.530392,0.46345046,0.49864107,0.0,2.0,0.0
0.4942758,3.85,14,0.50303906,0.61999303,0.5034338,0.50124013,0.52738297,0.5277882,0.4782032,0.4550595,2.0,0.0,0.0
0.4942758,2.03,5,0.5062107,0.12831256,0.5030272,0.51651096,0.52887464,0.5806979,0.45552433,0.5014149,,,
0.4942758,2.49,7,0.5094053,0.62796164,0.50452554,0.45381907,0.5288727,0.54269564,0.46493414,0.49643153,0.0,0.0,0.0
0.49435246,,0,0.5063946,0.50751287,0.5025758,0.49511772,0.53880465,0.6231362,0.48753512,0.4981348,0.0,0.0,0.0
0.4942758,2.78,9,0.4902627,0.7453462,0.503116,0.42575628,0.529188,0.5410555,0.46303177,0.5028387,,,
0.49435246,3.98,11,0.51281136,0.419429,0.5012934,0.510015,0.52887744,0.54227746,0.47247785,0.50525594,,,
0.49435246,3.61,3,0.5063946,0.49632448,0.5018014,0.46206835,0.5289743,0.5059706,0.4850495,0.4960026,2.0,1.0,0.0
0.49401695,2.46,14,0.5207395,0.42677635,0.50086415,0.47475186,0.5288744,0.48317593,0.49548572,0.50525594,0.0,1.0,0.0
0.49435246,,0,0.5063946,0.50751287,0.5025758,0.49511772,0.51073474,0.5367898,0.46881017,0.4990877,,,
0.49401695,3.53,9,0.5427081,0.41754526,0.5024736,0.48457128,0.53037167,0.5344496,0.5030097,0.5014149,,,
0.4942758,3.38,11,0.5181532,0.5474349,0.5029847,0.48063684,0.5306178,0.5499824,0.46646696,0.49901438,2.0,0.0,0.0
0.49401695,2.85,13,0.5062807,0.6707096,0.5029847,0.49304402,0.53347486,0.56518394,0.5201006,0.56602806,1.0,0.0,0.0
0.49418193,3.71,4,0.5063946,0.7078707,0.5017206,0.5045533,0.5288749,0.5420564,0.4815588,0.5014149,0.0,1.0,0.0
0.4942758,3.28,12,0.51438165,0.6962787,0.49211758,0.494846,0.5288715,0.49973196,0.46207356,0.5014149,,,
0.49401695,2.52,11,0.5107628,0.28495896,0.50125206,0.4655683,0.52997017,0.5495908,0.47834373,0.4785107,0.0,1.0,0.0
0.49401695,2.23,13,0.5003692,0.25907734,0.49767748,0.46936214,0.530794,0.5354929,0.48019984,0.4960026,0.0,1.0,0.0
0.49401695,3.17,5,0.48279297,0.34937274,0.50440884,0.50114596,0.52890354,0.490309,0.47932726,0.50525594,1.0,1.0,0.0
0.49435246,2.82,7,0.4959013,0.49272206,0.50264287,0.48158967,0.5288743,0.51303834,0.48981777,0.5028387,,,
0.4942758,2.27,7,0.5108787,0.4347357,0.502538,0.4783769,0.5289075,0.5348573,0.4524338,0.5014149,,,
0.49401695,3.87,4,0.51384795,0.30596918,0.5044434,0.48048836,0.52886224,0.5412753,0.46700454,0.49643153,,,
0.4942758,2.71,7,0.51281136,0.3001726,0.5029092,0.48580408,0.5288721,0.5496168,0.46673483,0.5028387,,,
0.49401695,3.32,1,0.5063946,0.49192095,0.5033326,0.4833299,0.5577076,0.5816714,0.4973626,0.5084359,0.0,0.0,0.0
0.4942758,2.38,7,0.5307448,0.65630984,0.4999221,0.48528975,0.5288741,0.5579599,0.48532122,0.4960026,0.0,1.0,0.0
0.49418193,3.39,3,0.5029011,0.40738976,0.5020977,0.48759657,0.5288761,0.5163597,0.4646086,0.5028387,,,
0.4942758,2.17,14,0.5077707,0.6023084,0.5013007,0.49491566,0.52905476,0.5373264,0.482638,0.5034266,2.0,1.0,0.0
0.4942758,,0,0.5063946,0.50751287,0.5025758,0.49511772,0.5259329,0.52447087,0.48753512,0.4741369,2.0,0.0,1.0
0.49418193,2.48,11,0.5089746,0.39755055,0.5018667,0.48952067,0.5328855,0.55235213,0.50938106,0.5174624,2.0,1.0,0.0
0.49435246,3.38,9,0.50087184,0.7944056,0.5028376,0.47700226,0.5288685,0.55020535,0.51379406,0.50240064,1.0,0.0,0.0
0.4942758,3.11,9,0.53992534,0.6136457,0.5026398,0.4665751,0.52887374,0.54045117,0.47959566,0.50525594,0.0,0.0,0.0
0.49401695,2.02,10,0.51103014,0.5327829,0.50182605,0.4918846,0.52887756,0.5567014,0.4748527,0.5052559,,,
0.49435246,3.0,14,0.5029011,0.6663475,0.50173914,0.49445796,0.53276694,0.5567947,0.49583244,0.47249606,,,
0.49435246,2.17,1,0.5121653,0.50218433,0.50254804,0.52789164,0.53529054,0.5361249,0.51829183,0.50525594,0.0,1.0,0.0
0.4942758,2.85,1,0.5063946,0.49479696,0.5023087,0.5410153,0.56736124,0.50255823,0.48753512,0.5114259,,,
0.49418193,3.42,14,0.50754976,0.7006322,0.50115263,0.44134223,0.52887964,0.5240317,0.49939913,0.50380796,2.0,0.0,0.0
0.49401695,2.71,13,0.5164946,0.42572257,0.5025079,0.46433824,0.5288712,0.588087,0.47456032,0.5034266,2.0,0.0,0.0
0.4942758,2.21,9,0.5167394,0.5031022,0.503482,0.5110858,0.53279424,0.5485745,0.49373963,0.5049128,1.0,1.0,0.0
0.49418193,2.96,8,0.49114966,0.3648634,0.50315857,0.49071616,0.52897584,0.5963772,0.48277557,0.5014149,,,
0.49418193,2.12,11,0.5207472,0.4700464,0.50205505,0.4949904,0.52887446,0.54167676,0.47970128,0.5014149,,,
0.49418193,3.48,5,0.4930408,0.21112771,0.5017657,0.5737209,0.5289664,0.5188708,0.48288918,0.5014149,1.0,0.0,0.0
0.4943542,2.58,2,0.5063946,0.4556075,0.5043787,0.51025563,0.4299441,0.53794044,0.49365917,0.5028267,,,
0.4942758,3.54,11,0.5287629,0.61373305,0.5017284,0.47807708,0.52887696,0.49242777,0.4787949,0.5034266,0.0,1.0,0.0
0.49435246,3.64,1,0.5063946,0.505854,0.5002326,0.52516496,0.6045529,0.5501075,0.49028042,0.4712975,0.0,0.0,0.0
0.49418193,3.86,2,0.5063946,0.47728205,0.5010307,0.4882508,0.5289247,0.58573794,0.47277218,0.50452036,,,
0.4942758,3.17,14,0.50214404,0.47696987,0.50220454,0.48742914,0.5288772,0.5850371,0.51188064,0.4949879,1.0,1.0,0.0
0.4942758,2.45,8,0.5007216,0.83129203,0.5021018,0.4907189,0.52889025,0.5264822,0.48817503,0.50525594,,,
0.4942758,3.65,6,0.5046594,0.6941725,0.5015061,0.4650823,0.5288745,0.5246388,0.48610258,0.50525594,0.0,1.0,0.0
0.49418193,2.2,3,0.50286716,0.36854947,0.5031675,0.57304883,0.52887714,0.5326969,0.48999336,0.5014149,3.0,0.0,0.0
0.4942758,2.42,2,0.5063946,0.38925573,0.50296915,0.45973563,0.55877495,0.52447087,0.48753512,0.47992975,0.0,0.0,0.0
0.49418193,2.59,6,0.49543804,0.63597846,0.50327885,0.44981098,0.5331317,0.54751486,0.4525956,0.5052559,,,
0.49401695,3.45,9,0.5104745,0.26809436,0.5027002,0.47100997,0.53235066,0.5149998,0.48095584,0.49983603,,,
0.49401695,3.95,12,0.51894826,0.6702403,0.495691,0.49651277,0.5288742,0.5039267,0.49492776,0.4960026,0.0,1.0,0.0
0.49435246,2.13,10,0.5044446,0.38117892,0.4999547,0.50144774,0.53186363,0.5393347,0.47441489,0.50367844,0.0,2.0,0.0
0.49401695,2.4,7,0.5068305,0.72380376,0.5024773,0.50216705,0.5433141,0.55463463,0.48906246,0.520759,1.0,1.0,1.0
0.4942758,3.33,8,0.5029011,0.4456337,0.5018667,0.4799536,0.53446704,0.53137827,0.47550678,0.53579944,0.0,0.0,1.0
0.49435246,3.18,14,0.507135,0.5207561,0.50078243,0.49156356,0.5288719,0.5896937,0.47914168,0.5014149,1.0,0.0,0.0
0.49435246,3.12,6,0.5090372,0.56574416,0.50296223,0.4941107,0.52887017,0.5180819,0.49011055,0.50367844,3.0,0.0,0.0
0.49401695,3.19,8,0.50712186,0.42645848,0.5031227,0.44368696,0.5282309,0.504567,0.4537294,0.48070854,1.0,0.0,1.0
0.49418193,2.43,4,0.5254459,0.5819367,0.5017206,0.51441026,0.5300095,0.5145813,0.47688293,0.5028387,,,
0.49435246,3.48,10,0.4842617,0.3180225,0.49979606,0.47496408,0.5287937,0.54974025,0.47678953,0.50240064,,,
0.49435246,2.08,13,0.5253706,0.7687216,0.5015454,0.49890888,0.52887416,0.52725405,0.48176175,0.50525594,0.0,0.0,0.0
0.4942758,2.29,5,0.52737993,0.6537508,0.50182784,0.49495256,0.52887857,0.52155924,0.4865017,0.5014149,2.0,0.0,0.0
0.49435246,2.58,2,0.5074881,0.5248435,0.50215745,0.4661918,0.49004185,0.5206725,0.4579007,0.50525594,1.0,0.0,0.0
0.4942758,2.3,4,0.50636667,0.6208508,0.5018635,0.49495846,0.5314757,0.50938314,0.5249032,0.50525594,0.0,0.0,0.0
0.49418193,3.01,11,0.50821906,0.5932726,0.50278306,0.50210196,0.5288761,0.53875685,0.4987673,0.50380796,,,
0.4942758,2.51,9,0.53155684,0.5861566,0.50230753,0.46383315,0.5288714,0.5394415,0.48053834,0.49643153,0.0,0.0,1.0
0.49392223,2.73,7,0.5028523,0.40352774,0.50017345,0.47019857,0.5288742,0.5078349,0.47612453,0.5014149,1.0,0.0,0.0
0.49435246,2.55,11,0.510178,0.5201069,0.49325982,0.4921344,0.5288737,0.5152939,0.47511804,0.50177145,0.0,2.0,0.0
0.49435246,2.97,9,0.48473328,0.50663245,0.50040084,0.48405194,0.5288769,0.55750597,0.47163194,0.5014149,,,
0.49401695,3.77,13,0.47168443,0.09631213,0.50814366,0.4639796,0.53095305,0.56594884,0.4877639,0.50380796,2.0,1.0,0.0
0.49401695,3.0,7,0.5150771,0.5305048,0.5023383,0.50230014,0.53217036,0.5245477,0.4945821,0.5014149,0.0,1.0,0.0
0.49401695,2.32,7,0.5128531,0.8303181,0.50240934,0.5093175,0.5321315,0.5238291,0.49098694,0.5034266,0.0,0.0,0.0
0.49401695,,0,0.5063946,0.50751287,0.5025758,0.49511772,0.5259329,0.52447087,0.48753512,0.41256392,0.0,1.0,0.0
0.49418193,2.32,7,0.5062807,0.4638393,0.50187564,0.5184105,0.5288738,0.5827145,0.498261,0.5021022,0.0,1.0,0.0
0.49418193,2.41,7,0.568511,0.4134064,0.5033722,0.4863726,0.52892727,0.5546511,0.4964485,0.5049128,,,
0.4942599,3.49,9,0.50345486,0.46966678,0.5017657,0.51094615,0.5288767,0.4761754,0.45105165,0.50380796,0.0,1.0,1.0
0.49418193,2.14,1,0.5063946,0.49471945,0.5026027,0.5491199,0.5166255,0.5239249,0.5004651,0.50212896,0.0,0.0,0.0
0.4942758,3.12,6,0.50422937,0.5134982,0.5041001,0.47737223,0.52887386,0.5395571,0.46232894,0.5021022,1.0,1.0,0.0
